,Boyd Writer,Bettor Keppel,Don Boston,Im Bruce Almighty,Budding Caesar,Louie The Punter Nz,Alta Equus
11-01-2023 18:53:02.146229,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:03.399448,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:04.689154,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:05.992993,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:07.420043,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:08.786619,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:10.054801,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 13.8)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:11.402343,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:12.726976,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:13.990392,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:15.254220,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:16.537292,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:17.789517,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:19.053450,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:20.281752,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:21.504595,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:22.802502,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:24.027691,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:25.166345,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:26.338008,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:27.549311,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:28.759720,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:29.919458,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:31.120607,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:32.212758,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:33.325487,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:34.499290,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:35.822713,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:37.310783,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:38.659959,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:39.917866,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:41.214818,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:42.417439,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:43.533738,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:44.742521,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:45.928957,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:47.151848,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:48.360329,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:49.605677,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:50.782542,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:51.996098,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:53.196622,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:54.505319,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:55.675874,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:56.838713,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:57.905316,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:53:59.105888,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:00.267619,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:01.459242,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 4.866666666666666)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:02.674131,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 5.8)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:03.834177,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 5.8)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:05.000447,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 5.8)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:06.190708,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 5.8)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:07.464829,"(5.5, 12.5, 10.625)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 5.8)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:08.846431,"(5.5, 12.5, 7.833333333333334)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 5.8)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:10.076662,"(5.5, 12.5, 7.833333333333334)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 5.8)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:11.216103,"(5.5, 12.5, 7.833333333333334)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 5.8)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:12.315980,"(5.5, 12.5, 7.833333333333334)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 5.8)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:13.445164,"(5.5, 12.5, 7.833333333333334)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 5.8)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:14.474870,"(5.5, 12.5, 7.833333333333334)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 5.8)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
11-01-2023 18:54:15.576834,"(5.5, 12.5, 7.833333333333334)","(4.0, 7.4, 5.800000000000001)","(5.0, 7.6, 6.1)","(3.8, 6.8, 5.8)","(11.0, 23.0, 16.75)","(7.0, 99999, 99990)","(4.8, 9.8, 6.6000000000000005)"
