,Le Heros,Hail To The Chief,Du Maurier,Valley Of Dreams,Torbreck
07-12-2022 13:58:50.252132,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.133333333333333)","(7.0, 10.0, 9.666666666666666)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.294736842105263)"
07-12-2022 13:58:51.329739,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.0)","(7.0, 10.0, 9.666666666666666)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.297435897435898)"
07-12-2022 13:58:52.391200,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.0)","(7.0, 10.0, 9.666666666666666)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.297435897435898)"
07-12-2022 13:58:53.355234,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.0)","(7.0, 10.0, 9.666666666666666)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.297435897435898)"
07-12-2022 13:58:54.369949,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.0)","(7.0, 10.0, 9.666666666666666)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.297435897435898)"
07-12-2022 13:58:55.317359,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.0)","(7.0, 10.0, 9.666666666666666)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.297435897435898)"
07-12-2022 13:58:56.224960,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.177777777777779)","(7.0, 10.0, 9.545454545454545)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.297435897435898)"
07-12-2022 13:58:57.295267,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.177777777777779)","(7.0, 10.0, 9.666666666666666)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.297435897435898)"
07-12-2022 13:58:58.435432,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.177777777777779)","(7.0, 10.0, 9.666666666666666)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.297435897435898)"
07-12-2022 13:58:59.547040,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.177777777777779)","(7.0, 10.0, 9.666666666666666)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.297435897435898)"
07-12-2022 13:59:00.575909,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.177777777777779)","(7.0, 10.0, 9.666666666666666)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.297435897435898)"
07-12-2022 13:59:01.514602,"(3.1, 3.6, 3.5475000000000003)","(6.0, 9.8, 9.177777777777779)","(7.0, 10.0, 9.666666666666666)","(2.45, 2.92, 2.898181818181818)","(5.5, 6.4, 6.297435897435898)"
