,Flat Biccy,Susieq Shannon,Its A Lottery,Selmun Place,Aquababe,Shandiin Beach,Ourplaceoryours
07-12-2022 20:39:48.431986,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.686486486486486)","(10.0, 24.0, 16.0)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:39:49.515611,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.686486486486486)","(10.0, 24.0, 16.0)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:39:50.666363,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.686486486486486)","(10.0, 24.0, 16.0)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:39:51.930039,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.686486486486486)","(10.0, 23.0, 15.666666666666666)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:39:53.060059,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.686486486486486)","(10.0, 23.0, 15.333333333333334)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:39:54.196443,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:39:55.306823,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:39:56.333532,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:39:57.448795,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:39:58.702032,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:39:59.952998,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:40:01.142773,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.696969696969696)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:40:02.351503,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.696969696969696)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.085714285714285)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:03.490748,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.085714285714285)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:04.693177,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.085714285714285)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:05.936471,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.085714285714285)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:07.132456,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.085714285714285)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:08.296239,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.959999999999999)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:09.389226,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.959999999999999)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:10.421848,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.959999999999999)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:11.380567,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.959999999999999)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:12.521747,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.696969696969696)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.959999999999999)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:13.672330,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.696969696969696)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.959999999999999)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:14.827315,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.696969696969696)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.959999999999999)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:15.900819,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.696969696969696)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.959999999999999)","(5.0, 7.0, 6.4)","(26.0, 70.0, 44.5)"
07-12-2022 20:40:17.026399,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 6.0)","(10.0, 22.0, 15.75)","(7.0, 12.0, 10.11111111111111)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:18.245008,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.75)","(7.0, 12.0, 10.11111111111111)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:19.487552,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.75)","(7.0, 12.0, 9.166666666666666)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:20.643726,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 18.75)","(7.0, 12.0, 9.166666666666666)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:21.850631,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 21.0, 18.75)","(7.0, 12.0, 9.166666666666666)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:23.116483,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 21.0, 18.75)","(7.0, 12.0, 9.166666666666666)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:24.321937,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 21.0, 18.75)","(7.0, 12.0, 9.166666666666666)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:25.361888,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 21.0, 18.75)","(7.0, 12.0, 9.166666666666666)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:26.460656,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 21.0, 18.75)","(7.0, 12.0, 9.166666666666666)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:27.694140,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 21.0, 18.75)","(7.0, 12.0, 9.166666666666666)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:28.978336,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 5.696969696969696)","(10.0, 21.0, 18.75)","(7.0, 12.0, 9.166666666666666)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:30.185696,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.696969696969696)","(10.0, 21.0, 18.75)","(7.0, 12.0, 9.166666666666666)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:31.375978,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.686486486486486)","(10.0, 21.0, 18.75)","(7.0, 12.0, 10.11111111111111)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.333333333333336)"
07-12-2022 20:40:32.603225,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.686486486486486)","(10.0, 21.0, 16.5)","(7.0, 12.0, 9.875)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:40:33.745411,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.4, 5.686486486486486)","(10.0, 21.0, 16.5)","(7.0, 12.0, 9.875)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:40:34.937406,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 21.0, 15.333333333333334)","(7.0, 12.0, 9.875)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:40:36.147801,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 15.333333333333334)","(7.0, 12.0, 9.875)","(5.0, 7.0, 6.4)","(26.0, 70.0, 55.6)"
07-12-2022 20:40:37.368544,"(3.4, 5.0, 4.55)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 18.833333333333332)","(7.0, 12.0, 9.875)","(5.0, 7.0, 6.4)","(26.0, 70.0, 56.66666666666667)"
07-12-2022 20:40:38.590998,"(3.4, 5.0, 4.75)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 5.866666666666666)","(10.0, 22.0, 16.72222222222222)","(7.0, 12.0, 9.875)","(5.0, 7.0, 6.4)","(26.0, 70.0, 56.66666666666667)"
07-12-2022 20:40:39.829056,"(3.4, 5.0, 4.75)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 5.866666666666666)","(10.0, 22.0, 16.72222222222222)","(7.0, 12.0, 9.875)","(5.0, 7.0, 6.4)","(26.0, 70.0, 56.66666666666667)"
07-12-2022 20:40:40.920098,"(3.4, 5.0, 4.75)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 5.866666666666666)","(10.0, 22.0, 16.72222222222222)","(7.0, 12.0, 9.875)","(5.0, 7.0, 6.4)","(26.0, 70.0, 56.66666666666667)"
07-12-2022 20:40:42.214439,"(3.4, 5.0, 4.75)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 6.0)","(10.0, 22.0, 18.041666666666664)","(7.0, 12.0, 9.88888888888889)","(5.0, 7.0, 6.4)","(26.0, 70.0, 43.333333333333336)"
07-12-2022 20:40:43.633266,"(3.4, 6.6, 6.409090909090909)","(3.2, 4.0, 3.804081632653061)","(4.6, 6.2, 5.866666666666666)","(10.0, 22.0, 17.076923076923077)","(7.0, 12.0, 9.88888888888889)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:40:45.060036,"(3.4, 6.2, 5.4)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.866666666666666)","(10.0, 21.0, 17.076923076923077)","(7.0, 12.0, 9.88888888888889)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:40:46.413022,"(3.4, 6.2, 5.4)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.866666666666666)","(10.0, 20.0, 16.875)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:40:47.702544,"(3.4, 6.2, 6.0)","(3.2, 4.0, 3.8528846153846157)","(4.6, 6.2, 5.866666666666666)","(10.0, 20.0, 16.875)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:40:49.077723,"(3.4, 6.2, 5.95)","(3.2, 4.0, 3.8528846153846157)","(4.6, 6.2, 5.866666666666666)","(10.0, 20.0, 16.875)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:40:50.434300,"(3.4, 6.2, 5.95)","(3.2, 4.0, 3.8528846153846157)","(4.6, 6.2, 5.866666666666666)","(10.0, 20.0, 16.875)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:40:51.680656,"(3.4, 6.2, 5.95)","(3.2, 4.0, 3.8528846153846157)","(4.6, 6.2, 5.866666666666666)","(10.0, 20.0, 16.875)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:40:52.888224,"(3.4, 6.2, 5.95)","(3.2, 4.0, 3.8528846153846157)","(4.6, 6.2, 5.866666666666666)","(10.0, 20.0, 16.875)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:40:54.094859,"(3.4, 6.2, 6.033333333333333)","(3.2, 4.0, 3.8528846153846157)","(4.6, 6.2, 5.866666666666666)","(10.0, 20.0, 18.625)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:40:55.298290,"(3.4, 6.2, 6.033333333333333)","(3.2, 4.0, 3.8528846153846157)","(4.6, 6.2, 5.866666666666666)","(10.0, 19.5, 18.625)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:40:56.479725,"(3.4, 6.2, 6.033333333333333)","(3.2, 4.0, 3.8528846153846157)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.5, 18.625)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:40:57.720356,"(3.4, 6.2, 6.033333333333333)","(3.2, 4.0, 3.8528846153846157)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.5, 18.625)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:40:58.992368,"(3.4, 6.2, 6.033333333333333)","(3.2, 4.0, 3.8528846153846157)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.5, 18.625)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 36.666666666666664)"
07-12-2022 20:41:00.202031,"(3.4, 6.2, 6.033333333333333)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.5, 18.625)","(7.0, 12.0, 10.2)","(5.0, 7.0, 6.4)","(26.0, 70.0, 47.77777777777778)"
07-12-2022 20:41:01.377705,"(3.4, 6.0, 5.5)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.5, 17.333333333333332)","(7.0, 12.0, 9.166666666666666)","(5.0, 7.0, 6.4)","(26.0, 70.0, 41.5)"
07-12-2022 20:41:02.582481,"(3.4, 6.0, 4.9714285714285715)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.5, 14.857142857142858)","(7.0, 12.0, 10.05)","(5.0, 7.0, 6.7)","(26.0, 70.0, 41.5)"
07-12-2022 20:41:03.733320,"(3.4, 5.5, 5.15)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.5, 14.857142857142858)","(7.0, 11.5, 9.28)","(5.0, 7.0, 6.4)","(26.0, 70.0, 41.5)"
07-12-2022 20:41:04.871708,"(3.4, 5.9, 5.02)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.5, 14.333333333333334)","(7.0, 12.0, 10.92)","(5.0, 7.0, 6.7)","(26.0, 70.0, 41.5)"
07-12-2022 20:41:06.031999,"(3.4, 5.5, 5.15)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.0, 14.714285714285714)","(7.0, 11.5, 10.3)","(5.0, 7.0, 6.199999999999999)","(26.0, 70.0, 41.5)"
07-12-2022 20:41:07.171364,"(3.4, 5.9, 4.9222222222222225)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.0, 14.714285714285714)","(7.0, 12.0, 10.3)","(5.0, 6.6, 6.1)","(26.0, 70.0, 41.5)"
07-12-2022 20:41:08.287272,"(3.4, 5.9, 4.9222222222222225)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.0, 14.714285714285714)","(7.0, 12.0, 10.11111111111111)","(5.0, 6.4, 6.266666666666667)","(26.0, 70.0, 41.5)"
07-12-2022 20:41:09.328230,"(3.4, 5.6, 5.199999999999999)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.0, 14.714285714285714)","(7.0, 12.0, 10.11111111111111)","(5.0, 6.6, 6.266666666666667)","(26.0, 70.0, 41.5)"
07-12-2022 20:41:10.468435,"(3.4, 5.6, 5.199999999999999)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.0, 14.714285714285714)","(7.0, 12.0, 10.3)","(5.0, 6.6, 6.449999999999999)","(26.0, 70.0, 43.0)"
07-12-2022 20:41:11.588760,"(3.4, 5.8, 5.3)","(3.2, 4.0, 3.853061224489796)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.0, 14.416666666666666)","(7.0, 12.0, 10.488888888888889)","(5.0, 6.6, 6.1)","(26.0, 70.0, 43.0)"
07-12-2022 20:41:12.737680,"(3.4, 5.9, 5.011111111111111)","(3.2, 4.0, 3.8583333333333334)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.0, 14.416666666666666)","(7.0, 12.0, 10.488888888888889)","(5.0, 6.6, 6.300000000000001)","(26.0, 70.0, 43.0)"
07-12-2022 20:41:13.868268,"(3.4, 5.9, 4.990909090909091)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.2, 5.942857142857143)","(10.0, 19.0, 14.416666666666666)","(7.0, 12.0, 10.488888888888889)","(5.0, 6.4, 6.199999999999999)","(26.0, 70.0, 43.0)"
07-12-2022 20:41:15.002970,"(3.4, 5.9, 4.990909090909091)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.2, 5.684210526315789)","(10.0, 19.0, 14.416666666666666)","(7.0, 12.0, 9.08)","(5.0, 6.6, 6.199999999999999)","(26.0, 70.0, 43.0)"
07-12-2022 20:41:16.235416,"(3.4, 5.4, 4.929411764705883)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.0, 5.672727272727273)","(10.0, 19.0, 14.416666666666666)","(7.0, 11.0, 8.96923076923077)","(5.0, 6.6, 6.327272727272727)","(26.0, 70.0, 48.4)"
07-12-2022 20:41:17.358767,"(3.4, 5.4, 4.923809523809524)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.0, 5.672727272727273)","(10.0, 19.0, 14.416666666666666)","(7.0, 11.0, 8.96923076923077)","(5.0, 6.6, 6.1)","(26.0, 70.0, 52.0)"
07-12-2022 20:41:18.337619,"(3.4, 5.3, 4.95)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.0, 5.672727272727273)","(10.0, 19.0, 14.416666666666666)","(7.0, 11.0, 8.96923076923077)","(5.0, 6.6, 6.1)","(26.0, 70.0, 52.0)"
07-12-2022 20:41:19.352704,"(3.4, 5.3, 4.95)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.0, 5.672727272727273)","(10.0, 19.0, 14.416666666666666)","(7.0, 11.0, 8.96923076923077)","(5.0, 6.4, 6.199999999999999)","(26.0, 70.0, 52.0)"
07-12-2022 20:41:20.424110,"(3.4, 5.3, 4.95)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.0, 5.672727272727273)","(10.0, 19.0, 14.285714285714286)","(7.0, 11.0, 8.942857142857143)","(5.0, 6.6, 6.371428571428572)","(26.0, 70.0, 52.0)"
07-12-2022 20:41:21.463075,"(3.4, 5.3, 4.95)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.0, 5.672727272727273)","(10.0, 19.0, 14.416666666666666)","(7.0, 11.0, 8.96923076923077)","(5.0, 6.4, 6.199999999999999)","(26.0, 70.0, 52.0)"
07-12-2022 20:41:22.614556,"(3.4, 5.3, 4.95)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.0, 5.672727272727273)","(10.0, 19.0, 14.416666666666666)","(7.0, 11.0, 8.96923076923077)","(5.0, 6.6, 6.1)","(26.0, 70.0, 52.0)"
07-12-2022 20:41:23.720991,"(3.4, 5.3, 4.95)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.0, 5.672727272727273)","(10.0, 19.0, 14.416666666666666)","(7.0, 11.0, 8.96923076923077)","(5.0, 6.6, 6.171428571428572)","(26.0, 70.0, 52.0)"
07-12-2022 20:41:24.876510,"(3.4, 5.3, 4.95)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.0, 5.672727272727273)","(10.0, 19.0, 14.416666666666666)","(7.0, 11.0, 8.96923076923077)","(5.0, 6.2, 6.199999999999999)","(26.0, 70.0, 52.0)"
07-12-2022 20:41:25.984847,"(3.4, 5.3, 4.95)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.0, 5.828571428571428)","(10.0, 19.0, 14.416666666666666)","(7.0, 11.0, 9.56)","(5.0, 6.6, 5.957894736842105)","(26.0, 70.0, 52.0)"
07-12-2022 20:41:27.110634,"(3.4, 5.3, 4.95)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.0, 5.828571428571428)","(10.0, 19.0, 14.416666666666666)","(7.0, 11.0, 9.56)","(5.0, 6.4, 5.855555555555556)","(26.0, 70.0, 52.0)"
07-12-2022 20:41:28.397602,"(3.4, 5.3, 4.95)","(3.2, 4.0, 3.8588235294117648)","(4.6, 6.0, 5.726315789473684)","(10.0, 19.0, 14.285714285714286)","(7.0, 11.0, 9.4)","(5.0, 6.4, 6.590909090909091)","(26.0, 70.0, 52.0)"
