,Trixie Kade,Bogan Valley,Hillys Howler,Hestons Mate,Betty Birdcage
10-01-2023 12:52:45.654371,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 22.733333333333334)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:46.498030,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 22.733333333333334)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:47.379934,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 22.733333333333334)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:48.314684,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 22.733333333333334)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:49.189528,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 22.733333333333334)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:49.989760,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 22.733333333333334)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:50.856737,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.5)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:51.707719,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.5)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:52.613940,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:53.542677,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:54.435651,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:55.240363,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:56.175645,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:57.079770,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:57.919263,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:58.806874,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:52:59.678115,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:00.483256,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:01.375801,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:02.266554,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:03.145864,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:04.045602,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:04.884057,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:05.757620,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:06.679101,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:07.597514,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:08.388528,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:09.251758,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:10.096167,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:10.947376,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:11.895568,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:12.774950,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:13.558657,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:14.502405,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:15.501327,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:16.344647,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:17.224141,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:18.089303,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:18.910778,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:19.847027,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:20.779940,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:21.560228,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:22.436818,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:23.393049,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:24.296374,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:25.157407,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:26.036895,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:26.873678,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:27.754912,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:28.754230,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:29.683663,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:30.569849,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:31.367424,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:32.305200,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:33.245936,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:34.125781,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:34.943809,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:35.857147,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:36.800494,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:37.738445,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:38.672437,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:39.595062,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:40.407113,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:41.358785,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:42.308775,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:43.111933,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:44.043744,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:44.913041,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:45.739377,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:46.725301,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:47.673679,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:48.517270,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:49.434598,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:50.337973,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:51.229965,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:52.159589,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:52.998824,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:53.868597,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:54.798510,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:55.693275,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:56.602568,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:57.494164,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:58.372852,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:53:59.308679,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:00.263937,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:01.112306,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:02.016996,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:02.933910,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:03.750440,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:04.744575,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:05.652459,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:06.519269,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:07.441772,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:08.331449,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:09.231175,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:10.205417,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:11.148363,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:11.955009,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:12.836800,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:13.717203,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:14.566326,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:15.517131,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
10-01-2023 12:54:16.401240,"(1.6, 1.64, 1.6354716981132074)","(6.0, 24.0, 21.04)","(12.0, 23.0, 18.07142857142857)","(11.0, 24.0, 15.666666666666668)","(3.9, 6.4, 5.94)"
