,Gutho,Sleepdance,Helens Dream,Johnny Deep,Chilli Moment,Golden Groove,My Moses,Invaness,Angama
05-01-2023 12:23:13.706335,"(31.0, 75.0, 66.71428571428572)","(11.0, 18.5, 17.7)","(8.5, 9.6, 8.7)","(6.0, 9.2, 8.879999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.6, 2.5275)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.254545454545454)","(41.0, 200.0, 132.5)"
05-01-2023 12:23:14.918618,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.40909090909091)","(8.5, 9.6, 8.454545454545453)","(6.0, 9.2, 8.5)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.6, 2.5275)","(11.0, 14.5, 11.833333333333334)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:16.159036,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.6, 8.76)","(6.0, 9.2, 8.5)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.675609756097561)","(11.0, 14.5, 11.833333333333334)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:17.321099,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.6, 8.76)","(6.0, 9.2, 8.639999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.624137931034483)","(11.0, 14.5, 11.833333333333334)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:18.426325,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.6, 8.76)","(6.0, 9.2, 8.639999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.6131428571428574)","(11.0, 14.5, 11.833333333333334)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:19.535956,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.6, 8.76)","(6.0, 9.2, 8.639999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.6131428571428574)","(11.0, 14.5, 11.833333333333334)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:20.616121,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.4, 8.52)","(6.0, 9.2, 8.639999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.6131428571428574)","(11.0, 14.5, 11.833333333333334)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:21.795710,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.959999999999999)","(6.0, 9.2, 8.639999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.6131428571428574)","(11.0, 14.5, 11.833333333333334)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:22.908464,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.6)","(6.0, 9.2, 8.639999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.6131428571428574)","(11.0, 14.5, 11.875)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:24.103702,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.6)","(6.0, 9.2, 8.639999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.6131428571428574)","(11.0, 14.5, 11.875)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:25.293317,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.6)","(6.0, 9.2, 8.639999999999999)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.6131428571428574)","(11.0, 14.5, 11.833333333333334)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:26.499180,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.4)","(6.0, 9.2, 8.266666666666666)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:27.696509,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.266666666666666)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:28.879702,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.266666666666666)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:30.094201,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.266666666666666)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:31.148797,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.266666666666666)","(7.5, 14.5, 14.321428571428571)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 11.38888888888889)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:32.326164,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.266666666666666)","(7.5, 14.5, 14.407407407407408)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 11.833333333333334)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:33.473752,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 19.0, 15.285714285714285)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 11.833333333333334)","(7.0, 7.6, 7.264)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:34.558833,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 18.5, 14.9)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:35.637656,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 18.5, 13.625)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:36.745908,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 18.5, 13.625)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 200.0, 113.33333333333334)"
05-01-2023 12:23:37.857264,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 18.5, 14.954545454545455)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 200.0, 110.0)"
05-01-2023 12:23:38.987508,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 18.0, 16.285714285714285)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:40.074073,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 18.0, 15.0)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:41.176700,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 15.928571428571429)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:42.287383,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.0)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:43.385333,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.5)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:44.484363,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.5)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:45.575129,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.5)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:46.671784,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.5)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:47.797356,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.5)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.68, 2.6101492537313433)","(11.0, 14.5, 13.0)","(7.0, 7.6, 7.52)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:48.960171,"(31.0, 75.0, 55.666666666666664)","(11.0, 18.5, 17.25)","(8.5, 9.2, 8.342857142857143)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.68, 2.570909090909091)","(11.0, 16.5, 12.642857142857142)","(7.0, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:50.031817,"(31.0, 75.0, 49.0)","(11.0, 18.5, 17.25)","(8.5, 8.8, 8.666666666666668)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.66, 2.570909090909091)","(11.0, 16.5, 12.642857142857142)","(7.0, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:51.161792,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.392857142857142)","(8.5, 8.8, 8.707692307692309)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.66, 2.6490909090909094)","(11.0, 15.5, 13.4)","(7.0, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:52.270976,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.392857142857142)","(8.5, 8.8, 8.707692307692309)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.66, 2.6490909090909094)","(11.0, 15.5, 13.4)","(7.0, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:53.666052,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.392857142857142)","(8.5, 8.8, 8.707692307692309)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.66, 2.6490909090909094)","(11.0, 15.5, 14.1875)","(7.0, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:54.826801,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.392857142857142)","(8.5, 8.8, 8.707692307692309)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.66, 2.6490909090909094)","(11.0, 15.5, 14.1875)","(7.0, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:55.879657,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.392857142857142)","(8.5, 8.8, 8.707692307692309)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.66, 2.6490909090909094)","(11.0, 15.5, 14.1875)","(7.0, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:56.953481,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.392857142857142)","(8.5, 8.8, 8.707692307692309)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.66, 2.6490909090909094)","(11.0, 15.5, 14.1875)","(7.0, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:58.087959,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.392857142857142)","(8.5, 8.8, 8.707692307692309)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.1, 2.66, 2.6490909090909094)","(11.0, 15.5, 14.1875)","(7.0, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:23:59.241754,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.392857142857142)","(8.0, 8.8, 8.707692307692309)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 15.5, 14.1875)","(6.5, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:24:00.540742,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.392857142857142)","(8.0, 8.8, 8.707692307692309)","(6.0, 9.2, 8.033333333333333)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.75)","(6.5, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:24:01.763996,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.26923076923077)","(8.0, 8.8, 8.707692307692309)","(6.0, 9.2, 8.533333333333333)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.75)","(6.5, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:24:02.911104,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.707692307692309)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.75)","(6.5, 7.6, 7.545454545454545)","(41.0, 190.0, 110.0)"
05-01-2023 12:24:04.134824,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.707692307692309)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.75)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:05.313981,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.707692307692309)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.75)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:06.591205,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.707692307692309)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 16.0)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:07.751513,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.707692307692309)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 16.0)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:08.881272,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.707692307692309)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 16.0)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:09.974009,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.707692307692309)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 16.0)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:11.008945,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.707692307692309)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 16.0)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:12.092967,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.707692307692309)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 16.0)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:13.200920,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.5, 14.75)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 16.0)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:14.346626,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.5, 15.571428571428571)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 16.0)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:15.516474,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.0, 14.5)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 16.0)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:16.775803,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.0, 14.5)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 16.0)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:18.005632,"(31.0, 75.0, 49.0)","(11.0, 18.0, 16.125)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.0, 14.5)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.166666666666666)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:19.415087,"(31.0, 75.0, 49.0)","(11.0, 18.0, 15.5)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.0, 14.5)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.166666666666666)","(6.5, 7.6, 7.545454545454545)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:20.648636,"(31.0, 75.0, 49.0)","(11.0, 18.0, 15.5)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.0, 14.5)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.5)","(6.5, 7.6, 7.56)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:21.850356,"(31.0, 75.0, 49.0)","(11.0, 18.0, 15.5)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.0, 14.5)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.5)","(6.5, 7.6, 7.56)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:22.980284,"(31.0, 75.0, 49.0)","(11.0, 18.0, 15.5)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.0, 14.5)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.5)","(6.5, 7.6, 7.56)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:24.106841,"(31.0, 75.0, 49.0)","(11.0, 18.0, 15.5)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.0, 14.5)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.5)","(6.5, 7.6, 7.56)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:25.283318,"(31.0, 75.0, 49.0)","(11.0, 18.0, 15.5)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.0, 14.5)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.5)","(6.5, 7.6, 7.56)","(41.0, 180.0, 106.66666666666666)"
05-01-2023 12:24:26.436064,"(31.0, 75.0, 49.0)","(11.0, 18.0, 15.5)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.0, 14.5)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.5)","(6.5, 7.6, 7.56)","(41.0, 230.0, 110.0)"
05-01-2023 12:24:27.532266,"(31.0, 75.0, 49.0)","(11.0, 18.0, 15.5)","(8.0, 8.8, 8.685714285714287)","(6.0, 9.2, 7.866666666666666)","(7.5, 17.0, 14.5)","(2.15, 2.66, 2.6490909090909094)","(10.0, 16.5, 15.5)","(6.5, 7.6, 7.56)","(41.0, 220.0, 120.0)"
