,Hut Six,Spot Of Rum,Fleet Feet Pete,Charming Spirit,Recalibrate
12-01-2023 15:09:54.676859,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:55.522888,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:56.607607,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:57.466399,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:58.457011,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:09:59.428695,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:00.412269,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:01.399617,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:02.220268,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:03.190076,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:04.209936,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:05.151512,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:06.142823,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:07.002188,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:07.848419,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:08.886902,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:09.752539,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:10.626090,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:11.657862,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:12.628755,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:13.492634,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:14.533101,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:15.500949,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:16.366151,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:17.319801,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:18.245760,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:19.152436,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:20.001757,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 149.0)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:20.940523,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:21.950950,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:22.894819,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:23.869968,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:24.714523,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:25.656102,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:26.571614,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:27.457110,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:28.355226,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:29.175631,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:30.239486,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:31.192933,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:32.202071,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:33.326056,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:34.216473,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:35.134358,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:36.202903,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:37.100669,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:38.040611,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:38.938203,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:39.880637,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:40.854084,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:41.820682,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:42.889381,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:43.842867,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:44.797288,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:45.836546,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:46.860602,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:47.845888,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:48.905174,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:49.747024,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:50.621817,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:51.586893,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:52.553047,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:53.550577,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:54.566588,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:55.544253,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:56.501278,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:57.619663,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:58.655659,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:10:59.548779,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:00.615603,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:01.543121,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:02.556516,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:03.566337,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:04.417333,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:05.368273,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:06.216490,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:07.238964,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 5.877777777777777)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:08.284877,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:09.265744,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:10.291923,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:11.301723,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:12.214017,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:13.252996,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:14.209280,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:15.092138,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:16.076563,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:16.985169,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:17.998138,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:19.015877,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:19.974137,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:20.951605,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:21.883747,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:22.893675,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:23.800928,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:24.737621,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:25.680849,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:26.667593,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:27.664132,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:28.530129,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:29.534069,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:30.531671,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:31.552972,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:32.586436,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:33.558027,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:34.514988,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
12-01-2023 15:11:35.515530,"(3.1, 4.9, 3.6944186046511627)","(41.0, 260.0, 137.77777777777777)","(4.4, 7.6, 4.9959999999999996)","(19.0, 60.0, 51.82692307692307)","(1.65, 2.22, 1.6503448275862067)"
