,Black Tuxedo,Spring Casper,Lady Dior,Rico Eclipse,Balbina Bale,Pierre Bale
04-01-2023 13:04:47.370488,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2580582524271846)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:48.383006,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2580582524271846)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:49.324396,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2580582524271846)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:50.269193,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2580582524271846)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:51.228537,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2580582524271846)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:52.317332,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.274634146341463)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:53.385126,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.274634146341463)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:54.429995,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.274634146341463)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:55.355562,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.274634146341463)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:56.549689,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.274634146341463)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:57.567282,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.274634146341463)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:58.550079,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.274634146341463)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:04:59.556602,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.274634146341463)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:00.548056,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.274634146341463)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:01.430572,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.274634146341463)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:02.420767,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.296619718309859)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:03.443857,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.296619718309859)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:04.464950,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.296619718309859)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:05.437793,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.296619718309859)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:06.407973,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.296619718309859)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:07.283719,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.296619718309859)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:08.221246,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.296619718309859)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:09.142290,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.296619718309859)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:10.119797,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.296619718309859)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:11.072272,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.296619718309859)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:11.999736,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.296619718309859)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:12.866753,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.296619718309859)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:13.810747,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:14.813271,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:15.788453,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:16.690377,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:17.682392,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:18.697682,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:19.657345,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:20.545522,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:21.478737,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:22.426362,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:23.346249,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:24.295495,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:25.215703,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:26.231501,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
04-01-2023 13:05:27.217192,"(14.0, 32.0, 23.458333333333332)","(2.2, 2.86, 2.2941463414634145)","(5.5, 10.0, 8.222222222222221)","(16.0, 44.0, 29.25)","(4.4, 7.0, 6.910344827586207)","(3.4, 5.9, 4.078571428571429)"
