,Peak Contributer,Battle Award,Bin Chicken,Coudreau,Hello Carol,Howling Victory,Lambeau Leap,Little Complicated,Sherman,Trianon
08-01-2023 13:11:18.327541,"(4.2, 5.4, 5.03943661971831)","(21.0, 34.0, 33.191489361702125)","(71.0, 95.0, 94.16666666666667)","(6.0, 7.8, 7.768944099378881)","(13.0, 18.0, 17.21978021978022)","(1.95, 2.16, 2.143529411764706)","(101.0, 360.0, 333.3333333333333)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 94.44444444444444)","(8.0, 10.5, 10.344444444444445)"
08-01-2023 13:11:19.618234,"(4.2, 5.4, 5.065573770491803)","(21.0, 34.0, 33.15555555555556)","(71.0, 95.0, 94.16666666666667)","(6.0, 7.8, 7.757983193277311)","(13.0, 18.0, 17.1125)","(1.95, 2.16, 2.14)","(101.0, 370.0, 333.6363636363636)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 94.70588235294117)","(8.0, 10.5, 10.038461538461538)"
08-01-2023 13:11:20.923782,"(4.2, 5.4, 5.245454545454546)","(21.0, 34.0, 33.44)","(71.0, 95.0, 94.73684210526315)","(6.0, 8.0, 7.975)","(13.0, 18.0, 17.08139534883721)","(1.95, 2.14, 2.1393750000000002)","(101.0, 370.0, 333.6363636363636)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 95.5)","(8.0, 10.5, 10.214285714285714)"
08-01-2023 13:11:22.229131,"(4.2, 5.1, 5.087878787878788)","(21.0, 34.0, 33.44)","(71.0, 95.0, 98.07692307692308)","(6.0, 8.0, 7.9911111111111115)","(13.0, 18.0, 17.22222222222222)","(1.95, 2.14, 2.1402535657686212)","(101.0, 370.0, 333.6363636363636)","(101.0, 350.0, 346.7741935483871)","(71.0, 100.0, 96.08695652173913)","(8.0, 10.5, 10.426470588235293)"
08-01-2023 13:11:23.580716,"(4.2, 5.1, 5.085964912280701)","(21.0, 34.0, 33.925925925925924)","(71.0, 100.0, 95.52631578947368)","(6.0, 8.0, 7.990243902439024)","(13.0, 18.0, 17.22222222222222)","(1.95, 2.18, 2.132015113350126)","(101.0, 370.0, 333.6363636363636)","(101.0, 350.0, 346.7741935483871)","(71.0, 100.0, 96.08695652173913)","(8.0, 10.5, 10.531645569620252)"
08-01-2023 13:11:24.918950,"(4.2, 5.4, 5.326153846153846)","(21.0, 34.0, 33.89473684210526)","(71.0, 100.0, 95.52631578947368)","(6.0, 8.0, 7.994029850746268)","(13.0, 18.0, 17.22222222222222)","(1.95, 2.18, 2.1571830985915494)","(101.0, 370.0, 333.6363636363636)","(101.0, 350.0, 346.7741935483871)","(71.0, 100.0, 96.08695652173913)","(8.0, 11.0, 10.528662420382165)"
08-01-2023 13:11:26.266745,"(4.2, 5.3, 5.237313432835821)","(21.0, 34.0, 33.89473684210526)","(71.0, 100.0, 94.51612903225806)","(6.0, 8.0, 7.992156862745098)","(13.0, 18.0, 17.142857142857142)","(1.95, 2.16, 2.1577653631284917)","(101.0, 370.0, 333.6363636363636)","(101.0, 350.0, 346.7741935483871)","(71.0, 100.0, 93.57142857142857)","(8.0, 11.0, 10.350877192982455)"
08-01-2023 13:11:27.636909,"(4.2, 5.3, 5.237313432835821)","(21.0, 34.0, 33.935483870967744)","(71.0, 100.0, 95.27777777777777)","(6.0, 8.0, 7.996039603960396)","(13.0, 18.0, 17.104477611940297)","(1.95, 2.16, 2.1579274611398964)","(101.0, 370.0, 336.6666666666667)","(101.0, 350.0, 346.875)","(71.0, 100.0, 91.5625)","(8.0, 11.0, 10.611483253588517)"
08-01-2023 13:11:28.970484,"(4.2, 5.3, 5.245161290322581)","(21.0, 34.0, 33.92)","(71.0, 100.0, 95.0)","(6.0, 8.0, 7.993548387096774)","(13.0, 18.0, 17.166666666666668)","(1.95, 2.16, 2.135897435897436)","(101.0, 370.0, 336.6666666666667)","(101.0, 350.0, 346.875)","(71.0, 100.0, 92.05882352941177)","(8.0, 11.0, 10.362637362637363)"
08-01-2023 13:11:30.299720,"(4.2, 5.3, 5.209756097560975)","(21.0, 34.0, 33.92)","(71.0, 100.0, 95.0)","(6.0, 8.0, 7.993650793650794)","(13.0, 18.0, 17.166666666666668)","(1.95, 2.18, 2.1454271356783923)","(101.0, 370.0, 338.75)","(101.0, 350.0, 346.875)","(71.0, 100.0, 92.05882352941177)","(8.0, 11.0, 10.323529411764707)"
08-01-2023 13:11:31.637506,"(4.2, 5.3, 5.258273381294964)","(21.0, 34.0, 33.92)","(71.0, 100.0, 95.0)","(6.0, 8.0, 7.993548387096774)","(13.0, 18.0, 17.14814814814815)","(1.95, 2.18, 2.1454271356783923)","(101.0, 370.0, 338.75)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 92.05882352941177)","(8.0, 10.5, 10.30188679245283)"
08-01-2023 13:11:32.962727,"(4.2, 5.3, 5.245454545454545)","(21.0, 34.0, 33.92)","(71.0, 100.0, 95.0)","(6.0, 8.0, 7.993548387096774)","(13.0, 18.0, 17.08)","(1.95, 2.18, 2.146506024096386)","(101.0, 370.0, 338.75)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 92.05882352941177)","(8.0, 10.5, 10.39795918367347)"
08-01-2023 13:11:34.251651,"(4.2, 5.3, 5.244262295081967)","(21.0, 34.0, 33.91304347826087)","(71.0, 100.0, 95.0)","(6.0, 8.0, 7.993548387096774)","(13.0, 18.0, 17.08)","(1.95, 2.18, 2.146404833836858)","(101.0, 370.0, 340.5882352941176)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 92.5)","(8.0, 11.0, 10.24742268041237)"
08-01-2023 13:11:35.501192,"(4.2, 5.3, 5.2376146788990825)","(21.0, 34.0, 33.92307692307692)","(71.0, 100.0, 95.14285714285714)","(6.0, 8.0, 7.928421052631579)","(13.0, 18.0, 17.520833333333332)","(1.95, 2.18, 2.163202416918429)","(101.0, 370.0, 340.5882352941176)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 92.5)","(8.0, 11.0, 10.24742268041237)"
08-01-2023 13:11:36.725346,"(4.2, 5.3, 5.228421052631579)","(21.0, 34.0, 33.92307692307692)","(71.0, 100.0, 95.14285714285714)","(6.0, 8.0, 7.777272727272727)","(13.0, 18.0, 16.673076923076923)","(1.95, 2.18, 2.1446984126984128)","(101.0, 370.0, 340.5882352941176)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 92.5)","(8.0, 11.0, 10.24742268041237)"
08-01-2023 13:11:37.939642,"(4.2, 5.3, 5.212380952380952)","(21.0, 34.0, 33.92307692307692)","(71.0, 100.0, 95.14285714285714)","(6.0, 7.8, 7.75)","(13.0, 18.0, 17.581818181818182)","(1.95, 2.18, 2.1622929936305733)","(101.0, 370.0, 340.5882352941176)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 92.5)","(8.0, 11.0, 10.31578947368421)"
08-01-2023 13:11:39.153321,"(4.2, 5.3, 5.1635294117647055)","(21.0, 34.0, 33.92307692307692)","(71.0, 100.0, 95.14285714285714)","(6.0, 7.8, 7.75)","(13.0, 18.0, 17.544554455445546)","(1.95, 2.18, 2.1626277372262774)","(101.0, 370.0, 336.6666666666667)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 92.5)","(8.0, 10.5, 10.333333333333334)"
08-01-2023 13:11:40.373448,"(4.2, 5.3, 5.147368421052631)","(21.0, 34.0, 33.92307692307692)","(71.0, 100.0, 95.14285714285714)","(6.0, 7.8, 7.75)","(13.0, 18.0, 17.544554455445546)","(1.95, 2.18, 2.142666666666667)","(101.0, 370.0, 336.6666666666667)","(101.0, 350.0, 346.6666666666667)","(71.0, 100.0, 92.5)","(8.0, 10.5, 10.357142857142858)"
08-01-2023 13:11:41.622379,"(4.2, 5.3, 5.149350649350649)","(21.0, 34.0, 33.67567567567568)","(71.0, 100.0, 95.14285714285714)","(6.0, 7.8, 7.730666666666666)","(13.0, 17.0, 16.886363636363637)","(1.95, 2.18, 2.1621004566210047)","(101.0, 370.0, 336.6666666666667)","(101.0, 350.0, 346.7741935483871)","(71.0, 100.0, 91.0)","(8.0, 10.5, 10.4375)"
08-01-2023 13:11:42.851435,"(4.2, 5.3, 5.166666666666666)","(21.0, 34.0, 33.51111111111111)","(71.0, 100.0, 92.96875)","(6.0, 7.8, 7.797183098591549)","(13.0, 17.0, 16.6875)","(1.95, 2.18, 2.1605940594059407)","(101.0, 370.0, 336.6666666666667)","(101.0, 350.0, 346.7741935483871)","(71.0, 100.0, 91.81818181818181)","(8.0, 10.5, 10.4375)"
08-01-2023 13:11:44.123925,"(4.4, 5.3, 5.143243243243243)","(26.0, 34.0, 33.51111111111111)","(71.0, 95.0, 92.96875)","(6.5, 7.8, 7.796875)","(13.0, 17.0, 16.6875)","(1.95, 2.18, 2.1591044776119404)","(101.0, 370.0, 336.6666666666667)","(101.0, 350.0, 346.7741935483871)","(71.0, 100.0, 91.81818181818181)","(8.5, 10.5, 10.444444444444445)"
08-01-2023 13:11:45.348503,"(4.4, 5.3, 5.143243243243243)","(26.0, 34.0, 33.51111111111111)","(71.0, 95.0, 93.03030303030303)","(6.5, 7.8, 7.797435897435897)","(13.0, 17.0, 16.772727272727273)","(1.95, 2.16, 2.1508955223880597)","(101.0, 370.0, 338.75)","(101.0, 350.0, 346.7741935483871)","(71.0, 100.0, 93.07692307692308)","(8.5, 10.5, 10.455357142857142)"
08-01-2023 13:11:46.603984,"(4.4, 5.3, 5.189523809523809)","(26.0, 34.0, 33.53191489361702)","(71.0, 95.0, 97.6470588235294)","(6.5, 7.8, 7.797826086956522)","(13.0, 17.0, 16.466101694915253)","(1.95, 2.18, 2.154)","(101.0, 370.0, 338.75)","(101.0, 350.0, 346.7741935483871)","(71.0, 100.0, 93.57142857142857)","(8.5, 10.5, 10.455357142857142)"
08-01-2023 13:11:47.858848,"(4.4, 5.3, 5.207199999999999)","(26.0, 34.0, 33.56)","(71.0, 100.0, 97.6470588235294)","(6.5, 7.8, 7.797826086956522)","(13.0, 16.5, 16.205882352941178)","(1.95, 2.18, 2.152583479789104)","(101.0, 370.0, 338.75)","(101.0, 350.0, 346.7741935483871)","(71.0, 100.0, 93.57142857142857)","(8.5, 10.5, 10.430769230769231)"
08-01-2023 13:11:49.167536,"(4.4, 5.3, 5.207199999999999)","(26.0, 34.0, 33.56)","(71.0, 100.0, 97.6470588235294)","(6.5, 7.8, 7.797826086956522)","(13.0, 16.5, 16.205882352941178)","(1.95, 2.18, 2.137)","(101.0, 370.0, 338.75)","(101.0, 350.0, 346.7741935483871)","(71.0, 100.0, 92.85714285714286)","(8.5, 10.5, 10.230769230769232)"
08-01-2023 13:11:50.533659,"(4.4, 5.3, 5.188461538461538)","(26.0, 34.0, 33.75)","(71.0, 100.0, 94.33333333333333)","(6.5, 8.2, 7.917948717948718)","(13.0, 16.5, 16.022727272727273)","(1.95, 2.14, 2.1393023255813954)","(101.0, 370.0, 338.75)","(101.0, 350.0, 347.14285714285717)","(71.0, 100.0, 92.85714285714286)","(8.5, 10.5, 10.333333333333334)"
08-01-2023 13:11:51.873774,"(4.4, 5.3, 5.188461538461538)","(26.0, 34.0, 33.75)","(71.0, 100.0, 94.33333333333333)","(6.5, 8.0, 7.917948717948718)","(13.0, 16.5, 16.04741379310345)","(1.95, 2.14, 2.1395488721804514)","(101.0, 370.0, 340.5882352941176)","(101.0, 350.0, 347.14285714285717)","(71.0, 100.0, 93.18181818181819)","(8.5, 10.5, 10.321428571428571)"
08-01-2023 13:11:53.309701,"(4.4, 5.3, 5.217117117117117)","(26.0, 34.0, 33.90769230769231)","(71.0, 100.0, 95.14285714285714)","(7.0, 8.0, 7.919658119658119)","(13.0, 16.5, 16.050925925925927)","(1.95, 2.14, 2.1398319327731095)","(101.0, 370.0, 333.6363636363636)","(101.0, 350.0, 347.14285714285717)","(71.0, 100.0, 93.18181818181819)","(8.5, 10.5, 10.346153846153847)"
08-01-2023 13:11:54.633686,"(4.4, 5.3, 5.217117117117117)","(26.0, 34.0, 33.91044776119403)","(71.0, 100.0, 95.14285714285714)","(7.0, 8.2, 7.9372549019607845)","(13.0, 16.5, 15.972826086956522)","(1.95, 2.14, 2.151335740072202)","(101.0, 370.0, 333.6363636363636)","(101.0, 350.0, 347.14285714285717)","(71.0, 100.0, 93.18181818181819)","(8.5, 10.5, 10.083333333333334)"
08-01-2023 13:11:55.928622,"(4.4, 5.3, 5.217117117117117)","(26.0, 34.0, 34.1219512195122)","(71.0, 100.0, 96.5)","(7.0, 8.0, 8.040776699029125)","(13.0, 16.5, 16.005102040816325)","(1.95, 2.16, 2.1324137931034484)","(101.0, 370.0, 333.6363636363636)","(101.0, 350.0, 347.42857142857144)","(81.0, 100.0, 95.83333333333333)","(8.5, 11.0, 10.672619047619047)"
08-01-2023 13:11:57.179125,"(4.4, 5.3, 5.204166666666667)","(26.0, 36.0, 34.1219512195122)","(71.0, 100.0, 96.5)","(7.0, 8.2, 8.040776699029125)","(13.0, 16.5, 16.005102040816325)","(1.95, 2.16, 2.129811320754717)","(101.0, 370.0, 333.6363636363636)","(101.0, 350.0, 347.0967741935484)","(81.0, 100.0, 95.83333333333333)","(8.5, 11.0, 10.645)"
08-01-2023 13:11:58.478435,"(4.4, 5.3, 5.138461538461538)","(26.0, 34.0, 33.74834437086093)","(71.0, 100.0, 96.66666666666667)","(7.0, 8.0, 7.987301587301587)","(13.0, 16.5, 16.057077625570777)","(1.95, 2.16, 2.1456502242152466)","(101.0, 370.0, 333.6363636363636)","(101.0, 350.0, 347.0967741935484)","(81.0, 100.0, 94.64285714285714)","(8.5, 11.0, 10.6340206185567)"
08-01-2023 13:11:59.926699,"(4.4, 5.3, 5.222222222222222)","(26.0, 34.0, 30.52173913043478)","(71.0, 100.0, 96.95652173913044)","(7.0, 8.0, 7.991304347826087)","(13.0, 16.5, 16.243169398907103)","(1.95, 2.16, 2.170761670761671)","(101.0, 370.0, 378.7878787878788)","(101.0, 350.0, 347.1875)","(81.0, 95.0, 94.6875)","(8.5, 11.0, 10.596590909090908)"
08-01-2023 13:12:01.266306,"(4.4, 5.3, 5.222222222222222)","(26.0, 34.0, 30.52173913043478)","(71.0, 100.0, 96.95652173913044)","(7.0, 8.0, 7.989610389610389)","(13.0, 16.5, 16.138461538461538)","(1.95, 2.18, 2.1717816091954023)","(101.0, 380.0, 378.7878787878788)","(101.0, 350.0, 347.1875)","(81.0, 95.0, 94.6875)","(8.5, 11.0, 10.577380952380953)"
08-01-2023 13:12:02.605566,"(4.4, 5.3, 5.250684931506849)","(26.0, 34.0, 29.09090909090909)","(71.0, 100.0, 96.95652173913044)","(7.0, 8.0, 7.977215189873418)","(13.0, 16.5, 16.18243243243243)","(1.95, 2.18, 2.1655555555555557)","(101.0, 380.0, 378.7878787878788)","(101.0, 350.0, 347.1875)","(81.0, 95.0, 94.6875)","(8.5, 11.0, 10.560975609756097)"
08-01-2023 13:12:03.920003,"(4.4, 5.4, 5.303703703703704)","(26.0, 30.0, 29.047619047619047)","(71.0, 100.0, 97.08333333333333)","(7.0, 8.0, 7.883870967741935)","(13.0, 16.5, 16.232876712328768)","(1.95, 2.18, 2.1292307692307695)","(101.0, 380.0, 378.7878787878788)","(101.0, 350.0, 347.1875)","(81.0, 95.0, 94.6875)","(8.5, 11.0, 10.52)"
08-01-2023 13:12:05.296079,"(4.4, 5.4, 5.2555555555555555)","(21.0, 30.0, 29.25925925925926)","(71.0, 100.0, 97.08333333333333)","(7.0, 8.0, 7.744761904761905)","(13.0, 16.5, 16.232876712328768)","(1.95, 2.18, 2.145952380952381)","(101.0, 380.0, 378.97435897435895)","(101.0, 350.0, 347.1875)","(71.0, 95.0, 94.70588235294117)","(8.5, 11.0, 10.576470588235294)"
08-01-2023 13:12:06.687022,"(4.4, 5.4, 5.2555555555555555)","(21.0, 30.0, 29.904761904761905)","(71.0, 100.0, 97.5)","(7.0, 8.0, 7.710714285714285)","(13.0, 16.5, 16.267441860465116)","(1.95, 2.18, 2.1310942578548215)","(101.0, 380.0, 379.2307692307692)","(101.0, 350.0, 347.7142857142857)","(71.0, 95.0, 96.17647058823529)","(8.5, 11.0, 10.666666666666666)"
08-01-2023 13:12:08.057387,"(4.4, 5.4, 5.203125)","(21.0, 30.0, 29.904761904761905)","(71.0, 100.0, 97.96296296296296)","(7.0, 8.0, 7.642647058823529)","(13.0, 16.5, 16.346153846153847)","(1.95, 2.2, 2.152725470763132)","(101.0, 380.0, 379.25)","(101.0, 350.0, 347.77777777777777)","(71.0, 100.0, 96.28571428571429)","(8.5, 11.0, 10.81578947368421)"
08-01-2023 13:12:09.404425,"(4.4, 5.4, 5.326415094339623)","(21.0, 30.0, 29.88235294117647)","(71.0, 100.0, 98.03571428571429)","(7.0, 8.0, 7.663736263736264)","(13.0, 16.5, 16.359154929577464)","(1.95, 2.2, 2.1812500000000004)","(101.0, 380.0, 379.25)","(101.0, 350.0, 347.94871794871796)","(71.0, 100.0, 96.48648648648648)","(8.5, 11.0, 10.8)"
08-01-2023 13:12:10.797700,"(4.4, 5.4, 5.260869565217392)","(21.0, 30.0, 29.923076923076923)","(71.0, 100.0, 98.03571428571429)","(7.0, 7.8, 7.509090909090909)","(13.0, 16.5, 16.366071428571427)","(1.95, 2.2, 2.180429864253394)","(101.0, 380.0, 379.25)","(101.0, 350.0, 347.94871794871796)","(71.0, 100.0, 96.48648648648648)","(8.5, 11.0, 10.787878787878787)"
08-01-2023 13:12:12.129235,"(4.4, 5.4, 5.295384615384616)","(21.0, 30.0, 29.923076923076923)","(71.0, 100.0, 98.03571428571429)","(7.0, 7.6, 7.5009900990099005)","(13.0, 16.5, 16.3125)","(1.95, 2.2, 2.1804668304668304)","(101.0, 380.0, 379.25)","(101.0, 350.0, 347.94871794871796)","(71.0, 100.0, 96.38888888888889)","(8.5, 11.0, 10.787878787878787)"
08-01-2023 13:12:13.469712,"(4.4, 5.4, 5.271698113207547)","(21.0, 30.0, 29.923076923076923)","(71.0, 100.0, 98.69565217391305)","(7.0, 7.6, 7.5009900990099005)","(13.0, 16.5, 16.39090909090909)","(1.95, 2.2, 2.1804954367666234)","(101.0, 380.0, 379.2307692307692)","(101.0, 350.0, 347.94871794871796)","(71.0, 100.0, 96.38888888888889)","(8.5, 11.0, 10.734567901234568)"
08-01-2023 13:12:14.856958,"(4.4, 5.4, 5.357608695652174)","(21.0, 30.0, 29.923076923076923)","(71.0, 100.0, 98.69565217391305)","(6.5, 7.6, 7.5009900990099005)","(13.0, 16.5, 16.39090909090909)","(1.95, 2.2, 2.1804954367666234)","(101.0, 380.0, 379.2307692307692)","(101.0, 350.0, 347.94871794871796)","(81.0, 100.0, 96.38888888888889)","(8.5, 11.0, 10.70945945945946)"
08-01-2023 13:12:16.146654,"(4.4, 5.4, 5.3790000000000004)","(21.0, 30.0, 29.9438202247191)","(71.0, 100.0, 97.14285714285714)","(6.5, 7.6, 7.411111111111111)","(13.0, 16.5, 16.396551724137932)","(1.95, 2.2, 2.1804954367666234)","(101.0, 380.0, 379.2307692307692)","(101.0, 350.0, 347.94871794871796)","(81.0, 100.0, 96.38888888888889)","(8.5, 11.0, 10.70945945945946)"
08-01-2023 13:12:17.448826,"(4.4, 5.4, 5.3790000000000004)","(21.0, 36.0, 29.9438202247191)","(71.0, 100.0, 97.14285714285714)","(6.5, 7.6, 7.411111111111111)","(13.0, 16.5, 16.396551724137932)","(1.95, 2.2, 2.18)","(101.0, 380.0, 379.2307692307692)","(101.0, 350.0, 347.94871794871796)","(71.0, 100.0, 96.28571428571429)","(8.5, 11.0, 10.706666666666667)"
08-01-2023 13:12:18.731496,"(4.4, 5.5, 5.448)","(21.0, 36.0, 29.933333333333334)","(71.0, 100.0, 96.92307692307692)","(6.5, 7.6, 7.571428571428571)","(13.0, 16.5, 16.392857142857142)","(1.95, 2.18, 2.1455214723926384)","(101.0, 380.0, 379.4736842105263)","(101.0, 350.0, 347.94871794871796)","(71.0, 100.0, 96.28571428571429)","(8.5, 11.0, 10.70138888888889)"
08-01-2023 13:12:20.032303,"(4.4, 5.5, 5.230275229357798)","(21.0, 36.0, 29.9438202247191)","(71.0, 100.0, 96.92307692307692)","(6.5, 7.6, 7.571428571428571)","(13.0, 16.5, 16.392857142857142)","(1.95, 2.2, 2.1455214723926384)","(101.0, 380.0, 379.4736842105263)","(101.0, 350.0, 347.94871794871796)","(71.0, 100.0, 96.28571428571429)","(8.5, 11.0, 10.707142857142857)"
