,Miss Fab Focus,Barelys Era,Helmet Giblet,Yuna Bale,Off Switch,Magical Doll,Dolly Quokka,Aston Audrey
14-12-2022 12:15:02.523059,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 70.0, 53.0)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:03.635363,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 70.0, 47.333333333333336)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:04.860666,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 70.0, 47.333333333333336)","(16.0, 42.0, 24.0)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:06.002081,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 70.0, 47.333333333333336)","(16.0, 42.0, 29.727272727272727)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:07.209171,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 70.0, 59.666666666666664)","(16.0, 42.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:08.431917,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:09.639400,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:10.846382,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:12.067126,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:13.138450,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:14.257970,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:15.419421,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:16.596251,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:17.808871,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:18.991898,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:20.164028,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:21.278427,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:22.436664,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:23.641461,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:24.843234,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:26.020711,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:27.131413,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:28.264741,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:29.394320,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:30.592423,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:31.993538,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:33.397894,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:34.649366,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:35.987295,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 43.40909090909091)"
14-12-2022 12:15:37.218963,"(14.0, 30.0, 28.299999999999997)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 59.666666666666664)","(16.0, 40.0, 28.40909090909091)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:38.297546,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:39.456404,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:40.517628,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:41.625747,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:42.755178,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:43.830487,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:44.894293,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:46.056321,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:47.180804,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:48.333248,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:49.582503,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:50.792101,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:51.980732,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:53.126191,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:54.337719,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:55.528256,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:56.929419,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 52.888888888888886)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:58.364529,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 80.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:15:59.567217,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:00.798876,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:02.004086,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:03.221572,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:04.478256,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:05.731115,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:06.928668,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:08.078245,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:09.230365,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:10.445156,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:11.667183,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:12.929592,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:14.194950,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:15.398057,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:16.578593,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:17.736739,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 40.0, 26.11111111111111)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:18.978456,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 38.0, 28.142857142857142)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:20.198638,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 38.0, 28.142857142857142)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:21.423918,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 38.0, 28.142857142857142)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:22.733785,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 38.0, 28.142857142857142)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:24.035866,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 38.0, 28.142857142857142)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:25.338182,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 38.0, 28.142857142857142)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:26.588495,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 50.111111111111114)","(16.0, 38.0, 28.142857142857142)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:27.814912,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 75.0, 47.333333333333336)","(16.0, 38.0, 23.333333333333336)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:28.992426,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 70.0, 47.333333333333336)","(16.0, 40.0, 23.333333333333336)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
14-12-2022 12:16:30.236272,"(14.0, 30.0, 26.7)","(2.8, 4.5, 3.913333333333333)","(4.6, 7.0, 5.125)","(21.0, 70.0, 47.333333333333336)","(16.0, 40.0, 23.333333333333336)","(5.5, 10.5, 6.6)","(3.2, 4.7, 4.478461538461539)","(18.0, 65.0, 35.625)"
