,Summers Lost,Im Glad Too,Miss Sassy,Spitfire Sammy,Pollys Jester,Downpipe
08-01-2023 14:09:55.247382,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.46, 1.9349999999999998)"
08-01-2023 14:09:56.299921,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.46, 1.9349999999999998)"
08-01-2023 14:09:57.223061,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.46, 1.9349999999999998)"
08-01-2023 14:09:58.201552,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.46, 1.9349999999999998)"
08-01-2023 14:09:59.188695,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.46, 2.0184615384615383)"
08-01-2023 14:10:00.200451,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:01.176168,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:02.125017,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:03.124343,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:04.204991,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:05.279963,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:06.406512,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:07.481248,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:08.398428,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:09.481573,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:10.512987,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:11.579282,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:12.647701,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:13.564446,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:14.612257,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:15.686967,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:16.773909,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:17.840966,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:18.848093,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:19.831603,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:20.897352,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:21.885716,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:22.819539,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:23.845213,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:24.980232,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 8.952941176470588)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:26.079329,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 5.93)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:27.176906,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 5.93)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:28.327363,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 5.93)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:29.447940,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:30.683866,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:31.849181,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:32.832028,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:33.826941,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:34.890410,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:35.943024,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:37.003282,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:38.007185,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:38.984696,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:40.055790,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:41.141863,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:42.204736,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:43.272104,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:44.288181,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:45.320533,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:46.330234,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:47.239378,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
08-01-2023 14:10:48.210857,"(31.0, 340.0, 86.66666666666666)","(8.5, 17.5, 13.9375)","(3.9, 6.6, 4.22)","(3.8, 12.5, 7.935714285714286)","(15.0, 40.0, 27.954545454545453)","(1.9, 2.38, 2.0184615384615383)"
