,Clarenden Envoy,Sir Lucas,Culture King,Im Jimmy James Nz,Regal Scribe,Assassinator
12-01-2023 14:05:03.461930,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:04.831107,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:05.985657,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:07.220772,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:08.381593,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:09.483604,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:10.620188,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:11.820683,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:12.908102,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:14.048546,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:15.217535,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:16.501810,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:17.746242,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:19.033599,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:20.138911,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:21.144810,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:22.267063,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:23.359712,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:24.425040,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:25.517640,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:26.623549,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:27.656716,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:28.786672,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:29.935699,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:31.003982,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:32.041508,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:33.099967,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:34.181604,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:35.315332,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:36.446702,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:37.424477,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:38.473489,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:39.545359,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:40.658381,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:41.764412,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:42.761774,"(2.6, 3.7, 3.533846153846154)","(4.4, 7.0, 6.236363636363636)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:43.782278,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.571428571428571)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:44.771179,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.48)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:45.880102,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:47.010304,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:47.995104,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:49.009051,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:50.096864,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:51.153502,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:52.189683,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:53.241781,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:54.234366,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:55.200722,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:56.338854,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:57.495389,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:58.577725,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:05:59.655452,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:00.800980,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:01.865397,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:03.006970,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:04.105689,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:05.093896,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:06.100495,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:07.199641,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:08.376842,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:09.446002,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:10.471986,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:11.484833,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:12.551456,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:13.667974,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:14.745046,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 6.333333333333333)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:15.732719,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:16.891962,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:17.933178,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:18.964457,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:20.147392,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:21.188065,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:22.163951,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:23.315145,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:24.449061,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:25.538547,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:26.679337,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:27.713792,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:28.683648,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:29.772325,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:30.895094,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:32.041835,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:33.076056,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:34.070345,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
12-01-2023 14:06:35.131660,"(2.6, 3.7, 3.533846153846154)","(4.4, 6.6, 5.945454545454545)","(10.0, 17.0, 12.9)","(10.0, 99999, 99990)","(4.0, 5.7, 5.578125)","(4.6, 6.4, 5.854545454545455)"
