,Cheval De Vaga,Pyms Royale,Time Scale,Cash Away,Hint Of Mint,Magniforce,Tadweer,Goddess Of Giving,My Dilemma
07-01-2023 16:46:00.908875,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.246153846153846)","(10.0, 16.5, 15.033333333333333)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.8475409836065575)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:02.198033,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 16.5, 15.033333333333333)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.8475409836065575)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:03.519468,"(4.6, 5.2, 5.158139534883721)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 16.5, 17.071428571428573)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.5, 4.5, 4.26)","(4.8, 4.9, 4.8475409836065575)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:04.904768,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 19.0, 16.1875)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.6, 4.5, 4.26)","(4.6, 4.9, 4.8475409836065575)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:06.219268,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 19.0, 15.615384615384615)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.2)","(3.6, 4.5, 4.26)","(4.6, 4.9, 4.8475409836065575)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:07.546389,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 19.0, 15.142857142857142)","(31.0, 95.0, 68.5)","(26.0, 40.0, 37.2)","(3.6, 4.5, 4.26)","(4.6, 4.9, 4.8475409836065575)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:08.781394,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 18.0, 15.142857142857142)","(31.0, 95.0, 93.0)","(26.0, 38.0, 37.2)","(3.6, 4.5, 4.26)","(4.6, 4.9, 4.8475409836065575)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:10.017336,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 18.0, 15.142857142857142)","(31.0, 110.0, 76.8)","(26.0, 38.0, 35.625)","(3.6, 4.5, 4.26)","(4.6, 4.9, 4.8475409836065575)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:11.119889,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 18.0, 15.142857142857142)","(31.0, 100.0, 76.8)","(26.0, 40.0, 35.625)","(3.6, 4.5, 4.26)","(4.6, 4.9, 4.8475409836065575)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:12.471923,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 18.0, 15.6)","(31.0, 100.0, 76.8)","(26.0, 40.0, 35.625)","(3.6, 4.5, 4.26)","(4.6, 4.9, 4.8475409836065575)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:14.176126,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 18.0, 15.6)","(31.0, 95.0, 68.5)","(26.0, 40.0, 35.625)","(3.6, 4.5, 4.26)","(4.6, 4.9, 4.8475409836065575)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:15.748616,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 18.0, 15.6)","(31.0, 95.0, 93.0)","(26.0, 40.0, 35.625)","(3.6, 4.5, 4.26)","(4.6, 4.9, 4.609090909090909)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:17.034824,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 18.0, 15.6)","(31.0, 110.0, 76.8)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.6, 4.9, 4.5)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:18.463943,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.8, 5.4, 5.218181818181819)","(10.0, 18.0, 15.6)","(31.0, 100.0, 76.8)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.6, 4.9, 4.5)","(13.0, 18.5, 16.3125)"
