,Katies Portrait,Swifty Gadget,Aston Nancy,Notorious Diesel,Ruby Tubes,Margo,Cosmic Bruce,Off The Radar
16-12-2022 13:31:32.323677,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:33.524972,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:34.702849,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:35.798258,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:37.014163,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:38.242029,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:39.428720,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:40.528322,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:41.619682,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:42.815574,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:44.000524,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:45.181519,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:46.321165,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:47.477242,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:48.593914,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 3.056)"
16-12-2022 13:31:49.863386,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.8, 2.688)"
16-12-2022 13:31:51.032290,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.2, 2.688)"
16-12-2022 13:31:52.186497,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.2, 2.688)"
16-12-2022 13:31:53.584596,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.2, 2.688)"
16-12-2022 13:31:55.236667,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.2, 2.688)"
16-12-2022 13:31:56.546105,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.2, 2.688)"
16-12-2022 13:31:57.817446,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.2, 2.688)"
16-12-2022 13:31:59.068258,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.2, 2.688)"
16-12-2022 13:32:00.228398,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 59.0)","(26.0, 95.0, 59.0)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 7.7)","(21.0, 70.0, 41.111111111111114)","(9.0, 19.0, 16.666666666666664)","(2.45, 3.2, 2.688)"
16-12-2022 13:32:01.524226,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 14.0, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 19.0, 13.6)","(2.45, 3.2, 2.688)"
16-12-2022 13:32:02.777292,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 19.0, 13.6)","(2.45, 3.2, 2.688)"
16-12-2022 13:32:03.993100,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 19.0, 13.6)","(2.45, 3.2, 2.688)"
16-12-2022 13:32:05.275929,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 19.0, 13.6)","(2.45, 3.2, 2.688)"
16-12-2022 13:32:06.539006,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 19.0, 13.6)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:07.880623,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 19.0, 13.6)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:09.821977,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 19.0, 13.6)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:12.106273,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 19.0, 13.6)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:13.451228,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 19.0, 12.875)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:14.760653,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.875)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:15.938486,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.875)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:17.190854,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.875)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:18.583825,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:19.878683,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:21.084330,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:22.423991,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:23.668126,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:24.983063,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:26.535986,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:27.951195,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:29.185663,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:30.403074,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:31.707850,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 35.33333333333333)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:33.030063,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 70.0, 38.888888888888886)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:34.348396,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 65.0, 38.888888888888886)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:35.622779,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 65.0, 38.888888888888886)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:36.913550,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 65.0, 50.15625)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:38.165900,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 65.0, 45.0)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:39.439010,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 65.0, 45.0)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
16-12-2022 13:32:40.787856,"(3.9, 7.4, 5.2153846153846155)","(17.0, 95.0, 50.69230769230769)","(26.0, 95.0, 50.625)","(3.8, 5.5, 3.8555555555555556)","(7.5, 13.5, 11.266666666666666)","(21.0, 65.0, 45.0)","(9.0, 20.0, 12.625)","(2.45, 3.2, 2.578823529411765)"
