,Only You,Fake,Teskey,Little Joe,Cartwheel,Pattaya Pete,Charlie Bender
04-01-2023 16:03:05.252790,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:06.391031,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:07.511925,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:08.630306,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:09.610960,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:10.723171,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:11.848390,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:12.917238,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:14.064882,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:15.127900,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:16.119717,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:17.254730,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:18.395764,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:19.512406,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:20.861428,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:22.233545,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:23.288438,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:24.341939,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:25.370957,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:26.462564,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:27.571847,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:28.702992,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:29.759524,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:30.767800,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:31.845109,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:32.920473,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:34.070291,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:35.213052,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:36.387744,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:37.528214,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:38.551402,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:39.514341,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:40.605433,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:41.618434,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:42.764400,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:43.950301,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:45.353746,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:46.692156,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:48.003557,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:49.152800,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.904761904761905)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:50.368247,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:51.445552,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:52.447777,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:53.558817,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:54.658293,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:55.632771,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:56.726574,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:57.792632,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:03:58.893994,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:00.002815,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:01.118566,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:02.226715,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:03.372023,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:04.624823,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:05.749991,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:06.925936,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:08.220424,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:09.365520,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:10.690137,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:11.747252,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.06060606060606)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:12.895920,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 8.0)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:13.995134,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 8.0)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:15.101826,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 8.0)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:16.191281,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 8.0)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:17.309778,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 8.0)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:18.331728,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 8.0)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:19.458658,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 8.0)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:20.489487,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 8.0)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:21.441138,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 8.0)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:22.549397,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.857142857142858)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:23.659659,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.857142857142858)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:24.771855,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.857142857142858)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:25.928817,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.857142857142858)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:27.136933,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 7.857142857142858)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:28.278927,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.595744680851062)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:29.315698,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.595744680851062)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
04-01-2023 16:04:30.325445,"(9.0, 15.5, 13.105263157894736)","(4.2, 6.8, 5.952173913043478)","(3.0, 4.6, 3.6121951219512196)","(4.4, 11.0, 9.595744680851062)","(14.0, 28.0, 22.23076923076923)","(7.5, 14.0, 12.622222222222222)","(5.0, 8.8, 8.31764705882353)"
