,Tiger Mum,Loveless,Little Hercules,From The Shire,Swerve,Lone Hunter,More Peaches,Rosas Dance
11-01-2023 18:58:56.312961,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 625.0)","(101.0, 610.0, 526.6666666666666)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:58:57.360067,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 520.8333333333334)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:58:58.404248,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 520.8333333333334)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:58:59.381725,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 520.8333333333334)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:00.389469,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 520.8333333333334)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:01.384249,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 520.8333333333334)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:02.429084,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.786)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:03.506648,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.786)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:04.536106,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.786)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:05.557595,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.786)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:06.596117,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:07.645151,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:08.717442,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:09.758226,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:10.823143,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:11.837465,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:12.818888,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:13.849250,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:14.900728,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:15.989120,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:17.152365,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:18.271435,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:19.302886,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:20.361749,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:21.401237,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:22.571466,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:23.598212,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:24.668488,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:25.709038,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:26.796601,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:27.923017,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:29.087275,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:30.237417,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:31.345694,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:32.534843,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:33.638469,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:34.716896,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:35.893224,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:36.994360,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 504.0)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.786)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:38.130894,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 522.5)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.786)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:39.259093,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 522.5)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.786)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:40.381752,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 621.6666666666666)","(101.0, 610.0, 522.5)","(16.0, 40.0, 27.25)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:41.544951,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:42.663909,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:43.762759,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:44.926025,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 39.5)"
11-01-2023 18:59:46.002289,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:59:47.116989,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:59:48.286567,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:59:49.374894,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:59:50.530189,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:59:51.751034,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 22.545454545454547)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:59:52.901694,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 22.545454545454547)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:59:54.097025,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 22.545454545454547)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:59:55.298944,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 22.545454545454547)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:59:56.469744,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 22.545454545454547)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:59:57.661303,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 22.545454545454547)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:59:58.852528,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 18:59:59.929682,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 19:00:01.000596,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 551.6666666666667)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.583478260869565)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 19:00:02.080559,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 8.692307692307692)","(101.0, 730.0, 665.0)","(101.0, 610.0, 523.3333333333334)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 2.9890909090909092)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 19:00:03.131324,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 6.955555555555556)","(101.0, 730.0, 665.0)","(101.0, 610.0, 523.3333333333334)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.45, 2.9890909090909092)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 19:00:04.252958,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 6.955555555555556)","(101.0, 730.0, 665.0)","(101.0, 610.0, 506.0)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.45, 2.9890909090909092)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 19:00:05.607104,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 6.955555555555556)","(101.0, 730.0, 665.0)","(101.0, 610.0, 523.3333333333334)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.45, 3.253913043478261)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 19:00:07.014415,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 6.955555555555556)","(101.0, 730.0, 665.0)","(101.0, 610.0, 552.2222222222222)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.4, 3.253913043478261)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 19:00:08.256019,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 6.955555555555556)","(101.0, 730.0, 665.0)","(101.0, 610.0, 552.2222222222222)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.4, 3.253913043478261)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 19:00:09.489238,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 6.955555555555556)","(101.0, 730.0, 665.0)","(101.0, 610.0, 552.2222222222222)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.4, 3.389090909090909)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 19:00:10.647634,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 6.955555555555556)","(101.0, 730.0, 665.0)","(101.0, 610.0, 552.2222222222222)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.4399999999999995)","(2.2, 3.5, 3.2)","(20.0, 60.0, 34.76923076923077)"
11-01-2023 19:00:11.732822,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 6.955555555555556)","(101.0, 730.0, 665.0)","(101.0, 610.0, 552.2222222222222)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.583333333333333)","(2.2, 3.5, 2.6473684210526316)","(20.0, 60.0, 37.86666666666667)"
11-01-2023 19:00:12.913266,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 9.6)","(101.0, 730.0, 161.11111111111111)","(101.0, 610.0, 408.0769230769231)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.583333333333333)","(2.2, 3.4, 2.6473684210526316)","(20.0, 60.0, 37.86666666666667)"
11-01-2023 19:00:14.060927,"(3.0, 5.1, 3.795454545454545)","(5.5, 13.0, 9.6)","(101.0, 730.0, 161.11111111111111)","(101.0, 610.0, 408.0769230769231)","(16.0, 40.0, 21.81818181818182)","(4.4, 8.2, 7.583333333333333)","(2.2, 3.4, 2.6473684210526316)","(20.0, 60.0, 37.86666666666667)"
