,Manson,Pandoras Raptor,Ten Pineapples,Just A Brew,Storm Shelter,Yeah Sweetie,Disorder,Aston Mead
09-01-2023 16:44:19.634205,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:20.708464,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:21.854043,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:22.905478,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:24.035971,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:25.128820,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:26.220279,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:27.248648,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:28.333446,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:29.422006,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:30.514280,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:31.638302,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.6342857142857143)"
09-01-2023 16:44:32.782156,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 3.8, 2.4345454545454546)"
09-01-2023 16:44:33.869119,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.560000000000002)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.8)","(12.0, 36.0, 21.9)","(2.4, 2.44, 2.4345454545454546)"
09-01-2023 16:44:34.891899,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 9.25)","(10.0, 21.0, 14.666666666666666)","(10.0, 19.5, 17.6)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.885714285714286)","(12.0, 36.0, 20.666666666666664)","(2.4, 2.44, 2.4345454545454546)"
09-01-2023 16:44:35.966643,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.5, 17.6)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.885714285714286)","(12.0, 36.0, 20.666666666666664)","(2.4, 2.44, 3.367272727272727)"
09-01-2023 16:44:37.044293,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.5, 17.6)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.885714285714286)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.367272727272727)"
09-01-2023 16:44:38.116151,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.5, 17.6)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 14.885714285714286)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.367272727272727)"
09-01-2023 16:44:39.246866,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.5, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:40.295857,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:41.302198,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:42.295706,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:43.264711,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:44.298177,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:45.322728,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:46.436538,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:47.503684,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:48.542451,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:49.527236,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:50.490799,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:51.491408,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:52.560782,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:53.644194,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:54.756484,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:55.788039,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:56.815661,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:57.799544,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.531351351351351)"
09-01-2023 16:44:58.794411,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:44:59.858311,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 145.23076923076923)","(10.0, 19.0, 13.666666666666668)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:00.956779,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:02.015040,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:03.022321,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:04.050199,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:05.046922,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:06.115042,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:07.211129,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:08.268540,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:09.538128,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:10.726069,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:11.888179,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:12.962949,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:14.005406,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:15.009959,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:16.038728,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:17.057302,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:18.097899,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:19.095098,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:20.177685,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:21.290880,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:22.382869,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:23.464735,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:24.510062,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:25.609962,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:26.608141,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:27.594669,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:28.642106,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:29.608536,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:30.655601,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:31.672736,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:32.669688,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
09-01-2023 16:45:33.673037,"(3.4, 5.5, 3.7062500000000003)","(5.5, 11.0, 7.071428571428571)","(10.0, 21.0, 14.777777777777779)","(10.0, 19.0, 17.2)","(41.0, 320.0, 178.0)","(10.0, 19.0, 17.08)","(12.0, 36.0, 20.666666666666664)","(2.4, 3.8, 3.4499999999999997)"
