,Alfie Solomon,Unique Mundine,Shared Colour,Never Sweet,Pleasure Cruise,Opal Key,Sugar Hit Lenny
07-12-2022 20:55:34.242364,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:35.293582,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:36.469723,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:37.752473,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:39.026426,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:40.220390,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:41.229789,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:42.292642,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:43.533869,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:44.598193,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:45.651515,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:46.750127,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:47.937087,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:49.042596,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:50.107946,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:51.156872,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:52.216445,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:53.258370,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:54.303443,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:55.320942,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:56.363125,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:57.391645,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:58.377601,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:59.381207,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:00.846426,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:02.246651,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:03.486070,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:04.967068,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:06.539485,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:08.248959,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:09.618412,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:10.638672,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:11.674072,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:12.679337,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:13.838579,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:15.066714,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:16.334230,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:17.613039,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:18.845689,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:19.962238,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:21.075079,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:22.255507,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:23.406057,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:24.614618,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:25.799665,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:26.860316,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:28.002609,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:56:29.220342,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
