,Counterfeit,Taken Back,Rock On Cowboy,Liam Skye,Bodee Bodee,Mind On My Money,Muffin Nuts
16-12-2022 10:51:42.561639,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:43.798867,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:45.256918,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:46.561371,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:47.725156,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:48.797595,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:49.812745,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:50.892319,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:52.016914,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:53.174038,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:54.568040,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4466666666666665)"
16-12-2022 10:51:55.877014,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.53, 1.4314285714285713)"
16-12-2022 10:51:57.078737,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.56, 1.4314285714285713)"
16-12-2022 10:51:58.358350,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.56, 1.4314285714285713)"
16-12-2022 10:51:59.741239,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.56, 1.4314285714285713)"
16-12-2022 10:52:01.025593,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 21.0, 14.657142857142858)","(6.0, 15.0, 9.5)","(1.4, 1.56, 1.4314285714285713)"
16-12-2022 10:52:02.223441,"(19.0, 170.0, 118.33333333333333)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 380.0, 193.5)","(6.0, 21.0, 13.222222222222221)","(6.0, 15.0, 10.614285714285714)","(1.4, 1.56, 1.4314285714285713)"
16-12-2022 10:52:03.217633,"(19.0, 190.0, 131.66666666666669)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 370.0, 193.5)","(6.0, 22.0, 13.222222222222221)","(6.0, 16.5, 10.614285714285714)","(1.4, 1.56, 1.4314285714285713)"
16-12-2022 10:52:04.494716,"(19.0, 190.0, 131.66666666666669)","(17.0, 150.0, 115.5)","(26.0, 260.0, 178.5)","(26.0, 370.0, 193.5)","(6.0, 22.0, 13.222222222222221)","(6.0, 16.5, 10.614285714285714)","(1.4, 1.56, 1.4314285714285713)"
16-12-2022 10:52:05.751363,"(19.0, 190.0, 138.33333333333331)","(17.0, 150.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 370.0, 198.5)","(6.0, 22.0, 13.222222222222221)","(6.0, 16.5, 9.6875)","(1.4, 1.56, 1.4314285714285713)"
16-12-2022 10:52:06.981295,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 22.0, 13.222222222222221)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.4314285714285713)"
16-12-2022 10:52:08.166934,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 22.0, 16.733333333333334)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.4314285714285713)"
16-12-2022 10:52:09.306262,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 22.0, 16.733333333333334)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.4314285714285713)"
16-12-2022 10:52:10.563488,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 22.0, 16.733333333333334)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.4314285714285713)"
16-12-2022 10:52:11.796494,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.5)","(6.0, 22.0, 15.75)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.5418181818181818)"
16-12-2022 10:52:12.981018,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 380.0, 288.625)","(6.0, 22.0, 15.75)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.5418181818181818)"
16-12-2022 10:52:14.160646,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 380.0, 288.625)","(6.0, 22.0, 15.75)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.5418181818181818)"
16-12-2022 10:52:15.350007,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 380.0, 288.625)","(6.0, 22.0, 15.75)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.5418181818181818)"
16-12-2022 10:52:16.620512,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 380.0, 281.125)","(6.0, 22.0, 15.75)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.5418181818181818)"
16-12-2022 10:52:18.055499,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 370.0, 281.125)","(6.0, 22.0, 15.75)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.5418181818181818)"
16-12-2022 10:52:19.509753,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 370.0, 281.125)","(6.0, 22.0, 15.75)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.5418181818181818)"
16-12-2022 10:52:20.944352,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 370.0, 281.125)","(6.0, 22.0, 15.75)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.5418181818181818)"
16-12-2022 10:52:22.230567,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 370.0, 281.125)","(6.0, 22.0, 15.75)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.5418181818181818)"
16-12-2022 10:52:23.667240,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 370.0, 281.125)","(6.0, 22.0, 15.75)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.5418181818181818)"
16-12-2022 10:52:25.039612,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 370.0, 281.125)","(6.0, 22.0, 15.75)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.5418181818181818)"
16-12-2022 10:52:26.327184,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 370.0, 288.625)","(6.0, 22.0, 15.75)","(6.0, 15.5, 9.6875)","(1.4, 1.56, 1.5487878787878788)"
16-12-2022 10:52:27.551895,"(19.0, 200.0, 138.33333333333331)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 380.0, 198.625)","(6.0, 22.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.4, 1.57, 1.5487878787878788)"
16-12-2022 10:52:28.847963,"(19.0, 210.0, 145.0)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 260.0, 198.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.4, 1.57, 1.5487878787878788)"
16-12-2022 10:52:30.264048,"(19.0, 210.0, 145.0)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 260.0, 198.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.4, 1.57, 1.5487878787878788)"
16-12-2022 10:52:31.603310,"(19.0, 210.0, 145.0)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 260.0, 198.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.4, 1.57, 1.5487878787878788)"
16-12-2022 10:52:32.918395,"(19.0, 210.0, 145.0)","(17.0, 160.0, 123.0)","(26.0, 260.0, 178.5)","(26.0, 260.0, 198.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.4, 1.57, 1.5487878787878788)"
16-12-2022 10:52:34.374748,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:35.623365,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:36.973486,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:38.263938,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:39.454893,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:40.653291,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:41.831979,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:43.055083,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:44.249809,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:45.453534,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:46.678859,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:47.883611,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:49.039890,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:50.172153,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:51.339840,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:52.482550,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:53.602612,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:54.708008,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:55.891526,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 288.625)","(6.0, 23.0, 18.200000000000003)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:57.064032,"(18.0, 210.0, 145.0)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 380.0, 198.625)","(6.0, 23.0, 17.5)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:58.205595,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 17.5)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:52:59.259458,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 17.5)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:53:00.277175,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 17.5)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:53:01.357472,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 17.5)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:53:02.494512,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 17.5)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:53:03.648340,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 17.5)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:53:04.853960,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 17.5)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:53:06.109485,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 17.5)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:53:07.315993,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 17.5)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:53:08.397547,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 17.5)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:53:09.521484,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 17.5)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.5487878787878788)"
16-12-2022 10:53:10.715334,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 13.899999999999999)","(6.0, 15.5, 9.6875)","(1.45, 1.57, 1.4655555555555555)"
16-12-2022 10:53:11.976574,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 13.899999999999999)","(6.0, 15.5, 9.6875)","(1.45, 1.56, 1.4655555555555555)"
16-12-2022 10:53:13.217210,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 13.899999999999999)","(6.0, 15.5, 9.6875)","(1.45, 1.56, 1.461111111111111)"
16-12-2022 10:53:14.444498,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 15.9625)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.4625)"
16-12-2022 10:53:15.516942,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 15.9625)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.4625)"
16-12-2022 10:53:16.644205,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 16.733333333333334)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.48)"
16-12-2022 10:53:17.802170,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 16.733333333333334)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.48)"
16-12-2022 10:53:19.016244,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 16.733333333333334)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.48)"
16-12-2022 10:53:20.232581,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 16.733333333333334)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.48)"
16-12-2022 10:53:21.368864,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 16.733333333333334)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.48)"
16-12-2022 10:53:22.419432,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 16.733333333333334)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.48)"
16-12-2022 10:53:23.569124,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 123.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 16.733333333333334)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.48)"
16-12-2022 10:53:24.702826,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 122.625)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 16.733333333333334)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.48)"
16-12-2022 10:53:25.895662,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 150.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 15.314285714285715)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.48)"
16-12-2022 10:53:27.062341,"(18.0, 200.0, 138.33333333333331)","(16.0, 160.0, 150.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 22.0, 15.885714285714286)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.4333333333333333)"
16-12-2022 10:53:28.187895,"(18.0, 210.0, 145.0)","(16.0, 160.0, 150.0)","(21.0, 260.0, 178.5)","(21.0, 260.0, 198.625)","(6.0, 23.0, 18.472727272727276)","(6.0, 15.5, 9.6875)","(1.45, 1.55, 1.4333333333333333)"
