,Zulu Zephyr,Royal Carmilla,Paua Of Abby,Tarawi Lock Star,Zorros Sword
12-01-2023 18:33:36.086751,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:37.157774,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:38.176339,"(1.65, 2.22, 2.0109090909090908)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:39.192367,"(1.65, 2.22, 2.0109090909090908)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:40.320092,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 6.0, 5.286538461538462)"
12-01-2023 18:33:41.335955,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 6.0, 5.213461538461539)"
12-01-2023 18:33:42.377504,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 5.9, 5.566666666666666)"
12-01-2023 18:33:43.445808,"(1.65, 2.22, 2.001818181818182)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 5.8, 5.566666666666666)"
12-01-2023 18:33:44.527511,"(1.65, 2.22, 2.001818181818182)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 5.8, 5.566666666666666)"
12-01-2023 18:33:45.618122,"(1.65, 2.22, 2.001818181818182)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 53.81818181818181)","(3.4, 5.8, 5.140384615384615)"
12-01-2023 18:33:46.665189,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 44.666666666666664)","(3.4, 5.8, 5.140384615384615)"
12-01-2023 18:33:47.704426,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 44.666666666666664)","(3.4, 5.8, 5.140384615384615)"
12-01-2023 18:33:48.760377,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 44.666666666666664)","(3.4, 5.8, 5.140384615384615)"
12-01-2023 18:33:49.857873,"(1.65, 2.22, 2.001818181818182)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 44.666666666666664)","(3.4, 5.8, 5.140384615384615)"
12-01-2023 18:33:50.928838,"(1.65, 2.22, 2.001818181818182)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 44.666666666666664)","(3.4, 5.8, 5.140384615384615)"
12-01-2023 18:33:51.985789,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 44.666666666666664)","(3.4, 5.8, 5.140384615384615)"
12-01-2023 18:33:53.034749,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 6.0227272727272725)","(21.0, 95.0, 44.666666666666664)","(3.4, 5.8, 5.140384615384615)"
12-01-2023 18:33:54.080561,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 6.8, 4.288461538461538)","(21.0, 95.0, 44.666666666666664)","(3.4, 5.8, 5.140384615384615)"
12-01-2023 18:33:55.139323,"(1.65, 2.22, 2.0811111111111114)","(21.0, 70.0, 44.75)","(4.0, 4.5, 4.288461538461538)","(21.0, 95.0, 44.666666666666664)","(3.4, 5.8, 5.140384615384615)"
12-01-2023 18:33:56.189868,"(1.65, 2.22, 2.001818181818182)","(21.0, 70.0, 44.75)","(4.0, 4.5, 4.288461538461538)","(21.0, 95.0, 45.66666666666667)","(3.4, 5.8, 3.7437500000000004)"
12-01-2023 18:33:57.268209,"(1.65, 2.22, 2.001818181818182)","(21.0, 70.0, 61.58333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 95.0, 45.66666666666667)","(3.4, 5.8, 3.7437500000000004)"
12-01-2023 18:33:58.327153,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 61.58333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 95.0, 56.55555555555556)","(3.4, 5.8, 3.7437500000000004)"
12-01-2023 18:33:59.377272,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 61.58333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 50.5)","(3.4, 5.8, 3.7437500000000004)"
12-01-2023 18:34:00.399797,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 61.58333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 50.5)","(3.4, 5.8, 3.7437500000000004)"
12-01-2023 18:34:01.346979,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 61.58333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.8, 3.7437500000000004)"
12-01-2023 18:34:02.450881,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 61.58333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.8, 3.7437500000000004)"
12-01-2023 18:34:03.481976,"(1.65, 2.22, 2.1494117647058824)","(21.0, 70.0, 61.58333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.8, 3.742857142857143)"
12-01-2023 18:34:04.537483,"(1.65, 2.22, 2.0109090909090908)","(21.0, 70.0, 61.58333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.5, 3.742857142857143)"
12-01-2023 18:34:05.552752,"(1.65, 2.22, 2.0109090909090908)","(21.0, 70.0, 61.58333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.5, 3.742857142857143)"
12-01-2023 18:34:06.612492,"(1.65, 2.22, 2.0109090909090908)","(21.0, 70.0, 61.58333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.5, 3.742857142857143)"
12-01-2023 18:34:07.684839,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 61.58333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.5, 4.266666666666667)"
12-01-2023 18:34:08.717864,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 61.58333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.266666666666667)"
12-01-2023 18:34:09.773103,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 53.333333333333336)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.266666666666667)"
12-01-2023 18:34:10.763172,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 53.333333333333336)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.266666666666667)"
12-01-2023 18:34:11.793522,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 53.333333333333336)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.266666666666667)"
12-01-2023 18:34:12.829852,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 45.5)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.266666666666667)"
12-01-2023 18:34:13.875195,"(1.65, 2.22, 2.02)","(21.0, 70.0, 45.5)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.266666666666667)"
12-01-2023 18:34:14.910838,"(1.65, 2.22, 2.02)","(21.0, 70.0, 45.5)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 5.2875000000000005)"
12-01-2023 18:34:15.973220,"(1.65, 2.22, 2.02)","(21.0, 70.0, 45.5)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 5.2875000000000005)"
12-01-2023 18:34:17.088515,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 5.2875000000000005)"
12-01-2023 18:34:18.077937,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.340909090909091)"
12-01-2023 18:34:19.150820,"(1.65, 2.22, 2.1042105263157898)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.340909090909091)"
12-01-2023 18:34:20.227021,"(1.65, 2.22, 2.1042105263157898)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.340909090909091)"
12-01-2023 18:34:21.364180,"(1.65, 2.22, 2.1042105263157898)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.340909090909091)"
12-01-2023 18:34:22.512474,"(1.65, 2.22, 2.1042105263157898)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.340909090909091)"
12-01-2023 18:34:23.743648,"(1.65, 2.22, 2.038181818181818)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.340909090909091)"
12-01-2023 18:34:25.116191,"(1.65, 2.22, 2.038181818181818)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.9, 4.340909090909091)"
12-01-2023 18:34:26.880855,"(1.65, 2.22, 2.108888888888889)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.5, 4.621428571428572)"
12-01-2023 18:34:28.253798,"(1.65, 2.22, 2.108888888888889)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 44.714285714285715)","(3.4, 5.5, 4.0375)"
12-01-2023 18:34:31.132476,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 70.0, 50.8)","(3.4, 5.5, 4.0375)"
12-01-2023 18:34:32.403361,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 70.0, 44.714285714285715)","(3.4, 5.5, 4.0375)"
12-01-2023 18:34:33.897194,"(1.65, 2.22, 2.02)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 75.0, 49.0)","(3.4, 5.5, 4.642857142857142)"
12-01-2023 18:34:35.331103,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 49.0)","(3.4, 5.5, 4.642857142857142)"
12-01-2023 18:34:36.397283,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 49.0)","(3.4, 5.5, 4.642857142857142)"
12-01-2023 18:34:37.594035,"(1.65, 2.22, 2.0922222222222224)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 51.0)","(3.4, 5.5, 4.642857142857142)"
12-01-2023 18:34:38.991192,"(1.65, 2.22, 2.02)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.5, 4.642857142857142)"
12-01-2023 18:34:40.327210,"(1.65, 2.22, 2.1100000000000003)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.5, 4.642857142857142)"
12-01-2023 18:34:41.750816,"(1.65, 2.22, 2.1100000000000003)","(21.0, 70.0, 61.83333333333333)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.0)","(3.4, 5.5, 4.0375)"
12-01-2023 18:34:42.908130,"(1.65, 2.22, 2.1100000000000003)","(21.0, 70.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 80.0, 51.400000000000006)","(3.4, 5.5, 4.0375)"
12-01-2023 18:34:44.433436,"(1.65, 2.22, 2.1100000000000003)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 120.0, 51.400000000000006)","(3.4, 5.5, 4.0375)"
12-01-2023 18:34:45.629855,"(1.65, 2.22, 2.1100000000000003)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 120.0, 51.400000000000006)","(3.4, 5.5, 4.0375)"
12-01-2023 18:34:46.894836,"(1.65, 2.22, 2.1100000000000003)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 120.0, 51.400000000000006)","(3.4, 5.5, 4.0375)"
12-01-2023 18:34:48.189019,"(1.65, 2.22, 2.1100000000000003)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 120.0, 51.400000000000006)","(3.4, 5.5, 4.642857142857142)"
12-01-2023 18:34:49.457392,"(1.65, 2.22, 2.1100000000000003)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 120.0, 51.400000000000006)","(3.4, 5.5, 4.26)"
12-01-2023 18:34:50.507249,"(1.65, 2.22, 2.1100000000000003)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 120.0, 51.400000000000006)","(3.4, 5.4, 4.7)"
12-01-2023 18:34:51.565237,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 120.0, 51.400000000000006)","(3.4, 5.3, 4.7)"
12-01-2023 18:34:52.684328,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 120.0, 51.400000000000006)","(3.4, 5.3, 4.7)"
12-01-2023 18:34:53.842740,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 120.0, 51.400000000000006)","(3.4, 5.3, 4.7)"
12-01-2023 18:34:54.917707,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 120.0, 51.400000000000006)","(3.4, 5.3, 4.7)"
12-01-2023 18:34:56.180445,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 120.0, 51.400000000000006)","(3.4, 5.3, 4.7)"
12-01-2023 18:34:57.624878,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 120.0, 69.25)","(3.4, 5.3, 4.7)"
12-01-2023 18:34:58.710789,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 69.25)","(3.4, 5.3, 4.7)"
12-01-2023 18:34:59.866570,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 69.25)","(3.4, 5.3, 4.7)"
12-01-2023 18:35:00.919218,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 69.25)","(3.4, 5.3, 4.7)"
12-01-2023 18:35:02.074407,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 69.25)","(3.4, 5.3, 4.7)"
12-01-2023 18:35:03.470235,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 69.25)","(3.4, 5.3, 4.7)"
12-01-2023 18:35:04.592678,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 69.25)","(3.4, 5.3, 4.22)"
12-01-2023 18:35:05.743384,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 69.25)","(3.4, 5.3, 4.22)"
12-01-2023 18:35:06.812567,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 69.25)","(3.4, 5.3, 4.22)"
12-01-2023 18:35:08.031221,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 69.25)","(3.4, 5.3, 4.22)"
12-01-2023 18:35:09.170790,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 69.25)","(3.4, 5.3, 4.22)"
12-01-2023 18:35:10.798973,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 69.25)","(3.4, 5.3, 4.22)"
12-01-2023 18:35:11.918258,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 69.25)","(3.4, 5.3, 4.22)"
12-01-2023 18:35:13.022316,"(1.65, 2.22, 2.1721739130434785)","(21.0, 80.0, 70.16666666666667)","(4.0, 4.5, 4.288461538461538)","(21.0, 85.0, 66.0)","(3.4, 5.3, 3.95)"
