,Kanga Lights,Mr Ticket,Blaze Maker,Swinging Forts,Didelis
04-01-2023 11:59:58.283667,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 11:59:59.199455,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:00.014596,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:00.847968,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:01.711430,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:02.532073,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:03.356834,"(10.0, 23.0, 18.46666666666667)","(1.3, 1.85, 1.494472049689441)","(15.0, 46.0, 31.555555555555557)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:04.204933,"(10.0, 23.0, 18.46666666666667)","(1.3, 1.85, 1.494472049689441)","(15.0, 46.0, 31.555555555555557)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:05.019868,"(10.0, 23.0, 18.46666666666667)","(1.3, 1.85, 1.494472049689441)","(15.0, 46.0, 31.555555555555557)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:05.823599,"(10.0, 23.0, 18.46666666666667)","(1.3, 1.85, 1.494472049689441)","(15.0, 46.0, 31.555555555555557)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:06.649379,"(10.0, 23.0, 18.46666666666667)","(1.3, 1.85, 1.494472049689441)","(15.0, 46.0, 31.555555555555557)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:07.505390,"(10.0, 23.0, 18.46666666666667)","(1.3, 1.85, 1.494472049689441)","(15.0, 46.0, 31.555555555555557)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:08.384692,"(10.0, 23.0, 18.46666666666667)","(1.3, 1.85, 1.494472049689441)","(15.0, 46.0, 31.555555555555557)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:09.364237,"(10.0, 23.0, 18.46666666666667)","(1.3, 1.85, 1.494472049689441)","(15.0, 46.0, 31.555555555555557)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:10.226958,"(10.0, 23.0, 18.46666666666667)","(1.3, 1.85, 1.494472049689441)","(15.0, 46.0, 31.555555555555557)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.7844444444444445)"
04-01-2023 12:00:11.175866,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.11538461538461)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.7844444444444445)"
04-01-2023 12:00:12.041018,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.11538461538461)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.7844444444444445)"
04-01-2023 12:00:13.050026,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 30.772727272727273)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:13.859398,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:14.670030,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:15.535286,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:16.452187,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:17.274308,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:18.075700,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:18.912299,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:19.789682,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:20.666798,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:21.449073,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:22.249263,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:23.131551,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:23.998063,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.6179518072289159)","(15.0, 44.0, 30.136363636363637)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:24.829122,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.6179518072289159)","(15.0, 44.0, 30.136363636363637)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:25.632752,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:26.512312,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:27.362438,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:28.239995,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:29.100771,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:29.904665,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:30.713300,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:31.582585,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.427272727272727)"
04-01-2023 12:00:32.469423,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:33.346233,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:34.140629,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:34.975066,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:35.859563,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:36.694748,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:37.570318,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:38.481986,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:39.294784,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:40.125786,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:40.966313,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:41.889912,"(10.0, 23.0, 17.76923076923077)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:42.744918,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:43.565292,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:44.429791,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:45.307417,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:46.124852,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:46.906750,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:47.757324,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:48.634331,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:49.459929,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:50.252941,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:51.093136,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:51.996742,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:52.888348,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:53.727657,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:54.574204,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:55.549415,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:56.536716,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:57.405271,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:58.237793,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:00:59.122367,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:00.042671,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 31.227272727272727)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:00.974096,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:01.828011,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:02.657782,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:03.706484,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:04.726202,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:05.580941,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:06.375644,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:07.345772,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:08.338950,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:09.249673,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:10.107879,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:11.026189,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:11.989189,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:12.919043,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:13.812354,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:14.720254,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:15.662132,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:16.593179,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:17.522447,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:18.504375,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:19.456368,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:20.418522,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:21.250678,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:22.115106,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:23.069403,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:24.048383,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:24.946756,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:25.811967,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:26.668529,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:27.578453,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:28.675104,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:29.501676,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:30.423714,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
04-01-2023 12:01:31.363635,"(10.0, 23.0, 19.27777777777778)","(1.3, 1.85, 1.4933333333333334)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.0, 13.523076923076921)","(5.0, 9.2, 7.928888888888888)"
