,Majestic Jewel,Buckles,Cmon Carl Lee,Rioterra,Right Of Reply,Kyvalley Surfrider Nz,Charlie Walker,Dicko Dixon
11-01-2023 20:53:49.686273,"(13.0, 17.5, 15.5)","(4.6, 6.0, 5.84)","(1.9, 2.8, 2.4545454545454546)","(6.5, 9.4, 7.9)","(11.0, 15.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 26.0)"
11-01-2023 20:53:50.847126,"(13.0, 17.0, 15.25)","(4.6, 6.0, 5.84)","(1.9, 2.8, 2.4545454545454546)","(6.5, 9.4, 7.9)","(11.0, 15.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 26.0)"
11-01-2023 20:53:51.993435,"(13.0, 17.0, 15.25)","(4.6, 6.0, 5.84)","(1.9, 2.8, 2.4545454545454546)","(6.5, 9.4, 7.9)","(11.0, 15.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 26.0)"
11-01-2023 20:53:53.161206,"(13.0, 17.0, 15.25)","(4.6, 6.0, 5.84)","(1.9, 2.8, 2.4545454545454546)","(6.5, 9.4, 7.9)","(11.0, 15.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 26.0)"
11-01-2023 20:53:54.330077,"(13.0, 17.0, 15.25)","(4.6, 6.0, 5.84)","(1.9, 2.8, 2.4545454545454546)","(6.5, 9.4, 7.9)","(11.0, 15.0, 13.833333333333334)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:53:55.501077,"(13.0, 17.0, 15.75)","(4.6, 6.0, 5.911111111111111)","(1.9, 2.8, 2.6023529411764708)","(6.5, 9.4, 7.72)","(11.0, 18.0, 14.75)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:53:56.644530,"(13.0, 17.0, 15.25)","(4.6, 6.0, 5.911111111111111)","(1.9, 2.8, 2.5415384615384617)","(6.5, 9.2, 7.3999999999999995)","(11.0, 17.5, 14.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:53:57.825832,"(13.0, 17.0, 15.25)","(4.6, 6.0, 5.911111111111111)","(1.9, 2.8, 2.4705882352941178)","(6.5, 9.2, 7.3999999999999995)","(11.0, 17.5, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:53:59.020541,"(13.0, 17.0, 15.25)","(4.6, 6.0, 5.911111111111111)","(1.9, 2.8, 2.4705882352941178)","(6.5, 9.2, 7.3999999999999995)","(11.0, 17.5, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:54:00.286555,"(13.0, 17.0, 15.25)","(4.6, 6.0, 5.911111111111111)","(1.9, 2.8, 2.4705882352941178)","(6.5, 9.2, 7.3999999999999995)","(11.0, 17.5, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:54:01.540743,"(13.0, 17.0, 15.25)","(4.6, 6.0, 5.911111111111111)","(1.9, 2.8, 2.5415384615384617)","(6.5, 9.2, 7.3999999999999995)","(11.0, 17.5, 14.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:54:02.683813,"(13.0, 17.0, 15.75)","(4.6, 6.0, 5.911111111111111)","(1.9, 2.8, 2.5415384615384617)","(6.5, 9.2, 7.3999999999999995)","(11.0, 17.5, 15.625)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:54:03.803368,"(13.0, 16.5, 15.75)","(4.6, 6.0, 5.876923076923077)","(1.9, 2.78, 2.6759999999999997)","(6.5, 9.0, 8.266666666666666)","(11.0, 17.0, 14.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:54:04.906649,"(13.0, 16.5, 15.75)","(4.6, 6.0, 5.876923076923077)","(1.9, 2.78, 2.7327272727272724)","(6.5, 9.6, 8.2)","(11.0, 16.5, 14.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:54:05.989904,"(13.0, 16.5, 15.75)","(4.6, 6.0, 5.766666666666667)","(1.9, 2.78, 2.7327272727272724)","(6.5, 9.4, 8.1)","(11.0, 16.5, 14.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:54:07.018427,"(13.0, 16.5, 15.75)","(4.6, 5.9, 5.814285714285715)","(1.9, 2.76, 2.6975)","(6.5, 9.4, 7.542857142857143)","(11.0, 16.5, 14.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:54:08.024411,"(13.0, 16.5, 15.75)","(4.6, 5.9, 5.814285714285715)","(1.9, 2.76, 2.6975)","(6.5, 9.2, 8.0)","(11.0, 16.5, 14.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.0)"
11-01-2023 20:54:09.130556,"(13.0, 16.5, 15.75)","(4.6, 5.9, 5.814285714285715)","(1.9, 2.76, 2.6975)","(6.5, 9.2, 8.0)","(11.0, 16.5, 14.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:10.253368,"(13.0, 16.5, 15.75)","(4.6, 5.9, 5.825)","(1.9, 2.76, 2.7163636363636363)","(6.5, 8.6, 7.7)","(11.0, 14.5, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:11.317698,"(13.0, 16.5, 15.75)","(4.6, 5.9, 5.825)","(1.9, 2.76, 2.7199999999999998)","(6.5, 8.4, 7.7)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:12.444344,"(13.0, 16.5, 15.428571428571429)","(4.6, 5.9, 5.8500000000000005)","(1.9, 2.76, 2.7024999999999997)","(6.5, 8.4, 8.244444444444445)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:13.572419,"(13.0, 16.5, 15.428571428571429)","(4.6, 5.9, 5.8500000000000005)","(1.9, 2.76, 2.7024999999999997)","(6.5, 8.4, 8.200000000000001)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:14.763222,"(13.0, 16.5, 15.428571428571429)","(4.6, 5.9, 5.8500000000000005)","(1.9, 2.76, 2.7024999999999997)","(6.5, 8.4, 8.200000000000001)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:15.912834,"(13.0, 16.5, 15.428571428571429)","(4.6, 5.9, 5.8500000000000005)","(1.9, 2.76, 2.685)","(6.5, 8.4, 8.200000000000001)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:17.020163,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.941666666666666)","(1.9, 2.74, 2.652)","(6.5, 8.4, 8.200000000000001)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:18.167382,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.941666666666666)","(1.9, 2.74, 2.5300000000000002)","(6.5, 8.4, 8.15)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:19.250280,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.941666666666666)","(1.9, 2.74, 2.5300000000000002)","(6.5, 8.4, 8.1)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:20.350335,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.8)","(1.9, 2.74, 2.5300000000000002)","(6.5, 8.6, 8.138461538461538)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:21.443289,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.85)","(1.9, 2.74, 2.64)","(6.5, 8.6, 8.138461538461538)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:22.511967,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.85)","(1.9, 2.74, 2.64)","(6.5, 8.6, 8.138461538461538)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:23.521240,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.76)","(1.9, 2.74, 2.64)","(6.5, 8.6, 8.138461538461538)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:24.531239,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.6571428571428575)","(1.9, 2.74, 2.64)","(6.5, 8.6, 8.138461538461538)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:25.543965,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.6571428571428575)","(1.9, 2.74, 2.64)","(6.5, 8.6, 8.138461538461538)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:26.566729,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.6571428571428575)","(1.9, 2.74, 2.64)","(6.5, 8.6, 7.885714285714285)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:27.656870,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.6571428571428575)","(1.9, 2.74, 2.64)","(6.5, 8.6, 8.1)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:28.715550,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.6571428571428575)","(1.9, 2.74, 2.64)","(6.5, 8.6, 8.1)","(11.0, 15.0, 13.5)","(11.0, 99999, 99990)","(10.0, 17.5, 16.833333333333332)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:29.797141,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.6571428571428575)","(1.9, 2.74, 2.64)","(6.5, 8.6, 8.1)","(11.0, 15.0, 13.0)","(11.0, 99999, 99990)","(10.0, 17.5, 16.5)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:30.940621,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.925)","(1.9, 2.74, 2.55)","(6.5, 8.6, 8.1)","(11.0, 15.0, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.5)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:32.052594,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.866666666666667)","(1.9, 2.74, 2.5599999999999996)","(6.5, 8.6, 8.1)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.5)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:33.111145,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.925)","(1.9, 2.76, 2.5599999999999996)","(6.5, 8.6, 8.145454545454545)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.5)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:34.231589,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.925)","(1.9, 2.76, 2.5599999999999996)","(6.5, 8.6, 8.145454545454545)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.5)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:35.289541,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.925)","(1.9, 2.76, 2.5599999999999996)","(6.5, 8.6, 8.145454545454545)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.5)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:36.337115,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.76)","(1.9, 2.76, 2.5999999999999996)","(6.5, 8.6, 8.044444444444444)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.5)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:37.437213,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.925)","(1.9, 2.76, 2.5599999999999996)","(6.5, 8.6, 8.044444444444444)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.5)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:38.457525,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.866666666666667)","(1.9, 2.76, 2.5999999999999996)","(6.5, 8.6, 7.885714285714285)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.5)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:39.534019,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.925)","(1.9, 2.76, 2.6333333333333333)","(6.5, 8.6, 8.028571428571428)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:40.540625,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.925)","(1.9, 2.76, 2.6333333333333333)","(6.5, 8.6, 8.028571428571428)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:41.536706,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.925)","(1.9, 2.76, 2.52)","(6.5, 8.4, 8.2)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:42.615663,"(13.0, 16.5, 15.428571428571429)","(4.6, 6.0, 5.6571428571428575)","(1.9, 2.76, 2.6239999999999997)","(6.5, 9.8, 8.9)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:43.609859,"(13.0, 14.0, 13.064516129032258)","(4.6, 6.0, 5.6571428571428575)","(1.9, 2.76, 2.675)","(6.5, 9.6, 8.8)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:44.634517,"(13.0, 14.0, 13.064516129032258)","(4.6, 6.0, 5.781818181818182)","(1.9, 2.76, 2.675)","(6.5, 9.6, 8.8)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:45.680730,"(13.0, 14.0, 13.064516129032258)","(4.6, 6.0, 5.781818181818182)","(1.9, 2.76, 2.675)","(6.5, 9.6, 8.8)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:46.702780,"(13.0, 14.0, 13.064516129032258)","(4.6, 6.0, 5.925)","(1.9, 2.76, 2.6054545454545455)","(6.5, 9.4, 8.233333333333334)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:47.778253,"(13.0, 14.0, 13.064516129032258)","(4.6, 6.0, 5.833333333333333)","(1.9, 2.76, 2.493333333333333)","(6.5, 9.4, 8.233333333333334)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:48.846574,"(13.0, 14.0, 13.016949152542374)","(4.6, 6.0, 5.625)","(1.9, 2.74, 2.6900000000000004)","(6.5, 9.4, 8.2)","(11.0, 14.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:49.888061,"(13.0, 14.0, 13.016949152542374)","(4.6, 6.0, 5.666666666666667)","(1.9, 2.74, 2.6900000000000004)","(6.5, 9.4, 8.2)","(11.0, 14.5, 13.142857142857142)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:51.060684,"(13.0, 14.0, 12.294117647058824)","(4.6, 6.0, 5.833333333333333)","(1.9, 2.74, 2.6399999999999997)","(6.5, 9.4, 8.16)","(11.0, 14.0, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:52.267360,"(13.0, 14.0, 12.525423728813559)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6849999999999996)","(6.5, 9.0, 8.353846153846154)","(11.0, 13.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:53.344786,"(13.0, 17.5, 13.125)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6849999999999996)","(6.5, 9.0, 8.353846153846154)","(11.0, 13.5, 12.25)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:54.360952,"(13.0, 17.0, 14.1875)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6849999999999996)","(6.5, 9.0, 8.353846153846154)","(11.0, 13.5, 12.25)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:55.525972,"(13.0, 16.5, 14.75)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6849999999999996)","(6.5, 9.0, 8.353846153846154)","(11.0, 13.5, 12.375)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:56.626018,"(13.0, 16.0, 15.0)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6849999999999996)","(6.5, 9.0, 8.353846153846154)","(11.0, 13.5, 12.375)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:57.689690,"(13.0, 16.0, 14.5)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6849999999999996)","(6.5, 9.0, 8.353846153846154)","(11.0, 13.5, 12.375)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:58.763843,"(13.0, 15.5, 14.25)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6849999999999996)","(6.5, 9.0, 8.353846153846154)","(11.0, 13.5, 12.375)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:54:59.854880,"(13.0, 15.5, 13.625)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6849999999999996)","(6.5, 9.0, 8.353846153846154)","(11.0, 13.5, 12.375)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:55:00.917796,"(13.0, 15.5, 13.625)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6849999999999996)","(6.5, 9.0, 8.353846153846154)","(11.0, 13.5, 13.0)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:55:02.002973,"(13.0, 15.5, 13.625)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6666666666666665)","(6.5, 9.0, 8.25)","(11.0, 13.5, 13.147058823529411)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:55:03.046793,"(13.0, 15.5, 13.625)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6666666666666665)","(6.5, 9.0, 8.25)","(11.0, 13.5, 12.25)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 25.57142857142857)"
11-01-2023 20:55:04.108108,"(13.0, 15.0, 14.0)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6666666666666665)","(6.5, 9.0, 8.25)","(11.0, 13.0, 12.5)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 26.333333333333332)"
11-01-2023 20:55:05.130587,"(13.0, 15.0, 13.5)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6666666666666665)","(6.5, 9.0, 8.353846153846154)","(11.0, 13.0, 12.5)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 26.333333333333332)"
11-01-2023 20:55:06.160381,"(13.0, 15.0, 13.5)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6666666666666665)","(6.5, 9.0, 8.353846153846154)","(11.0, 13.0, 12.5)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 26.333333333333332)"
11-01-2023 20:55:07.213113,"(13.0, 15.0, 13.5)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6666666666666665)","(6.5, 9.0, 8.25)","(11.0, 13.0, 12.9)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 26.333333333333332)"
11-01-2023 20:55:08.302666,"(13.0, 15.0, 14.0)","(4.6, 6.0, 5.875)","(1.9, 2.76, 2.6977777777777776)","(6.5, 9.0, 8.25)","(11.0, 14.0, 13.017857142857142)","(11.0, 99999, 99990)","(10.0, 17.0, 16.75)","(17.0, 29.0, 26.333333333333332)"
