,Trappe The Gold,Preachingtothewire,Stunning Hero,Brilliantbenny,Jack Of All Trades,Enough Ice,Blaziano
10,"[datetime.datetime(2022, 11, 28, 9, 50, 22, 898308), 3.7, 3.8]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 898308), 12.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 898308), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 898308), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 898308), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 898308), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 898308), 3.8, 4.4]"
11,"[datetime.datetime(2022, 11, 28, 9, 50, 24, 35149), 3.7, 3.8]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 35149), 12.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 35149), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 35149), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 35149), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 35149), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 35149), 3.8, 4.4]"
12,"[datetime.datetime(2022, 11, 28, 9, 50, 25, 161942), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 25, 161942), 12.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 25, 161942), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 25, 161942), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 25, 161942), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 25, 161942), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 25, 161942), 3.8, 4.4]"
13,"[datetime.datetime(2022, 11, 28, 9, 50, 26, 290933), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 26, 290933), 12.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 26, 290933), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 26, 290933), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 26, 290933), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 26, 290933), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 26, 290933), 3.8, 4.4]"
14,"[datetime.datetime(2022, 11, 28, 9, 50, 27, 422856), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 27, 422856), 12.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 27, 422856), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 27, 422856), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 27, 422856), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 27, 422856), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 27, 422856), 3.8, 4.4]"
15,"[datetime.datetime(2022, 11, 28, 9, 50, 28, 563036), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 28, 563036), 12.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 28, 563036), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 28, 563036), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 28, 563036), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 28, 563036), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 28, 563036), 3.8, 4.4]"
16,"[datetime.datetime(2022, 11, 28, 9, 50, 29, 714596), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 29, 714596), 12.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 29, 714596), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 29, 714596), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 29, 714596), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 29, 714596), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 29, 714596), 3.8, 4.4]"
17,"[datetime.datetime(2022, 11, 28, 9, 50, 30, 830733), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 30, 830733), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 30, 830733), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 30, 830733), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 30, 830733), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 30, 830733), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 30, 830733), 3.8, 4.4]"
18,"[datetime.datetime(2022, 11, 28, 9, 50, 31, 941635), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 31, 941635), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 31, 941635), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 31, 941635), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 31, 941635), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 31, 941635), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 31, 941635), 3.8, 4.4]"
19,"[datetime.datetime(2022, 11, 28, 9, 50, 33, 61152), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 33, 61152), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 33, 61152), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 33, 61152), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 33, 61152), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 33, 61152), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 33, 61152), 3.8, 4.4]"
20,"[datetime.datetime(2022, 11, 28, 9, 50, 34, 176203), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 34, 176203), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 34, 176203), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 34, 176203), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 34, 176203), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 34, 176203), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 34, 176203), 3.8, 4.4]"
21,"[datetime.datetime(2022, 11, 28, 9, 50, 35, 299299), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 35, 299299), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 35, 299299), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 35, 299299), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 35, 299299), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 35, 299299), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 35, 299299), 3.8, 4.4]"
22,"[datetime.datetime(2022, 11, 28, 9, 50, 36, 409806), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 36, 409806), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 36, 409806), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 36, 409806), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 36, 409806), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 36, 409806), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 36, 409806), 3.8, 4.4]"
23,"[datetime.datetime(2022, 11, 28, 9, 50, 37, 518879), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 37, 518879), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 37, 518879), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 37, 518879), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 37, 518879), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 37, 518879), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 37, 518879), 3.8, 4.4]"
24,"[datetime.datetime(2022, 11, 28, 9, 50, 38, 634297), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 38, 634297), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 38, 634297), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 38, 634297), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 38, 634297), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 38, 634297), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 38, 634297), 3.8, 4.5]"
25,"[datetime.datetime(2022, 11, 28, 9, 50, 39, 744143), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 39, 744143), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 39, 744143), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 39, 744143), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 39, 744143), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 39, 744143), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 39, 744143), 3.8, 4.5]"
26,"[datetime.datetime(2022, 11, 28, 9, 50, 40, 859018), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 40, 859018), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 40, 859018), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 40, 859018), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 40, 859018), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 40, 859018), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 40, 859018), 3.8, 4.5]"
27,"[datetime.datetime(2022, 11, 28, 9, 50, 41, 968932), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 41, 968932), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 41, 968932), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 41, 968932), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 41, 968932), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 41, 968932), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 41, 968932), 3.8, 4.5]"
28,"[datetime.datetime(2022, 11, 28, 9, 50, 43, 79490), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 43, 79490), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 43, 79490), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 43, 79490), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 43, 79490), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 43, 79490), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 43, 79490), 3.8, 4.5]"
29,"[datetime.datetime(2022, 11, 28, 9, 50, 44, 199793), 3.7, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 44, 199793), 12.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 44, 199793), 20.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 44, 199793), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 44, 199793), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 44, 199793), 2.9, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 44, 199793), 3.8, 4.5]"
30,"[datetime.datetime(2022, 11, 28, 9, 50, 45, 313057), 3.5, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 45, 313057), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 45, 313057), 21.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 45, 313057), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 45, 313057), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 45, 313057), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 45, 313057), 3.9, 4.5]"
31,"[datetime.datetime(2022, 11, 28, 9, 50, 46, 431123), 3.5, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 46, 431123), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 46, 431123), 21.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 46, 431123), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 46, 431123), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 46, 431123), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 46, 431123), 3.9, 4.5]"
32,"[datetime.datetime(2022, 11, 28, 9, 50, 47, 542722), 3.5, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 47, 542722), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 47, 542722), 21.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 47, 542722), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 47, 542722), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 47, 542722), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 47, 542722), 3.9, 4.5]"
33,"[datetime.datetime(2022, 11, 28, 9, 50, 48, 650295), 3.5, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 48, 650295), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 48, 650295), 21.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 48, 650295), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 48, 650295), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 48, 650295), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 9, 50, 48, 650295), 3.9, 4.5]"
34,"[datetime.datetime(2022, 11, 28, 9, 50, 49, 767398), 3.5, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 49, 767398), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 49, 767398), 21.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 49, 767398), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 49, 767398), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 49, 767398), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 9, 50, 49, 767398), 3.9, 4.5]"
35,"[datetime.datetime(2022, 11, 28, 9, 50, 50, 882998), 3.5, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 50, 882998), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 50, 882998), 21.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 50, 882998), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 50, 882998), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 50, 882998), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 9, 50, 50, 882998), 3.9, 4.5]"
36,"[datetime.datetime(2022, 11, 28, 9, 50, 51, 999982), 3.5, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 51, 999982), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 51, 999982), 21.0, 610.0]","[datetime.datetime(2022, 11, 28, 9, 50, 51, 999982), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 51, 999982), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 51, 999982), 2.8, 3.45]","[datetime.datetime(2022, 11, 28, 9, 50, 51, 999982), 3.9, 4.5]"
37,"[datetime.datetime(2022, 11, 28, 9, 50, 53, 111700), 3.5, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 53, 111700), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 53, 111700), 21.0, 610.0]","[datetime.datetime(2022, 11, 28, 9, 50, 53, 111700), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 53, 111700), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 53, 111700), 2.8, 3.45]","[datetime.datetime(2022, 11, 28, 9, 50, 53, 111700), 3.9, 4.5]"
38,"[datetime.datetime(2022, 11, 28, 9, 50, 54, 237613), 3.5, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 54, 237613), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 54, 237613), 21.0, 600.0]","[datetime.datetime(2022, 11, 28, 9, 50, 54, 237613), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 54, 237613), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 54, 237613), 2.8, 3.45]","[datetime.datetime(2022, 11, 28, 9, 50, 54, 237613), 3.9, 4.5]"
39,"[datetime.datetime(2022, 11, 28, 9, 50, 55, 353561), 3.5, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 55, 353561), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 55, 353561), 21.0, 600.0]","[datetime.datetime(2022, 11, 28, 9, 50, 55, 353561), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 55, 353561), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 55, 353561), 2.8, 3.45]","[datetime.datetime(2022, 11, 28, 9, 50, 55, 353561), 3.9, 4.5]"
40,"[datetime.datetime(2022, 11, 28, 9, 50, 56, 467390), 3.5, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 56, 467390), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 56, 467390), 21.0, 600.0]","[datetime.datetime(2022, 11, 28, 9, 50, 56, 467390), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 56, 467390), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 56, 467390), 2.8, 3.45]","[datetime.datetime(2022, 11, 28, 9, 50, 56, 467390), 3.9, 4.5]"
41,"[datetime.datetime(2022, 11, 28, 9, 50, 57, 590924), 3.5, 3.85]","[datetime.datetime(2022, 11, 28, 9, 50, 57, 590924), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 57, 590924), 21.0, 600.0]","[datetime.datetime(2022, 11, 28, 9, 50, 57, 590924), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 50, 57, 590924), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 50, 57, 590924), 2.8, 3.45]","[datetime.datetime(2022, 11, 28, 9, 50, 57, 590924), 3.9, 4.5]"
42,"[datetime.datetime(2022, 11, 28, 9, 50, 58, 711254), 3.5, 3.8]","[datetime.datetime(2022, 11, 28, 9, 50, 58, 711254), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 58, 711254), 21.0, 600.0]","[datetime.datetime(2022, 11, 28, 9, 50, 58, 711254), 10.0, 26.0]","[datetime.datetime(2022, 11, 28, 9, 50, 58, 711254), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 9, 50, 58, 711254), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 9, 50, 58, 711254), 3.9, 4.4]"
43,"[datetime.datetime(2022, 11, 28, 9, 50, 59, 839944), 3.5, 3.8]","[datetime.datetime(2022, 11, 28, 9, 50, 59, 839944), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 50, 59, 839944), 21.0, 600.0]","[datetime.datetime(2022, 11, 28, 9, 50, 59, 839944), 10.0, 26.0]","[datetime.datetime(2022, 11, 28, 9, 50, 59, 839944), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 9, 50, 59, 839944), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 9, 50, 59, 839944), 3.9, 4.4]"
44,"[datetime.datetime(2022, 11, 28, 9, 51, 0, 949623), 3.5, 3.75]","[datetime.datetime(2022, 11, 28, 9, 51, 0, 949623), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 51, 0, 949623), 21.0, 600.0]","[datetime.datetime(2022, 11, 28, 9, 51, 0, 949623), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 51, 0, 949623), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 9, 51, 0, 949623), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 9, 51, 0, 949623), 3.9, 4.5]"
45,"[datetime.datetime(2022, 11, 28, 9, 51, 2, 60132), 3.5, 3.75]","[datetime.datetime(2022, 11, 28, 9, 51, 2, 60132), 13.0, 42.0]","[datetime.datetime(2022, 11, 28, 9, 51, 2, 60132), 21.0, 600.0]","[datetime.datetime(2022, 11, 28, 9, 51, 2, 60132), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 9, 51, 2, 60132), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 9, 51, 2, 60132), 2.8, 3.35]","[datetime.datetime(2022, 11, 28, 9, 51, 2, 60132), 3.9, 4.5]"
