,Water Into Wine,Midas Prince,Black Syrah,Prospectus,Sword Of War,Duke Of Bedford,Supreme Thunder,Orpheline
08-12-2022 14:40:06.902798,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.88888888888889)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.76, 2.5046153846153847)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:08.334718,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.88888888888889)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.74, 2.5046153846153847)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:09.764792,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.88888888888889)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.74, 2.5046153846153847)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:11.231321,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.719999999999999)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.74, 2.506666666666667)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:12.661836,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.933333333333334)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.72, 2.471111111111111)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:14.028978,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.933333333333334)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.72, 2.471111111111111)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:15.641671,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.933333333333334)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.72, 2.471111111111111)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:17.054350,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.933333333333334)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.72, 2.471111111111111)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:18.653335,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.933333333333334)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.790909090909091)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.72, 2.5090909090909093)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:20.113543,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.933333333333334)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.62)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.7, 2.475)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:21.495317,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.933333333333334)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.8, 4.766666666666667)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.7, 2.475)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:23.004128,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.799999999999999)","(15.0, 19.5, 17.416666666666668)","(3.9, 4.9, 4.55)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.7, 2.475)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:24.363414,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 17.416666666666668)","(3.9, 5.0, 4.55)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.7, 2.475)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:25.896031,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 17.416666666666668)","(3.9, 5.0, 4.55)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.7, 2.475)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:27.454409,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 17.416666666666668)","(3.9, 5.0, 4.55)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.7, 2.475)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:28.893664,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 17.416666666666668)","(3.9, 5.0, 4.55)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.7, 2.475)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:30.266348,"(8.0, 10.0, 9.65)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 17.416666666666668)","(3.9, 5.0, 4.55)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.7, 2.475)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:31.845528,"(8.0, 9.6, 9.211428571428572)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 17.416666666666668)","(3.9, 5.0, 4.55)","(8.0, 99999, 99990)","(20.0, 60.0, 33.6)","(2.1, 2.7, 2.475)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:33.244066,"(8.0, 9.6, 9.211428571428572)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 17.416666666666668)","(3.9, 5.0, 4.55)","(8.0, 99999, 99990)","(20.0, 60.0, 37.0)","(2.1, 2.7, 2.475)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:34.710876,"(8.0, 9.6, 9.211428571428572)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 17.416666666666668)","(3.9, 5.0, 4.553571428571429)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.7, 2.5028571428571427)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:36.108853,"(8.0, 9.6, 9.316666666666666)","(6.5, 9.2, 8.959999999999999)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.0, 5.181818181818182)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.58, 2.4952941176470587)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:37.544551,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.58, 2.4952941176470587)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:38.947474,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.05)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.58, 2.4952941176470587)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:40.327418,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.05)","(3.9, 5.2, 5.094736842105263)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.58, 2.4952941176470587)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:41.642577,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.05)","(3.9, 5.2, 5.094736842105263)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.58, 2.472)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:42.900499,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.094736842105263)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.56, 2.46)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:44.213121,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.56, 2.46)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:45.531922,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.56, 2.46)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:46.763287,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.56, 2.46)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:47.922039,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.56, 2.46)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:49.114059,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.56, 2.4699999999999998)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:50.302647,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:51.601342,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:52.939670,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:54.198601,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:55.410823,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:56.627101,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:57.855646,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:40:59.100467,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:41:00.265960,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:41:01.394643,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 42.0, 38.666666666666664)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:41:02.580488,"(8.0, 9.6, 9.222222222222221)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 42.0, 39.25)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:41:03.698982,"(8.0, 9.6, 9.328)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:41:04.827798,"(8.0, 9.6, 9.328)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.54, 2.457272727272727)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:41:05.936568,"(8.0, 9.6, 9.328)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 19.21153846153846)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.54, 2.4771428571428573)","(51.0, 360.0, 231.11111111111111)"
08-12-2022 14:41:07.047347,"(8.0, 9.6, 9.328)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4771428571428573)","(51.0, 360.0, 270.0)"
08-12-2022 14:41:08.170051,"(8.0, 9.6, 9.52)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4771428571428573)","(51.0, 350.0, 270.0)"
08-12-2022 14:41:09.376441,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4771428571428573)","(51.0, 350.0, 270.0)"
08-12-2022 14:41:10.623102,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4771428571428573)","(51.0, 350.0, 238.75)"
08-12-2022 14:41:11.860086,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:13.084656,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:14.264367,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:15.430923,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:16.676734,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.133333333333334)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:17.977464,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:19.238185,"(8.0, 9.6, 9.52)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:20.511892,"(8.0, 9.6, 9.52)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:21.822939,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:23.125329,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:24.451077,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:25.735150,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:26.936409,"(8.0, 9.6, 9.52)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.5)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:28.143977,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4435294117647057)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:29.372616,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4435294117647057)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:30.684705,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4435294117647057)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:32.002771,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4435294117647057)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:33.280399,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4435294117647057)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:34.606295,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4435294117647057)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:35.899387,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4435294117647057)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:37.240404,"(8.0, 9.6, 9.542857142857143)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4435294117647057)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:38.542741,"(8.0, 10.0, 9.75294117647059)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4435294117647057)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:39.753930,"(8.0, 10.0, 9.75294117647059)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4435294117647057)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:41.065487,"(8.0, 10.0, 9.75294117647059)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4435294117647057)","(51.0, 340.0, 238.75)"
08-12-2022 14:41:42.318637,"(8.0, 10.0, 9.75294117647059)","(6.5, 9.2, 8.977777777777778)","(15.0, 19.5, 18.785714285714285)","(3.9, 5.2, 5.066666666666666)","(8.0, 99999, 99990)","(20.0, 40.0, 39.25)","(2.1, 2.52, 2.4435294117647057)","(51.0, 340.0, 238.75)"
