,Misdemeanor,Miss Verstappen Nz,Dancintothebeat,Speed Dating,Okinawa Beach,Bettor Romance,Eva Mateo,Molliesmaryelle,Marianna Bromac Nz
07-01-2023 19:49:39.980874,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:41.174289,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:42.339547,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:43.619778,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:44.773560,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:45.907182,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:47.087808,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:48.245972,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:49.521567,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:50.742627,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:51.989051,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:53.171515,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:54.366002,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:55.615854,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:56.797769,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:58.128083,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:49:59.278923,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:00.371646,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:01.481786,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:02.603574,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:03.713915,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:04.822003,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:05.880207,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:06.994571,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:08.100103,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:09.214052,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:10.324546,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:11.442908,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:12.595373,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:13.711963,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:14.887266,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:16.090508,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:17.242032,"(1.9, 2.74, 2.486666666666667)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:18.415796,"(1.9, 2.74, 2.5733333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:19.552691,"(1.9, 2.74, 2.5733333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:20.656288,"(1.9, 2.74, 2.5733333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:21.744694,"(1.9, 2.74, 2.5733333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:22.906167,"(1.9, 2.74, 2.5733333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
07-01-2023 19:50:24.013229,"(1.9, 2.74, 2.5733333333333333)","(31.0, 99999, 99990)","(21.0, 42.0, 34.166666666666664)","(2.9, 4.1, 3.7399999999999998)","(41.0, 70.0, 50.0)","(26.0, 46.0, 43.33333333333333)","(26.0, 46.0, 40.5)","(5.0, 8.0, 7.4399999999999995)","(26.0, 99999, 99990)"
