,River Patrol Nz,Baccarat,Final Bow,Paddy Mach,Live For Peace,Got The Goods
14-12-2022 12:27:18.781233,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.44, 2.3385365853658535)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:20.006015,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.34, 2.413333333333333)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:21.207270,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.44, 2.3026666666666666)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:22.303668,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.32, 2.393333333333333)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:23.371755,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.44, 2.4266666666666667)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:24.445736,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.44, 2.4266666666666667)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:25.532575,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.44, 2.3475675675675673)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:26.834130,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.36, 2.4274999999999998)","(8.5, 13.5, 12.375)","(8.5, 99999, 99990)"
14-12-2022 12:27:27.947076,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.44, 2.393333333333333)","(8.5, 13.5, 12.375)","(8.5, 99999, 99990)"
14-12-2022 12:27:29.136191,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.44, 2.428)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:30.552082,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.44, 2.4346666666666668)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:31.831426,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.44, 2.413333333333333)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:33.403877,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.42, 2.4059999999999997)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:34.649352,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.42, 2.342222222222222)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:35.870440,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.42, 2.342222222222222)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:37.170892,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.42, 2.3989473684210525)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:38.273505,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.42, 2.3989473684210525)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:39.446876,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.42, 2.3989473684210525)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:40.729143,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.600000000000001)","(1.95, 2.42, 2.306363636363636)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:41.846084,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.440000000000001)","(1.95, 2.32, 2.306363636363636)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:43.136806,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.440000000000001)","(1.95, 2.32, 2.306363636363636)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:44.246225,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.440000000000001)","(1.95, 2.32, 2.306363636363636)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:45.235418,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.440000000000001)","(1.95, 2.32, 2.306363636363636)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:46.387642,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.440000000000001)","(1.95, 2.32, 2.388421052631579)","(8.5, 13.5, 13.0)","(8.5, 99999, 99990)"
14-12-2022 12:27:47.514177,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.533333333333333)","(1.95, 2.42, 2.412)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:48.727226,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.533333333333333)","(1.95, 2.42, 2.412)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:49.884379,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.533333333333333)","(1.95, 2.42, 2.412)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:50.884256,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 9.8, 9.533333333333333)","(1.95, 2.42, 2.412)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:51.955125,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 11.5, 9.4)","(1.95, 2.42, 2.3417857142857144)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:53.001971,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 11.0, 9.4)","(1.95, 2.36, 2.323272727272727)","(8.5, 13.5, 12.5)","(8.5, 99999, 99990)"
14-12-2022 12:27:53.996895,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 11.0, 9.4)","(1.95, 2.34, 2.323272727272727)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:27:55.037363,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 11.0, 9.4)","(1.95, 2.34, 2.3739999999999997)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:27:56.059621,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 11.0, 9.4)","(1.95, 2.38, 2.3739999999999997)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:27:57.071923,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 11.0, 9.4)","(1.95, 2.38, 2.376)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:27:58.186743,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 11.0, 9.4)","(1.95, 2.38, 2.376)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:27:59.190247,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 11.0, 9.4)","(1.95, 2.38, 2.378)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:28:00.279183,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 10.5, 9.233333333333333)","(1.95, 2.38, 2.378)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:28:01.328380,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 10.5, 9.233333333333333)","(1.95, 2.34, 2.377894736842105)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:28:02.290484,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 10.5, 9.233333333333333)","(1.95, 2.38, 2.377894736842105)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:28:03.344768,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 10.5, 9.233333333333333)","(1.95, 2.38, 2.332)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:28:04.414023,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 10.5, 9.233333333333333)","(1.95, 2.34, 2.3768421052631576)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:28:05.330847,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 10.5, 9.233333333333333)","(1.95, 2.38, 2.3768421052631576)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
14-12-2022 12:28:06.364197,"(10.0, 99999, 99990)","(3.6, 5.6, 5.055555555555555)","(6.0, 10.5, 9.233333333333333)","(1.95, 2.38, 2.3269230769230766)","(8.5, 13.5, 11.7)","(8.5, 99999, 99990)"
