,Pocket Rox,Komachi,Dance Of Thunder,Hot Seat,Numpty,Bronski,Nerrivik,Rogers Day,Strawberry Moon,Fiji,More Than Discreet,Sheeza Tilly,Masina
06-01-2023 15:28:49.309196,"(19.0, 27.0, 26.076923076923077)","(3.3, 3.65, 3.6350597609561754)","(8.0, 9.8, 9.592592592592593)","(81.0, 150.0, 142.5)","(6.0, 6.8, 6.684210526315789)","(81.0, 110.0, 105.38461538461539)","(31.0, 38.0, 36.434782608695656)","(15.0, 21.0, 19.795081967213115)","(4.2, 5.0, 4.969148936170213)","(11.0, 13.5, 13.620967741935484)","(21.0, 27.0, 26.4)","(26.0, 38.0, 36.96)","(101.0, 550.0, 545.0)"
06-01-2023 15:28:50.907316,"(19.0, 27.0, 25.444444444444443)","(3.3, 3.65, 3.6331460674157303)","(8.0, 9.8, 9.605555555555556)","(81.0, 150.0, 138.46153846153845)","(6.0, 6.8, 6.699354838709677)","(81.0, 110.0, 105.71428571428571)","(31.0, 38.0, 36.69090909090909)","(15.0, 21.0, 19.775)","(4.2, 5.0, 4.995121951219512)","(11.0, 14.0, 13.585365853658537)","(21.0, 27.0, 25.846153846153847)","(26.0, 38.0, 36.92537313432836)","(101.0, 550.0, 545.0)"
06-01-2023 15:28:52.328930,"(19.0, 26.0, 25.444444444444443)","(3.3, 3.65, 3.6295580110497236)","(8.0, 9.8, 9.616993464052289)","(81.0, 160.0, 141.33333333333334)","(6.0, 6.8, 6.659541984732824)","(81.0, 110.0, 106.92307692307692)","(31.0, 38.0, 36.758620689655174)","(15.0, 21.0, 19.864864864864863)","(4.2, 5.0, 4.999259259259259)","(11.0, 14.0, 13.604651162790697)","(21.0, 26.0, 26.5)","(26.0, 38.0, 36.92537313432836)","(101.0, 550.0, 545.0)"
06-01-2023 15:28:53.832292,"(19.0, 26.0, 25.523809523809526)","(3.3, 3.65, 3.6295580110497236)","(8.0, 9.8, 9.616993464052289)","(81.0, 160.0, 146.66666666666666)","(6.0, 6.8, 6.659541984732824)","(81.0, 110.0, 106.92307692307692)","(31.0, 38.0, 36.758620689655174)","(15.0, 20.0, 19.864864864864863)","(4.2, 5.0, 4.999259259259259)","(11.0, 14.0, 13.604651162790697)","(21.0, 27.0, 25.84090909090909)","(26.0, 38.0, 36.94444444444444)","(101.0, 550.0, 542.8571428571429)"
06-01-2023 15:28:55.250170,"(19.0, 26.0, 25.454545454545453)","(3.3, 3.65, 3.6363970588235293)","(8.0, 9.8, 9.616993464052289)","(81.0, 150.0, 146.66666666666666)","(6.0, 6.8, 6.659541984732824)","(81.0, 110.0, 106.92307692307692)","(31.0, 38.0, 36.758620689655174)","(15.0, 20.0, 19.88095238095238)","(4.2, 5.0, 4.992413793103449)","(11.0, 14.0, 13.569343065693431)","(21.0, 27.0, 25.86046511627907)","(26.0, 38.0, 36.94444444444444)","(101.0, 550.0, 542.8571428571429)"
06-01-2023 15:28:56.692009,"(19.0, 26.0, 25.53846153846154)","(3.3, 3.65, 3.654861111111111)","(8.0, 9.8, 9.622784810126582)","(81.0, 150.0, 130.9090909090909)","(6.0, 6.8, 6.679761904761905)","(81.0, 110.0, 106.47058823529412)","(31.0, 38.0, 36.86666666666667)","(15.0, 20.0, 19.425531914893618)","(4.2, 5.0, 5.000909090909091)","(11.0, 14.0, 13.299242424242424)","(21.0, 26.0, 25.844444444444445)","(26.0, 38.0, 37.02564102564102)","(101.0, 550.0, 543.75)"
06-01-2023 15:28:58.125874,"(19.0, 26.0, 25.53846153846154)","(3.3, 3.7, 3.654861111111111)","(8.0, 9.8, 9.622784810126582)","(91.0, 150.0, 130.9090909090909)","(6.0, 6.8, 6.674534161490683)","(81.0, 110.0, 106.47058823529412)","(31.0, 38.0, 35.65384615384615)","(15.0, 19.5, 19.351063829787233)","(4.2, 5.1, 5.020912547528517)","(11.0, 13.5, 13.288617886178862)","(21.0, 26.0, 25.829268292682926)","(26.0, 38.0, 37.02564102564102)","(101.0, 550.0, 574.0)"
06-01-2023 15:28:59.632264,"(19.0, 26.0, 25.677419354838708)","(3.3, 3.7, 3.660981308411215)","(8.0, 9.8, 9.636477987421385)","(91.0, 140.0, 144.0)","(6.0, 6.8, 6.67051282051282)","(81.0, 110.0, 107.5)","(31.0, 36.0, 35.733333333333334)","(15.0, 19.5, 18.857142857142858)","(4.2, 5.1, 5.020912547528517)","(11.0, 13.5, 13.28688524590164)","(21.0, 26.0, 26.145454545454545)","(26.0, 38.0, 37.02564102564102)","(101.0, 610.0, 576.25)"
06-01-2023 15:29:01.542655,"(20.0, 26.0, 25.724137931034484)","(3.3, 3.7, 3.6522421524663677)","(8.0, 9.8, 9.61123595505618)","(91.0, 150.0, 140.0)","(6.0, 6.8, 6.67051282051282)","(91.0, 110.0, 105.0)","(31.0, 36.0, 35.733333333333334)","(15.0, 19.0, 18.807692307692307)","(4.2, 5.1, 5.044628099173553)","(11.0, 13.5, 13.263565891472869)","(21.0, 27.0, 26.160714285714285)","(26.0, 38.0, 37.05)","(101.0, 620.0, 576.25)"
06-01-2023 15:29:03.176099,"(20.0, 26.0, 25.852941176470587)","(3.3, 3.7, 3.6346273291925466)","(8.0, 9.8, 9.615384615384615)","(91.0, 160.0, 133.75)","(6.0, 6.8, 6.690710382513661)","(91.0, 110.0, 102.72727272727273)","(31.0, 36.0, 35.594202898550726)","(15.0, 19.5, 18.833333333333332)","(4.2, 5.1, 5.020588235294118)","(11.0, 13.5, 13.261904761904763)","(21.0, 27.0, 26.703703703703702)","(26.0, 38.0, 37.073170731707314)","(101.0, 620.0, 576.25)"
06-01-2023 15:29:04.783383,"(20.0, 26.0, 26.85185185185185)","(3.3, 3.65, 3.6343076923076922)","(8.0, 9.8, 9.62127659574468)","(91.0, 160.0, 133.75)","(6.0, 6.8, 6.6912087912087905)","(91.0, 110.0, 102.72727272727273)","(31.0, 36.0, 35.594202898550726)","(15.0, 19.5, 18.630434782608695)","(4.2, 5.1, 5.021111111111111)","(11.0, 13.5, 13.211538461538462)","(21.0, 27.0, 26.76)","(26.0, 38.0, 37.073170731707314)","(101.0, 620.0, 576.25)"
06-01-2023 15:29:06.284027,"(20.0, 27.0, 26.85185185185185)","(3.3, 3.65, 3.6343076923076922)","(8.0, 9.8, 9.62127659574468)","(91.0, 160.0, 140.0)","(6.0, 6.8, 6.731724137931034)","(91.0, 110.0, 102.72727272727273)","(31.0, 36.0, 35.594202898550726)","(15.0, 19.0, 18.615384615384617)","(4.2, 5.1, 5.035779816513761)","(11.0, 13.5, 13.198275862068966)","(21.0, 27.0, 26.615384615384617)","(26.0, 38.0, 37.073170731707314)","(101.0, 620.0, 576.25)"
06-01-2023 15:29:08.107872,"(20.0, 28.0, 27.176470588235293)","(3.3, 3.65, 3.632943143812709)","(8.0, 9.8, 9.62127659574468)","(91.0, 150.0, 140.0)","(6.0, 6.8, 6.737282229965157)","(91.0, 110.0, 135.0)","(31.0, 36.0, 35.61643835616438)","(15.0, 19.0, 18.596774193548388)","(4.2, 5.1, 5.055555555555555)","(11.0, 13.5, 13.053719008264462)","(21.0, 27.0, 26.541666666666668)","(26.0, 38.0, 37.073170731707314)","(101.0, 620.0, 576.25)"
06-01-2023 15:29:09.570554,"(20.0, 28.0, 27.77777777777778)","(3.3, 3.65, 3.5773148148148146)","(8.0, 9.8, 9.638461538461538)","(91.0, 150.0, 140.0)","(6.0, 6.8, 6.868449197860962)","(91.0, 140.0, 118.82352941176471)","(31.0, 36.0, 35.63157894736842)","(15.0, 19.0, 18.66216216216216)","(4.2, 5.1, 5.086315789473684)","(11.0, 13.5, 12.818181818181818)","(21.0, 27.0, 26.62962962962963)","(26.0, 38.0, 37.095238095238095)","(101.0, 620.0, 576.25)"
06-01-2023 15:29:11.092591,"(20.0, 28.0, 27.77777777777778)","(3.3, 3.6, 3.573369565217391)","(8.0, 9.8, 9.623157894736842)","(91.0, 150.0, 140.0)","(6.0, 7.0, 6.864327485380117)","(91.0, 140.0, 118.82352941176471)","(31.0, 36.0, 35.61643835616438)","(15.0, 19.0, 18.657894736842106)","(4.2, 5.1, 5.116831683168317)","(11.0, 13.0, 12.811926605504587)","(21.0, 27.0, 26.607142857142858)","(26.0, 38.0, 37.095238095238095)","(101.0, 620.0, 576.25)"
06-01-2023 15:29:12.571942,"(20.0, 28.0, 27.814814814814813)","(3.3, 3.6, 3.539880952380952)","(8.0, 9.8, 9.655813953488373)","(91.0, 150.0, 140.0)","(6.0, 7.0, 6.88457711442786)","(91.0, 140.0, 116.0)","(31.0, 36.0, 35.65)","(15.0, 19.0, 18.766666666666666)","(4.2, 5.2, 5.134751773049645)","(11.0, 13.0, 12.786713286713287)","(21.0, 27.0, 25.829268292682926)","(26.0, 38.0, 37.0)","(101.0, 620.0, 581.1111111111111)"
06-01-2023 15:29:14.026098,"(20.0, 28.0, 28.375)","(3.3, 3.55, 3.5653992395437264)","(8.0, 9.8, 9.623809523809523)","(91.0, 150.0, 140.0)","(6.0, 7.0, 6.871794871794871)","(91.0, 140.0, 116.0)","(31.0, 36.0, 35.702127659574465)","(15.0, 19.0, 18.807692307692307)","(4.2, 5.2, 5.121428571428571)","(11.0, 13.0, 12.79530201342282)","(21.0, 26.0, 25.871794871794872)","(26.0, 38.0, 37.09756097560975)","(101.0, 620.0, 581.1111111111111)"
06-01-2023 15:29:15.447473,"(20.0, 29.0, 28.375)","(3.3, 3.6, 3.5653992395437264)","(8.0, 9.8, 9.623809523809523)","(91.0, 150.0, 131.66666666666666)","(6.0, 7.0, 6.873684210526315)","(91.0, 140.0, 125.71428571428572)","(31.0, 36.0, 35.702127659574465)","(15.0, 19.0, 18.70212765957447)","(4.2, 5.2, 5.121428571428571)","(11.0, 13.0, 12.74223602484472)","(21.0, 26.0, 25.794871794871796)","(26.0, 38.0, 37.09756097560975)","(101.0, 620.0, 694.0)"
06-01-2023 15:29:16.868743,"(20.0, 29.0, 28.5)","(3.2, 3.6, 3.5530405405405405)","(8.0, 9.8, 9.623809523809523)","(91.0, 140.0, 132.85714285714286)","(6.0, 7.0, 6.873684210526315)","(81.0, 130.0, 116.36363636363636)","(31.0, 36.0, 35.702127659574465)","(15.0, 19.0, 18.67924528301887)","(4.4, 5.2, 5.121428571428571)","(11.0, 13.0, 12.74223602484472)","(21.0, 27.0, 25.894117647058824)","(26.0, 38.0, 37.09756097560975)","(101.0, 990.0, 694.0)"
06-01-2023 15:29:18.471361,"(20.0, 29.0, 28.5)","(3.2, 3.6, 3.5260956175298803)","(8.0, 9.8, 9.623809523809523)","(91.0, 140.0, 127.14285714285714)","(6.0, 7.0, 6.879396984924623)","(81.0, 130.0, 116.36363636363636)","(31.0, 36.0, 35.702127659574465)","(15.0, 19.0, 18.67924528301887)","(4.4, 5.2, 5.148863636363636)","(11.0, 13.0, 12.74223602484472)","(21.0, 27.0, 26.551020408163264)","(26.0, 38.0, 37.07692307692308)","(101.0, 990.0, 694.0)"
06-01-2023 15:29:19.992367,"(20.0, 29.0, 28.5)","(3.2, 3.55, 3.5227272727272725)","(8.0, 9.8, 9.623809523809523)","(91.0, 140.0, 135.0)","(6.0, 7.0, 6.887292817679558)","(81.0, 130.0, 106.66666666666667)","(31.0, 36.0, 35.702127659574465)","(15.0, 19.0, 18.67924528301887)","(4.4, 5.2, 5.156122448979592)","(11.0, 13.0, 12.729411764705882)","(21.0, 27.0, 25.547619047619047)","(26.0, 38.0, 36.82222222222222)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:21.757778,"(20.0, 30.0, 28.61111111111111)","(3.2, 3.55, 3.484920634920635)","(8.0, 9.8, 9.86413043478261)","(91.0, 140.0, 128.66666666666666)","(6.0, 7.0, 6.953658536585365)","(81.0, 120.0, 107.6923076923077)","(31.0, 36.0, 35.708333333333336)","(15.0, 19.0, 18.70909090909091)","(4.4, 5.2, 5.165573770491803)","(11.0, 13.0, 12.78048780487805)","(21.0, 26.0, 25.4)","(26.0, 38.0, 36.65822784810126)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:23.279732,"(21.0, 30.0, 28.956521739130434)","(3.2, 3.5, 3.485767790262172)","(8.0, 10.0, 9.86350710900474)","(91.0, 130.0, 128.75)","(6.0, 7.0, 6.963953488372093)","(81.0, 120.0, 108.57142857142857)","(31.0, 36.0, 35.714285714285715)","(15.0, 19.0, 18.754545454545454)","(4.4, 5.2, 5.170422535211268)","(11.0, 13.0, 12.788235294117648)","(21.0, 26.0, 25.4375)","(26.0, 38.0, 36.68292682926829)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:25.101715,"(21.0, 30.0, 29.333333333333332)","(3.2, 3.5, 3.4775)","(8.0, 10.0, 9.911347517730496)","(91.0, 130.0, 128.33333333333334)","(6.0, 7.0, 6.944927536231884)","(81.0, 120.0, 108.57142857142857)","(31.0, 36.0, 35.714285714285715)","(15.0, 19.0, 17.695652173913043)","(4.4, 5.2, 5.189411764705882)","(11.0, 13.0, 12.766233766233766)","(21.0, 26.0, 25.50877192982456)","(26.0, 38.0, 36.68292682926829)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:26.759071,"(21.0, 30.0, 29.61111111111111)","(3.2, 3.5, 3.485792349726776)","(8.0, 10.0, 9.933582089552239)","(91.0, 130.0, 138.57142857142858)","(6.0, 7.0, 6.938775510204081)","(81.0, 120.0, 111.11111111111111)","(31.0, 36.0, 37.027027027027025)","(15.0, 18.0, 18.104166666666668)","(4.4, 5.2, 5.212033195020747)","(11.0, 13.0, 12.806451612903226)","(21.0, 26.0, 25.379310344827587)","(26.0, 38.0, 36.851063829787236)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:28.272258,"(21.0, 30.0, 29.61111111111111)","(3.2, 3.5, 3.485792349726776)","(8.0, 10.0, 9.933582089552239)","(91.0, 140.0, 138.57142857142858)","(6.0, 7.0, 6.949579831932773)","(81.0, 120.0, 111.57894736842105)","(31.0, 38.0, 37.44)","(15.0, 18.5, 18.175675675675677)","(4.4, 5.3, 5.2193798449612405)","(11.0, 13.0, 12.798882681564246)","(21.0, 26.0, 24.774193548387096)","(26.0, 38.0, 36.04761904761905)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:29.865772,"(21.0, 30.0, 29.647058823529413)","(3.2, 3.45, 3.4453389830508474)","(8.0, 10.0, 10.076612903225806)","(91.0, 140.0, 141.25)","(6.0, 7.0, 6.952)","(81.0, 120.0, 113.75)","(31.0, 38.0, 37.471698113207545)","(15.0, 18.5, 18.23611111111111)","(4.4, 5.3, 5.316666666666666)","(11.0, 13.0, 12.806451612903226)","(21.0, 25.0, 24.82051282051282)","(26.0, 38.0, 34.95652173913044)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:31.434574,"(21.0, 30.0, 29.727272727272727)","(3.2, 3.45, 3.4221052631578948)","(8.0, 10.5, 10.15748031496063)","(91.0, 160.0, 140.0)","(6.0, 7.0, 6.911229946524064)","(81.0, 120.0, 114.11764705882354)","(31.0, 38.0, 37.5)","(15.0, 18.5, 17.857142857142858)","(4.4, 5.4, 5.310416666666667)","(11.0, 13.0, 12.85234899328859)","(21.0, 25.0, 24.8)","(26.0, 36.0, 33.27272727272727)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:33.116149,"(21.0, 30.0, 29.727272727272727)","(3.2, 3.45, 3.4601851851851855)","(8.0, 10.5, 10.224444444444444)","(91.0, 150.0, 141.11111111111111)","(6.0, 7.0, 6.557142857142857)","(81.0, 120.0, 114.73684210526315)","(31.0, 38.0, 37.527272727272724)","(15.0, 18.5, 18.26126126126126)","(4.4, 5.4, 5.377777777777778)","(11.0, 13.0, 12.813471502590673)","(21.0, 25.0, 24.837209302325583)","(26.0, 34.0, 33.142857142857146)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:34.664311,"(21.0, 32.0, 30.5)","(3.2, 3.5, 3.454513888888889)","(8.0, 10.5, 10.701149425287356)","(91.0, 150.0, 140.0)","(6.0, 6.6, 6.482840236686391)","(81.0, 120.0, 114.73684210526315)","(31.0, 38.0, 37.5)","(15.0, 19.0, 18.51775147928994)","(4.4, 5.4, 5.363043478260869)","(11.0, 13.0, 12.813471502590673)","(21.0, 25.0, 24.729166666666668)","(26.0, 34.0, 33.25)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:36.291676,"(21.0, 32.0, 30.75)","(3.2, 3.5, 3.4290140845070423)","(8.0, 11.0, 10.785714285714286)","(91.0, 150.0, 145.0)","(6.0, 6.6, 6.49423076923077)","(81.0, 120.0, 115.23809523809524)","(31.0, 38.0, 37.48051948051948)","(15.0, 19.0, 18.54310344827586)","(4.4, 5.4, 5.333333333333333)","(11.0, 13.0, 12.80952380952381)","(21.0, 25.0, 24.84)","(26.0, 34.0, 33.45454545454545)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:37.914347,"(21.0, 32.0, 31.483870967741936)","(3.2, 3.45, 3.429637526652452)","(8.0, 11.0, 11.195454545454545)","(91.0, 150.0, 140.0)","(6.0, 6.6, 6.527102803738318)","(81.0, 120.0, 116.29629629629629)","(31.0, 38.0, 37.54216867469879)","(15.0, 19.0, 17.7125)","(4.4, 5.4, 5.341509433962265)","(11.0, 13.0, 12.823809523809524)","(21.0, 25.0, 24.866666666666667)","(26.0, 36.0, 33.67164179104478)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:39.521985,"(21.0, 32.0, 29.677419354838708)","(3.2, 3.45, 3.4305263157894736)","(8.0, 11.5, 11.283950617283951)","(91.0, 150.0, 147.5)","(6.0, 6.6, 6.531277533039647)","(81.0, 120.0, 119.0)","(31.0, 38.0, 37.54216867469879)","(15.0, 18.0, 17.726190476190474)","(4.4, 5.4, 5.338596491228071)","(11.0, 13.0, 12.814070351758794)","(21.0, 25.0, 24.823529411764707)","(26.0, 36.0, 33.67164179104478)","(101.0, 980.0, 800.0)"
06-01-2023 15:29:41.132002,"(21.0, 30.0, 29.44)","(3.2, 3.45, 3.42859778597786)","(8.0, 11.5, 12.146067415730338)","(91.0, 160.0, 145.88235294117646)","(6.0, 6.6, 6.538339920948617)","(81.0, 120.0, 106.66666666666667)","(31.0, 38.0, 37.55294117647059)","(15.0, 18.0, 17.72222222222222)","(4.4, 5.4, 5.413802816901409)","(11.0, 13.0, 12.836283185840708)","(21.0, 25.0, 24.74137931034483)","(26.0, 36.0, 33.73913043478261)","(101.0, 970.0, 736.6666666666666)"
06-01-2023 15:29:42.655308,"(21.0, 30.0, 29.44)","(3.2, 3.45, 3.42859778597786)","(8.5, 12.5, 11.979591836734693)","(91.0, 160.0, 142.85714285714286)","(6.0, 6.6, 6.519834710743802)","(81.0, 120.0, 106.36363636363636)","(31.0, 38.0, 37.609756097560975)","(15.0, 18.0, 17.697916666666668)","(4.4, 5.5, 5.2890829694323145)","(11.0, 13.0, 12.879139072847682)","(21.0, 25.0, 24.861386138613863)","(21.0, 36.0, 34.275862068965516)","(101.0, 970.0, 795.0)"
06-01-2023 15:29:44.213803,"(21.0, 30.0, 29.275)","(3.2, 3.45, 3.4422018348623853)","(8.5, 12.5, 12.056521739130435)","(91.0, 150.0, 142.85714285714286)","(6.0, 6.6, 6.517551020408163)","(81.0, 120.0, 106.66666666666667)","(31.0, 38.0, 37.59036144578313)","(15.0, 18.0, 17.697916666666668)","(4.4, 5.3, 5.241666666666667)","(11.0, 13.0, 12.890718562874252)","(21.0, 25.0, 24.861386138613863)","(21.0, 36.0, 36.391304347826086)","(101.0, 970.0, 795.0)"
06-01-2023 15:29:45.781759,"(21.0, 29.0, 29.032258064516128)","(3.2, 3.45, 3.4625000000000004)","(8.5, 12.5, 12.071428571428571)","(91.0, 150.0, 143.84615384615384)","(6.0, 6.6, 6.528342245989305)","(81.0, 110.0, 105.45454545454545)","(31.0, 38.0, 37.58536585365854)","(15.0, 18.0, 17.697916666666668)","(4.4, 5.3, 5.290661478599222)","(11.0, 13.0, 12.893805309734514)","(21.0, 25.0, 24.861386138613863)","(21.0, 38.0, 36.5625)","(101.0, 970.0, 795.0)"
06-01-2023 15:29:47.384875,"(21.0, 30.0, 29.032258064516128)","(3.2, 3.5, 3.448689138576779)","(8.5, 12.5, 12.064655172413794)","(91.0, 150.0, 148.0)","(6.0, 6.6, 6.5285714285714285)","(81.0, 110.0, 106.25)","(31.0, 38.0, 37.64556962025316)","(15.0, 18.0, 17.697916666666668)","(4.4, 5.3, 5.1494382022471905)","(11.0, 13.0, 12.88034188034188)","(21.0, 25.0, 24.861386138613863)","(21.0, 38.0, 35.142857142857146)","(101.0, 970.0, 694.0)"
06-01-2023 15:29:48.935235,"(21.0, 30.0, 29.0)","(3.2, 3.5, 3.448689138576779)","(8.5, 12.5, 12.060975609756097)","(91.0, 150.0, 141.8181818181818)","(6.0, 6.6, 6.576829268292682)","(81.0, 110.0, 105.38461538461539)","(31.0, 38.0, 37.609756097560975)","(15.0, 18.0, 17.46212121212121)","(4.4, 5.2, 5.25050505050505)","(11.0, 13.0, 12.891618497109826)","(21.0, 25.0, 24.871559633027523)","(21.0, 38.0, 35.19298245614035)","(101.0, 990.0, 740.0)"
06-01-2023 15:29:50.438680,"(21.0, 30.0, 28.96551724137931)","(3.2, 3.45, 3.3799107142857143)","(8.5, 12.5, 11.96875)","(91.0, 150.0, 128.8235294117647)","(6.0, 6.6, 6.629677419354838)","(81.0, 110.0, 106.66666666666667)","(31.0, 38.0, 37.57142857142857)","(15.0, 17.5, 17.46969696969697)","(4.4, 5.3, 5.2653179190751445)","(11.0, 13.0, 12.867605633802818)","(21.0, 25.0, 25.46067415730337)","(21.0, 38.0, 35.1764705882353)","(101.0, 980.0, 795.0)"
06-01-2023 15:29:52.015486,"(21.0, 30.0, 29.0)","(3.2, 3.4, 3.38531914893617)","(8.5, 12.0, 11.962406015037594)","(91.0, 130.0, 129.1304347826087)","(6.0, 6.8, 6.658823529411764)","(81.0, 110.0, 106.66666666666667)","(31.0, 38.0, 37.648648648648646)","(15.0, 17.5, 17.486842105263158)","(4.4, 5.3, 5.249171270718232)","(11.0, 13.0, 12.873655913978494)","(21.0, 26.0, 25.48936170212766)","(21.0, 38.0, 36.494623655913976)","(101.0, 970.0, 765.0)"
