,A Good Yarn,Pride Of Limassol,Wanaroo,Alfoil,Chosen Miss,Bella Babe,Friday At Five,Danerich Dan,Almira Gulch,Breaker Of Chains,Make An Effort,Filips Star
16-12-2022 15:42:11.340816,"(7.0, 8.6, 8.399999999999999)","(18.0, 22.0, 20.09090909090909)","(8.5, 11.0, 10.101694915254237)","(19.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.7357142857142858)","(5.5, 9.4, 9.2)","(21.0, 38.0, 37.0)","(31.0, 48.0, 46.46153846153846)","(101.0, 210.0, 193.33333333333334)","(101.0, 330.0, 252.0)","(41.0, 65.0, 61.25)","(3.8, 4.1, 3.936078431372549)"
16-12-2022 15:42:12.702544,"(7.0, 8.6, 8.399999999999999)","(18.0, 22.0, 20.09090909090909)","(8.5, 11.0, 10.101694915254237)","(19.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.7357142857142858)","(5.5, 9.4, 9.266666666666667)","(21.0, 38.0, 34.666666666666664)","(31.0, 48.0, 46.666666666666664)","(101.0, 240.0, 226.66666666666666)","(101.0, 330.0, 300.0)","(41.0, 65.0, 63.57142857142857)","(3.8, 4.1, 3.953640776699029)"
16-12-2022 15:42:14.053121,"(7.0, 8.6, 8.430769230769231)","(18.0, 22.0, 20.22222222222222)","(8.5, 10.0, 10.15)","(19.0, 26.0, 24.941176470588236)","(3.3, 3.75, 3.7125)","(5.5, 9.4, 9.24)","(21.0, 38.0, 32.6)","(31.0, 48.0, 46.666666666666664)","(101.0, 240.0, 226.66666666666666)","(101.0, 330.0, 300.0)","(41.0, 65.0, 67.5)","(3.8, 4.1, 4.02463768115942)"
16-12-2022 15:42:15.406994,"(7.0, 9.0, 8.64102564102564)","(18.0, 22.0, 21.25)","(8.5, 10.5, 10.357142857142858)","(19.0, 26.0, 24.941176470588236)","(3.3, 3.75, 3.7125)","(5.5, 9.4, 9.181818181818182)","(21.0, 38.0, 32.6)","(31.0, 48.0, 46.666666666666664)","(101.0, 240.0, 231.42857142857142)","(101.0, 330.0, 350.0)","(41.0, 75.0, 65.55555555555556)","(3.8, 4.1, 4.02463768115942)"
16-12-2022 15:42:16.691850,"(7.0, 9.0, 8.637209302325582)","(18.0, 22.0, 21.25)","(8.5, 10.5, 10.357142857142858)","(19.0, 26.0, 24.941176470588236)","(3.3, 3.75, 3.7125)","(5.5, 9.4, 9.181818181818182)","(21.0, 38.0, 32.6)","(31.0, 48.0, 46.666666666666664)","(101.0, 260.0, 231.42857142857142)","(101.0, 410.0, 350.0)","(41.0, 70.0, 65.55555555555556)","(3.8, 4.1, 4.02463768115942)"
16-12-2022 15:42:17.995136,"(7.0, 9.0, 8.637209302325582)","(18.0, 22.0, 21.25)","(8.5, 10.5, 10.357142857142858)","(19.0, 26.0, 24.941176470588236)","(3.3, 3.75, 3.7125)","(5.5, 9.4, 9.25)","(21.0, 38.0, 32.6)","(31.0, 48.0, 46.666666666666664)","(101.0, 260.0, 231.42857142857142)","(101.0, 450.0, 336.6666666666667)","(41.0, 70.0, 65.55555555555556)","(3.8, 4.1, 4.02463768115942)"
16-12-2022 15:42:19.413693,"(7.0, 9.0, 8.637209302325582)","(18.0, 22.0, 21.25)","(8.5, 10.5, 10.357142857142858)","(19.0, 26.0, 24.941176470588236)","(3.3, 3.75, 3.7125)","(5.5, 9.4, 9.25)","(21.0, 38.0, 32.6)","(31.0, 48.0, 46.666666666666664)","(101.0, 260.0, 231.42857142857142)","(101.0, 430.0, 314.0)","(41.0, 70.0, 65.55555555555556)","(3.8, 4.1, 4.0264591439688715)"
16-12-2022 15:42:20.781249,"(7.0, 9.0, 8.637209302325582)","(18.0, 22.0, 21.25)","(8.5, 10.5, 10.357142857142858)","(18.0, 26.0, 24.941176470588236)","(3.3, 3.75, 3.7125)","(6.0, 9.4, 9.114285714285714)","(20.0, 38.0, 32.6)","(31.0, 48.0, 46.666666666666664)","(101.0, 260.0, 231.42857142857142)","(101.0, 410.0, 308.0)","(41.0, 70.0, 65.55555555555556)","(3.7, 4.1, 4.0264591439688715)"
16-12-2022 15:42:22.122568,"(7.0, 9.0, 8.637209302325582)","(18.0, 22.0, 21.25)","(8.5, 10.5, 10.357142857142858)","(18.0, 26.0, 24.941176470588236)","(3.3, 3.75, 3.7125)","(6.0, 9.4, 9.114285714285714)","(20.0, 38.0, 32.6)","(31.0, 48.0, 46.666666666666664)","(101.0, 260.0, 231.42857142857142)","(101.0, 380.0, 316.6666666666667)","(41.0, 70.0, 65.55555555555556)","(3.7, 4.1, 4.0264591439688715)"
16-12-2022 15:42:23.503422,"(7.0, 9.0, 8.637209302325582)","(18.0, 22.0, 21.25)","(8.5, 10.5, 10.357142857142858)","(18.0, 26.0, 24.941176470588236)","(3.3, 3.75, 3.7125)","(6.0, 9.4, 8.953846153846154)","(20.0, 38.0, 32.6)","(31.0, 48.0, 46.666666666666664)","(101.0, 260.0, 231.42857142857142)","(101.0, 370.0, 316.6666666666667)","(41.0, 70.0, 65.55555555555556)","(3.7, 4.1, 4.0264591439688715)"
