,Frame Drive,Soulwriter,Lazy Blaze,Wonderwoman Jujon,Toro Delago Nz,Calvert Hot Shot,Im A Classy Girl,Borsellino,Rocknholme
07-12-2022 19:14:02.357538,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:03.952280,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:05.433856,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:06.909052,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:08.385185,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:09.836609,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:11.259178,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:12.672469,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:13.919322,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:15.301127,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:16.691057,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:18.033291,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:19.348560,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:20.750296,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:22.090331,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:23.602959,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:25.039970,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:26.447939,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:27.789946,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:29.085880,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:30.414486,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:31.740015,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:33.113417,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:34.794174,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:36.298386,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:37.796947,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:39.342316,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:40.897727,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:42.419215,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:43.885427,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:45.288513,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:46.656609,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:47.945514,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:49.334582,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:50.766859,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:52.202180,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:53.550622,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:54.918465,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:56.278031,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:57.654510,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:14:59.060615,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:00.413989,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:01.918512,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:03.309971,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:04.726759,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:06.134638,"(4.6, 7.4, 6.7)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:07.558553,"(4.6, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:08.990498,"(4.6, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 4.825)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:10.463384,"(4.6, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 5.3125)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:11.891367,"(4.6, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 5.3125)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:13.288937,"(4.6, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 5.3125)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:14.848799,"(4.6, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.0, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(3.9, 5.8, 5.3125)","(5.5, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:16.344708,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:17.731099,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.416666666666666)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:19.090259,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.6, 5.25)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:20.631593,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.4, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:22.021465,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:23.519122,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:25.159203,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.1)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:26.855311,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.1)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:28.398475,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:29.880991,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:31.389836,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:32.936569,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:34.525534,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:36.051082,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:37.612229,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:39.062325,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:40.540825,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:42.041225,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:43.483683,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:44.846135,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:46.235943,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
07-12-2022 19:15:47.654207,"(4.4, 7.4, 6.2)","(16.0, 26.0, 22.0)","(61.0, 190.0, 100.0)","(3.1, 4.4, 4.19)","(9.0, 99999, 99990)","(26.0, 34.0, 31.833333333333332)","(4.0, 5.8, 5.3125)","(6.0, 8.6, 7.8)","(10.0, 14.5, 11.0)"
