,Charming Lass,Marben Val,Always A Show,Aussie Chevy,Subzero Ash,She Flys,Summer Lilly,Indian Wells
11-01-2023 13:10:35.310107,"(6.0, 13.5, 10.585714285714285)","(18.0, 36.0, 24.63157894736842)","(3.0, 3.7, 2.9715625)","(5.5, 6.6, 6.403921568627451)","(4.6, 7.6, 5.427777777777777)","(9.0, 20.0, 17.833333333333332)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:36.293136,"(6.0, 13.5, 11.05)","(18.0, 36.0, 22.875)","(3.0, 3.7, 2.9715625)","(5.5, 6.6, 5.689285714285714)","(4.6, 7.6, 5.822727272727272)","(9.0, 20.0, 19.07142857142857)","(20.0, 65.0, 50.81818181818181)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:37.287108,"(6.0, 13.5, 11.05)","(18.0, 36.0, 22.875)","(3.0, 3.7, 2.9715625)","(5.5, 6.6, 5.689285714285714)","(4.6, 7.6, 5.73)","(9.0, 20.0, 19.07142857142857)","(20.0, 65.0, 34.6)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:38.259274,"(6.0, 13.5, 11.05)","(18.0, 36.0, 22.875)","(3.0, 3.7, 2.9715625)","(5.5, 6.6, 5.641666666666667)","(4.6, 7.6, 5.73)","(9.0, 20.0, 19.07142857142857)","(20.0, 65.0, 34.6)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:39.223928,"(6.0, 13.5, 11.322222222222223)","(18.0, 36.0, 23.647058823529413)","(3.0, 3.7, 2.9715625)","(5.5, 6.0, 5.641666666666667)","(4.6, 7.6, 5.73)","(9.0, 20.0, 19.07142857142857)","(20.0, 65.0, 34.6)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:40.188703,"(6.0, 13.5, 12.824137931034482)","(18.0, 34.0, 29.571428571428573)","(2.9, 3.7, 2.9715625)","(5.5, 6.0, 5.634042553191489)","(4.6, 7.4, 6.0)","(9.0, 21.0, 19.695652173913043)","(20.0, 60.0, 51.75)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:41.185193,"(6.0, 13.5, 12.824137931034482)","(18.0, 34.0, 29.571428571428573)","(2.9, 3.7, 2.9715625)","(5.5, 6.0, 5.634042553191489)","(4.6, 7.4, 6.0)","(9.0, 21.0, 19.695652173913043)","(20.0, 60.0, 51.75)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:42.189098,"(6.0, 13.5, 9.74)","(18.0, 34.0, 28.0)","(2.9, 3.7, 2.9713846153846153)","(5.5, 6.0, 5.634042553191489)","(4.6, 7.4, 6.0)","(9.0, 17.0, 16.666666666666668)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:43.160920,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.615384615384613)","(2.9, 3.7, 2.9713846153846153)","(5.5, 6.2, 5.9)","(4.6, 7.4, 6.0)","(9.0, 17.0, 16.666666666666668)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:44.115992,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.615384615384613)","(2.9, 3.7, 3.1204819277108435)","(5.5, 6.2, 5.9)","(4.6, 7.4, 6.0)","(9.0, 17.0, 16.63157894736842)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:45.135239,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.7, 3.224705882352941)","(5.5, 6.2, 6.181818181818182)","(4.6, 7.4, 6.875)","(9.0, 17.0, 16.63157894736842)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:46.172161,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.5, 3.315)","(5.5, 7.2, 6.181818181818182)","(4.6, 7.4, 5.9)","(9.0, 17.0, 16.63157894736842)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:47.166050,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.442)","(5.5, 7.2, 6.052941176470588)","(4.6, 7.6, 6.3999999999999995)","(9.0, 17.0, 15.0)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:10:48.129750,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.442)","(5.5, 7.2, 6.052941176470588)","(4.6, 7.6, 6.3999999999999995)","(9.0, 17.0, 15.0)","(20.0, 60.0, 40.588235294117645)","(5.5, 6.8, 5.815789473684211)"
