,Sozins Princess,Goldstar Ange,Free For All,Sapporo Bale,Homebush Sparkle,Champagne,Mitcham Zorro,Mysterious Lady
12-01-2023 14:12:08.107697,"(10.0, 32.0, 23.133333333333333)","(3.6, 9.8, 8.329411764705881)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 15.25)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:12:09.633021,"(10.0, 32.0, 23.133333333333333)","(3.6, 9.8, 8.329411764705881)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 13.75)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:12:11.017081,"(10.0, 32.0, 23.133333333333333)","(3.6, 9.8, 8.844444444444445)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 13.75)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:12:12.585176,"(10.0, 32.0, 23.133333333333333)","(3.6, 9.8, 8.844444444444445)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 15.523076923076923)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:12:13.917532,"(10.0, 32.0, 23.133333333333333)","(3.6, 9.8, 8.844444444444445)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.849999999999998)"
12-01-2023 14:12:15.301598,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.844444444444445)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:16.664682,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.305882352941175)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:17.906507,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.783999999999999)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:19.184783,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.590476190476192)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:20.540140,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.31764705882353)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:21.858797,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.329411764705881)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:23.188219,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.329411764705881)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:24.490458,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.329411764705881)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:25.729441,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.329411764705881)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:27.036085,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.329411764705881)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:28.393737,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.329411764705881)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:29.638834,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.966666666666669)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:30.869278,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:32.118890,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:33.305587,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:34.499461,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:35.679328,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:36.928351,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:38.197202,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:39.434577,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:40.693757,"(10.0, 32.0, 22.4)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:42.039830,"(10.0, 32.0, 24.875)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 16.792307692307695)","(9.0, 17.0, 14.942857142857143)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:43.420898,"(10.0, 32.0, 24.875)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 11.233333333333333)","(9.0, 17.0, 9.95)","(4.0, 6.2, 4.82)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 14.376470588235293)"
12-01-2023 14:12:44.658732,"(10.0, 32.0, 24.875)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 11.233333333333333)","(9.0, 17.0, 9.95)","(4.0, 6.2, 4.627272727272727)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 10.6)"
12-01-2023 14:12:45.794382,"(10.0, 32.0, 24.875)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 11.233333333333333)","(9.0, 17.0, 9.95)","(4.0, 5.9, 4.627272727272727)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 10.6)"
12-01-2023 14:12:46.873225,"(10.0, 32.0, 24.875)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 11.233333333333333)","(9.0, 17.0, 9.95)","(4.0, 5.9, 4.627272727272727)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 10.6)"
12-01-2023 14:12:47.991044,"(10.0, 32.0, 24.875)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 11.233333333333333)","(9.0, 17.0, 9.95)","(4.0, 5.9, 4.627272727272727)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 11.5)"
12-01-2023 14:12:49.109498,"(10.0, 32.0, 24.875)","(3.6, 9.8, 8.973333333333334)","(6.5, 99999, 99990)","(8.0, 18.5, 11.233333333333333)","(9.0, 17.0, 9.95)","(4.0, 5.9, 4.627272727272727)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 11.5)"
12-01-2023 14:12:50.236007,"(10.0, 32.0, 24.875)","(3.6, 9.8, 8.275)","(6.5, 99999, 99990)","(8.0, 18.5, 11.233333333333333)","(9.0, 17.0, 9.95)","(4.0, 5.9, 4.627272727272727)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 11.5)"
12-01-2023 14:12:51.330224,"(10.0, 32.0, 24.875)","(3.6, 9.8, 8.275)","(6.5, 99999, 99990)","(8.0, 18.5, 11.233333333333333)","(9.0, 17.0, 9.95)","(4.0, 5.9, 4.627272727272727)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 11.5)"
12-01-2023 14:12:52.562067,"(10.0, 32.0, 24.875)","(3.6, 9.8, 8.275)","(6.5, 99999, 99990)","(8.0, 18.5, 11.233333333333333)","(9.0, 17.0, 9.95)","(4.0, 5.9, 4.627272727272727)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 11.5)"
12-01-2023 14:12:53.771178,"(10.0, 32.0, 24.875)","(3.6, 9.8, 8.275)","(6.5, 99999, 99990)","(8.0, 18.5, 11.233333333333333)","(9.0, 17.0, 9.95)","(4.0, 5.9, 4.627272727272727)","(6.5, 19.5, 16.6875)","(6.5, 16.0, 11.5)"
