,Disagreeable Miss,Street Culture,Wheels,Kyshaka,Red Sequoia,Dont Dismiss,Lord Wonder,Aussie Sojourn,Staying Strong
07-01-2023 14:30:49.991708,"(2.4, 2.7, 2.68)","(11.0, 11.5, 11.038461538461538)","(5.0, 6.6, 6.554166666666666)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.5)","(6.0, 8.0, 7.853191489361702)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:51.158668,"(2.4, 2.7, 2.68)","(11.0, 11.5, 11.038461538461538)","(5.0, 6.6, 6.554166666666666)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.5)","(6.0, 8.0, 7.853191489361702)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:52.376618,"(2.4, 2.7, 2.68)","(11.0, 11.5, 11.038461538461538)","(5.0, 6.6, 6.554166666666666)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.5)","(6.0, 8.0, 7.853191489361702)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:53.640300,"(2.4, 2.7, 2.68)","(11.0, 11.5, 11.038461538461538)","(5.0, 6.6, 6.554166666666666)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.5)","(6.0, 8.0, 7.853191489361702)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:54.861005,"(2.4, 2.7, 2.68)","(10.0, 11.5, 11.038461538461538)","(5.0, 6.6, 6.554166666666666)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.5)","(6.0, 8.0, 7.853191489361702)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:56.006700,"(2.4, 2.7, 2.68)","(10.0, 11.5, 11.038461538461538)","(5.0, 6.6, 6.554166666666666)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.5)","(6.0, 8.0, 7.853191489361702)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:57.226468,"(2.4, 2.7, 2.68)","(10.0, 11.5, 11.038461538461538)","(5.0, 6.6, 6.554166666666666)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.5)","(6.0, 8.0, 7.853191489361702)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:58.509715,"(2.4, 2.7, 2.68)","(10.0, 11.5, 11.038461538461538)","(5.0, 6.6, 6.554166666666666)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.466666666666667)","(6.0, 8.0, 7.853191489361702)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:30:59.739374,"(2.4, 2.7, 2.6869767441860466)","(10.0, 11.5, 11.038461538461538)","(5.0, 6.6, 6.554166666666666)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.466666666666667)","(6.0, 8.0, 7.853191489361702)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:00.960776,"(2.4, 2.7, 2.6869767441860466)","(10.0, 11.0, 10.833333333333334)","(5.0, 6.6, 6.554166666666666)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.466666666666667)","(6.0, 8.0, 7.853191489361702)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:02.126894,"(2.4, 2.7, 2.6869767441860466)","(10.0, 11.0, 10.833333333333334)","(5.0, 6.6, 6.564444444444444)","(11.0, 15.0, 13.75)","(17.0, 38.0, 34.7)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.466666666666667)","(6.0, 8.0, 7.853191489361702)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:03.332749,"(2.4, 2.7, 2.6869767441860466)","(10.0, 11.0, 10.833333333333334)","(5.0, 6.6, 6.564444444444444)","(11.0, 15.0, 13.75)","(17.0, 38.0, 33.0)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.466666666666667)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:04.542652,"(2.4, 2.7, 2.6869767441860466)","(10.0, 11.0, 10.85)","(5.0, 7.0, 6.674074074074074)","(11.0, 15.0, 13.75)","(17.0, 36.0, 30.75)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.466666666666667)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:05.789286,"(2.4, 2.7, 2.6869767441860466)","(10.0, 11.0, 10.85)","(5.0, 7.0, 6.6869565217391305)","(11.0, 15.0, 13.75)","(17.0, 36.0, 30.75)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.466666666666667)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:07.065944,"(2.4, 2.7, 2.6869767441860466)","(10.0, 11.0, 10.85)","(5.0, 7.0, 6.6869565217391305)","(11.0, 15.0, 13.75)","(17.0, 36.0, 30.75)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.466666666666667)","(6.0, 8.0, 7.848351648351648)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:08.311440,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.0, 10.85)","(5.0, 7.0, 6.6869565217391305)","(11.0, 15.0, 13.75)","(17.0, 36.0, 28.22222222222222)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.466666666666667)","(6.0, 8.0, 7.848351648351648)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:09.529858,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.911764705882353)","(5.0, 7.0, 6.6869565217391305)","(11.0, 15.0, 13.75)","(17.0, 36.0, 28.22222222222222)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.466666666666667)","(6.0, 8.0, 7.848351648351648)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:10.882137,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.868421052631579)","(5.0, 7.0, 6.6869565217391305)","(11.0, 15.0, 13.75)","(17.0, 36.0, 28.22222222222222)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.466666666666667)","(6.0, 8.0, 7.848351648351648)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:12.160909,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.868421052631579)","(5.0, 7.0, 6.6869565217391305)","(11.0, 15.0, 13.75)","(17.0, 36.0, 28.22222222222222)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.466666666666667)","(6.0, 8.0, 7.848351648351648)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:13.444489,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.868421052631579)","(5.0, 7.0, 6.699999999999999)","(11.0, 15.0, 13.75)","(17.0, 36.0, 28.22222222222222)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.848351648351648)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:14.708433,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.868421052631579)","(5.0, 7.0, 6.699999999999999)","(11.0, 15.0, 13.75)","(17.0, 36.0, 28.22222222222222)","(31.0, 65.0, 50.75)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:15.943073,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.868421052631579)","(5.0, 7.0, 6.788235294117647)","(11.0, 15.0, 13.75)","(17.0, 36.0, 28.285714285714285)","(31.0, 65.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:17.144308,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.868421052631579)","(5.0, 7.0, 6.788235294117647)","(11.0, 15.0, 13.75)","(17.0, 34.0, 28.285714285714285)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:18.320966,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.868421052631579)","(5.0, 7.0, 6.788235294117647)","(11.0, 15.0, 13.75)","(17.0, 34.0, 28.285714285714285)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:19.462869,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.868421052631579)","(5.0, 7.0, 6.788235294117647)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 27.6)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:20.642781,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.791666666666666)","(5.0, 7.0, 6.824390243902439)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 27.6)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:21.744766,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.791666666666666)","(5.0, 7.0, 6.824390243902439)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 27.6)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:22.838611,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.791666666666666)","(5.0, 7.0, 6.836363636363636)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 27.6)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:24.050597,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.791666666666666)","(5.0, 7.0, 6.836363636363636)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 27.6)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:25.339580,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.75925925925926)","(5.0, 7.0, 6.836363636363636)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 29.076923076923077)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:26.584143,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.75925925925926)","(5.0, 7.0, 6.836363636363636)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 30.0)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:27.862015,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.75925925925926)","(5.0, 7.0, 6.836363636363636)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 30.0)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:29.071928,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.75925925925926)","(5.0, 7.0, 6.836363636363636)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 30.0)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:30.277886,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.791666666666666)","(5.0, 7.0, 6.836363636363636)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 30.0)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:31.524458,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.791666666666666)","(5.0, 7.0, 6.836363636363636)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 30.0)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:32.799195,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.791666666666666)","(5.0, 7.0, 6.836363636363636)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 29.0)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:34.017085,"(2.4, 2.7, 2.6876190476190476)","(10.0, 11.5, 10.791666666666666)","(5.0, 7.0, 6.84)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 28.18181818181818)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:35.232439,"(2.4, 2.7, 2.6876190476190476)","(10.0, 12.0, 11.035714285714286)","(5.0, 7.0, 6.84)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 28.18181818181818)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:36.421375,"(2.4, 2.7, 2.6876190476190476)","(10.0, 12.0, 11.035714285714286)","(5.0, 7.0, 6.84)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 28.18181818181818)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:37.603464,"(2.4, 2.7, 2.6876190476190476)","(10.0, 12.0, 11.035714285714286)","(5.0, 7.0, 6.84)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 28.18181818181818)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:38.785111,"(2.4, 2.7, 2.6876190476190476)","(10.0, 12.0, 11.035714285714286)","(5.0, 7.0, 6.84)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 28.18181818181818)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:39.970291,"(2.4, 2.7, 2.6876190476190476)","(10.0, 12.0, 11.035714285714286)","(5.0, 7.0, 6.84)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 28.18181818181818)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:41.136282,"(2.4, 2.7, 2.6876190476190476)","(10.0, 12.0, 11.035714285714286)","(5.0, 7.0, 6.84)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 28.18181818181818)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:42.265172,"(2.4, 2.7, 2.6876190476190476)","(10.0, 12.0, 11.035714285714286)","(5.0, 7.0, 6.84)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 28.18181818181818)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:43.545121,"(2.4, 2.7, 2.6876190476190476)","(10.0, 12.0, 11.181818181818182)","(5.0, 7.0, 6.84)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 28.18181818181818)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:44.748874,"(2.4, 2.7, 2.6876190476190476)","(10.0, 12.0, 11.181818181818182)","(5.0, 7.0, 6.84)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 28.18181818181818)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:45.897086,"(2.4, 2.7, 2.6876190476190476)","(10.0, 12.0, 11.181818181818182)","(5.0, 7.0, 6.84)","(11.0, 15.0, 13.6875)","(17.0, 34.0, 28.18181818181818)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.8275)","(101.0, 180.0, 121.66666666666667)"
07-01-2023 14:31:47.042637,"(2.4, 2.7, 2.689)","(10.0, 12.0, 11.181818181818182)","(5.0, 6.8, 6.763636363636364)","(11.0, 15.0, 13.6875)","(17.0, 32.0, 29.0)","(31.0, 60.0, 48.333333333333336)","(6.0, 7.6, 7.476923076923077)","(6.0, 8.0, 7.820952380952381)","(101.0, 180.0, 121.66666666666667)"
