,Blitzem Benny,Artimos,No More Promises,Gracenava,Shady Jess,Tara Leeann,White Pointer,Glitter Strip,Notmuchuptop,Mach Charm
09-01-2023 13:42:26.781839,"(41.0, 80.0, 56.8)","(21.0, 46.0, 35.0)","(5.5, 14.5, 13.25)","(19.0, 25.0, 21.8125)","(3.7, 3.85, 3.7833333333333337)","(4.4, 5.2, 5.033333333333333)","(61.0, 130.0, 95.0)","(10.0, 13.0, 12.25)","(5.5, 8.6, 8.381818181818181)","(5.0, 8.2, 7.971428571428571)"
09-01-2023 13:42:28.307501,"(41.0, 80.0, 56.8)","(21.0, 46.0, 35.0)","(5.5, 14.5, 13.25)","(19.0, 25.0, 21.8125)","(3.7, 3.85, 3.7833333333333337)","(4.4, 5.2, 5.033333333333333)","(61.0, 130.0, 95.0)","(10.0, 13.0, 12.25)","(5.5, 8.6, 8.381818181818181)","(5.0, 8.2, 7.971428571428571)"
09-01-2023 13:42:29.924671,"(41.0, 80.0, 56.8)","(21.0, 46.0, 35.0)","(5.5, 14.5, 13.25)","(19.0, 25.0, 21.8125)","(3.7, 3.85, 3.7833333333333337)","(4.4, 5.2, 5.033333333333333)","(61.0, 130.0, 95.0)","(10.0, 13.0, 12.25)","(5.5, 8.6, 8.381818181818181)","(5.0, 8.2, 7.971428571428571)"
09-01-2023 13:42:31.450840,"(41.0, 80.0, 56.8)","(21.0, 46.0, 35.0)","(5.5, 14.5, 13.25)","(19.0, 25.0, 21.8125)","(3.7, 3.85, 3.7833333333333337)","(4.4, 5.2, 5.033333333333333)","(61.0, 130.0, 95.0)","(10.0, 13.0, 12.25)","(5.5, 8.6, 8.381818181818181)","(5.0, 8.2, 7.971428571428571)"
09-01-2023 13:42:33.034085,"(41.0, 80.0, 56.8)","(21.0, 46.0, 35.0)","(5.5, 14.5, 13.25)","(19.0, 25.0, 21.8125)","(3.7, 3.85, 3.8071428571428574)","(4.4, 5.2, 5.033333333333333)","(61.0, 130.0, 95.0)","(10.0, 13.0, 12.25)","(5.5, 8.6, 8.381818181818181)","(5.0, 8.2, 8.011764705882353)"
09-01-2023 13:42:34.548720,"(41.0, 80.0, 56.8)","(21.0, 46.0, 30.0)","(5.5, 14.5, 13.25)","(19.0, 25.0, 20.75)","(3.7, 3.85, 4.183333333333334)","(4.4, 5.2, 5.033333333333333)","(61.0, 130.0, 123.0)","(10.0, 13.0, 11.666666666666666)","(5.5, 8.6, 8.381818181818181)","(5.0, 8.2, 7.95)"
09-01-2023 13:42:36.057714,"(41.0, 80.0, 41.33333333333333)","(21.0, 44.0, 26.166666666666668)","(5.5, 14.5, 13.25)","(19.0, 25.0, 22.57142857142857)","(3.7, 4.4, 4.2700000000000005)","(4.4, 5.2, 5.033333333333333)","(61.0, 140.0, 123.0)","(10.0, 13.0, 11.666666666666666)","(5.5, 8.6, 8.42)","(5.0, 8.0, 7.95)"
09-01-2023 13:42:37.651171,"(41.0, 80.0, 41.33333333333333)","(21.0, 42.0, 28.666666666666668)","(5.5, 14.5, 13.25)","(19.0, 25.0, 22.57142857142857)","(3.7, 4.4, 4.2700000000000005)","(4.4, 5.2, 5.033333333333333)","(61.0, 140.0, 123.0)","(10.0, 13.0, 11.666666666666666)","(5.5, 8.6, 8.42)","(5.0, 8.0, 7.95)"
09-01-2023 13:42:39.265461,"(41.0, 80.0, 41.33333333333333)","(21.0, 40.0, 30.0)","(5.5, 14.5, 13.25)","(19.0, 25.0, 22.57142857142857)","(3.7, 4.4, 4.2700000000000005)","(4.4, 5.2, 5.033333333333333)","(61.0, 140.0, 123.0)","(10.0, 13.0, 11.666666666666666)","(5.5, 8.6, 8.42)","(5.0, 8.0, 7.95)"
09-01-2023 13:42:40.805969,"(41.0, 80.0, 41.33333333333333)","(21.0, 44.0, 29.333333333333332)","(5.5, 14.5, 13.25)","(19.0, 25.0, 19.666666666666668)","(3.7, 4.4, 4.2700000000000005)","(4.4, 5.2, 5.033333333333333)","(61.0, 140.0, 123.0)","(10.0, 13.0, 11.666666666666666)","(5.5, 8.6, 8.42)","(5.0, 8.0, 7.742857142857143)"
09-01-2023 13:42:42.401754,"(41.0, 80.0, 41.33333333333333)","(21.0, 42.0, 29.333333333333332)","(5.5, 14.5, 13.25)","(19.0, 25.0, 19.666666666666668)","(3.7, 4.4, 4.2700000000000005)","(4.4, 5.2, 5.033333333333333)","(61.0, 140.0, 123.0)","(10.0, 13.0, 11.666666666666666)","(5.5, 8.6, 8.42)","(5.0, 8.0, 7.618181818181818)"
09-01-2023 13:42:43.987493,"(41.0, 80.0, 41.33333333333333)","(21.0, 42.0, 26.166666666666668)","(5.5, 14.5, 13.25)","(19.0, 25.0, 19.666666666666668)","(3.7, 4.4, 4.11)","(4.4, 5.2, 5.0285714285714285)","(61.0, 140.0, 123.0)","(10.0, 13.0, 15.7)","(5.5, 8.6, 8.42)","(5.0, 8.0, 7.6923076923076925)"
09-01-2023 13:42:45.610871,"(41.0, 80.0, 41.33333333333333)","(21.0, 42.0, 24.7)","(5.5, 14.5, 13.25)","(19.0, 25.0, 18.333333333333332)","(3.7, 4.2, 4.029999999999999)","(4.4, 5.2, 5.033333333333333)","(61.0, 140.0, 123.0)","(10.0, 19.0, 16.833333333333332)","(5.5, 8.6, 8.42)","(5.0, 8.0, 7.428571428571429)"
09-01-2023 13:42:47.122643,"(41.0, 80.0, 41.33333333333333)","(21.0, 40.0, 25.5)","(5.5, 14.5, 13.25)","(19.0, 25.0, 18.333333333333332)","(3.7, 4.1, 4.029999999999999)","(4.4, 5.2, 5.033333333333333)","(61.0, 140.0, 123.0)","(10.0, 18.0, 15.5)","(5.5, 8.6, 8.42)","(5.0, 8.0, 7.428571428571429)"
