,Allinga Blues,Rhonda Wine,Festival Dancer,Gable,Centennial,Paramount Rose
16-12-2022 11:05:46.180350,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:47.205332,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:48.181798,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:49.216752,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:50.232629,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:51.283821,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:52.348770,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:53.419652,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:54.319070,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
16-12-2022 11:05:55.349095,"(5.5, 11.0, 5.7749999999999995)","(2.8, 3.75, 2.867857142857143)","(6.5, 15.5, 13.275)","(6.5, 12.0, 11.303999999999998)","(13.0, 27.0, 24.0)","(2.7, 4.6, 3.66)"
