,Fiftyshades Cresco,Outa Control,Cc Jones Nz,Trebek,Bezzaboma,Springfield Shadow,Rocking Wroxton,Lochster,Illawong Lord
20,"[datetime.datetime(2022, 11, 28, 16, 42, 39, 453343), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 39, 453343), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 39, 453343), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 39, 453343), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 39, 453343), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 39, 453343), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 39, 453343), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 39, 453343), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 39, 453343), 26.0, 60.0]"
21,"[datetime.datetime(2022, 11, 28, 16, 42, 40, 707564), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 40, 707564), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 40, 707564), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 40, 707564), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 40, 707564), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 40, 707564), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 40, 707564), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 40, 707564), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 40, 707564), 26.0, 60.0]"
22,"[datetime.datetime(2022, 11, 28, 16, 42, 41, 933784), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 41, 933784), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 41, 933784), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 41, 933784), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 41, 933784), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 41, 933784), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 41, 933784), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 41, 933784), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 41, 933784), 26.0, 60.0]"
23,"[datetime.datetime(2022, 11, 28, 16, 42, 43, 187790), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 43, 187790), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 43, 187790), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 43, 187790), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 43, 187790), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 43, 187790), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 43, 187790), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 43, 187790), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 43, 187790), 26.0, 60.0]"
24,"[datetime.datetime(2022, 11, 28, 16, 42, 44, 422474), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 44, 422474), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 44, 422474), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 44, 422474), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 44, 422474), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 44, 422474), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 44, 422474), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 44, 422474), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 44, 422474), 26.0, 60.0]"
25,"[datetime.datetime(2022, 11, 28, 16, 42, 45, 672243), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 45, 672243), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 45, 672243), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 45, 672243), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 45, 672243), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 45, 672243), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 45, 672243), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 45, 672243), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 45, 672243), 26.0, 60.0]"
26,"[datetime.datetime(2022, 11, 28, 16, 42, 46, 906387), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 46, 906387), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 46, 906387), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 46, 906387), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 46, 906387), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 46, 906387), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 46, 906387), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 46, 906387), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 46, 906387), 26.0, 60.0]"
27,"[datetime.datetime(2022, 11, 28, 16, 42, 48, 170389), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 48, 170389), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 48, 170389), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 48, 170389), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 48, 170389), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 48, 170389), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 48, 170389), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 48, 170389), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 48, 170389), 26.0, 60.0]"
28,"[datetime.datetime(2022, 11, 28, 16, 42, 49, 410901), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 49, 410901), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 49, 410901), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 49, 410901), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 49, 410901), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 49, 410901), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 49, 410901), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 49, 410901), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 49, 410901), 26.0, 60.0]"
29,"[datetime.datetime(2022, 11, 28, 16, 42, 50, 633549), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 50, 633549), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 50, 633549), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 50, 633549), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 50, 633549), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 50, 633549), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 50, 633549), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 50, 633549), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 50, 633549), 26.0, 60.0]"
30,"[datetime.datetime(2022, 11, 28, 16, 42, 51, 867466), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 51, 867466), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 51, 867466), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 51, 867466), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 51, 867466), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 51, 867466), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 51, 867466), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 51, 867466), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 51, 867466), 26.0, 60.0]"
31,"[datetime.datetime(2022, 11, 28, 16, 42, 53, 93349), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 53, 93349), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 53, 93349), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 53, 93349), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 53, 93349), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 53, 93349), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 53, 93349), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 53, 93349), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 53, 93349), 26.0, 60.0]"
32,"[datetime.datetime(2022, 11, 28, 16, 42, 54, 340501), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 54, 340501), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 54, 340501), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 54, 340501), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 54, 340501), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 54, 340501), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 54, 340501), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 54, 340501), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 54, 340501), 26.0, 60.0]"
33,"[datetime.datetime(2022, 11, 28, 16, 42, 55, 579469), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 55, 579469), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 55, 579469), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 55, 579469), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 55, 579469), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 55, 579469), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 55, 579469), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 55, 579469), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 55, 579469), 26.0, 60.0]"
34,"[datetime.datetime(2022, 11, 28, 16, 42, 56, 796380), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 42, 56, 796380), 51.0, 150.0]","[datetime.datetime(2022, 11, 28, 16, 42, 56, 796380), 1.8, 99999]","[datetime.datetime(2022, 11, 28, 16, 42, 56, 796380), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 16, 42, 56, 796380), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 42, 56, 796380), 8.0, 13.5]","[datetime.datetime(2022, 11, 28, 16, 42, 56, 796380), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 42, 56, 796380), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 42, 56, 796380), 26.0, 60.0]"
