,Atomic Rose,Chaos Magic,La Danta,Boston Belle,Fort Pike,Inpending Breeze,Pepper Point
15-12-2022 10:55:44.758411,"(2.45, 4.8, 4.3)","(2.8, 3.45, 2.9376666666666664)","(10.0, 34.0, 22.5)","(7.5, 9.8, 6.828571428571429)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:45.725945,"(2.45, 4.7, 3.275)","(2.8, 3.45, 2.9376666666666664)","(10.0, 34.0, 22.5)","(7.5, 9.8, 6.828571428571429)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:46.698814,"(2.45, 4.6, 4.1499999999999995)","(2.8, 3.45, 2.9376666666666664)","(10.0, 34.0, 22.5)","(7.5, 9.8, 6.885714285714286)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:47.654853,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.96)","(10.0, 34.0, 22.5)","(7.5, 9.8, 6.885714285714286)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:48.598228,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.800000000000001)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:49.539492,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.800000000000001)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:50.518730,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.800000000000001)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:51.478437,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.800000000000001)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:52.512055,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.800000000000001)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:53.533724,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.800000000000001)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:54.592566,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.800000000000001)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:55.653232,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.800000000000001)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:56.691040,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.800000000000001)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:57.753153,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.057142857142857)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:58.802311,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.057142857142857)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:55:59.895046,"(2.45, 4.7, 3.275)","(2.8, 3.35, 3.006)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.057142857142857)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:56:00.888149,"(2.45, 4.7, 3.275)","(2.8, 3.35, 3.006)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.057142857142857)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:56:01.918790,"(2.45, 4.7, 3.275)","(2.8, 3.35, 3.006)","(10.0, 34.0, 22.5)","(7.5, 9.8, 7.057142857142857)","(13.0, 30.0, 22.6)","(9.0, 34.0, 26.333333333333336)","(14.0, 310.0, 211.16666666666666)"
15-12-2022 10:56:02.873349,"(2.45, 4.7, 3.571428571428571)","(2.8, 3.35, 2.9376666666666664)","(10.0, 27.0, 21.666666666666664)","(7.5, 9.8, 7.9714285714285715)","(13.0, 30.0, 22.6)","(9.0, 34.0, 27.666666666666668)","(14.0, 330.0, 224.5)"
15-12-2022 10:56:03.927148,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.45, 2.9376666666666664)","(10.0, 27.0, 29.4)","(7.5, 9.8, 7.9714285714285715)","(13.0, 30.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:04.869869,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.45, 2.9376666666666664)","(10.0, 80.0, 27.235294117647058)","(7.5, 9.8, 7.92)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:05.819469,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.45, 2.9376666666666664)","(10.0, 80.0, 27.235294117647058)","(7.5, 9.8, 7.171428571428572)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:06.841792,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.45, 2.9376666666666664)","(10.0, 80.0, 670.3333333333334)","(7.5, 9.8, 7.171428571428572)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:07.846982,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.45, 2.9376666666666664)","(10.0, 1000.0, 670.3333333333334)","(7.5, 9.8, 7.171428571428572)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:08.920612,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.9)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:10.005811,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.9)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:10.975889,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.9)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:11.975692,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.9)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:12.951890,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.9)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:13.882990,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.446153846153846)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:14.790220,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.446153846153846)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:15.742290,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.446153846153846)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:16.696620,"(2.45, 4.6, 3.571428571428571)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.446153846153846)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:17.675624,"(2.45, 4.8, 4.3)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.446153846153846)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:18.628218,"(2.45, 4.8, 4.3)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.446153846153846)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:19.586341,"(2.45, 4.8, 4.3)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.446153846153846)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:20.529215,"(2.45, 4.8, 4.3)","(2.8, 3.4, 2.968)","(10.0, 180.0, 146.2)","(7.5, 9.8, 8.446153846153846)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:21.483373,"(2.45, 4.8, 3.55)","(2.8, 3.4, 2.968)","(10.0, 190.0, 154.2)","(7.5, 9.8, 8.446153846153846)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:22.509776,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 190.0, 154.2)","(7.5, 9.8, 8.446153846153846)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:23.516323,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(10.0, 190.0, 154.2)","(7.5, 9.8, 8.446153846153846)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(14.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:24.528937,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(11.0, 190.0, 154.2)","(7.5, 9.8, 6.28)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(15.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:25.728271,"(2.45, 4.7, 3.275)","(2.8, 3.4, 2.968)","(11.0, 190.0, 154.2)","(7.5, 7.4, 6.0)","(13.0, 28.0, 21.4)","(9.0, 34.0, 26.333333333333336)","(15.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:26.933255,"(2.45, 4.7, 3.275)","(2.6, 3.4, 2.968)","(16.0, 190.0, 154.2)","(6.5, 7.0, 5.933333333333334)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(21.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:28.171900,"(2.35, 4.7, 3.275)","(2.6, 3.4, 2.968)","(16.0, 190.0, 154.2)","(6.5, 6.8, 6.324999999999999)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(21.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:29.281580,"(2.35, 4.7, 3.275)","(2.6, 3.35, 3.006)","(16.0, 190.0, 154.2)","(6.5, 6.6, 6.066666666666666)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(21.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:30.411415,"(2.35, 4.7, 3.275)","(2.6, 3.35, 3.006)","(16.0, 190.0, 154.2)","(6.5, 7.2, 6.775)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(21.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:31.834730,"(2.25, 4.7, 3.275)","(2.5, 3.35, 3.006)","(18.0, 170.0, 138.2)","(7.0, 7.0, 5.6461538461538465)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(31.0, 350.0, 237.83333333333334)"
15-12-2022 10:56:33.061705,"(2.25, 4.7, 3.275)","(2.5, 3.35, 3.006)","(18.0, 170.0, 138.2)","(7.0, 7.4, 6.066666666666666)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(31.0, 350.0, 197.83333333333334)"
15-12-2022 10:56:34.286925,"(2.25, 4.7, 3.275)","(2.5, 3.35, 3.006)","(18.0, 170.0, 138.2)","(7.0, 7.2, 6.066666666666666)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:35.495799,"(2.25, 4.7, 3.275)","(2.5, 3.35, 3.235)","(18.0, 170.0, 138.2)","(7.0, 7.2, 6.066666666666666)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:36.705006,"(2.25, 4.7, 3.275)","(2.5, 3.55, 3.235)","(18.0, 170.0, 138.2)","(7.0, 7.2, 6.066666666666666)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:37.892077,"(2.25, 4.7, 3.275)","(2.5, 3.55, 3.235)","(18.0, 170.0, 138.2)","(7.0, 7.2, 6.327272727272727)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:38.989463,"(2.25, 4.7, 3.275)","(2.5, 3.55, 3.235)","(18.0, 170.0, 138.2)","(7.0, 7.2, 6.327272727272727)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:40.056441,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.6, 3.26)","(18.0, 170.0, 138.2)","(7.0, 7.2, 6.327272727272727)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:41.116636,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.6, 3.26)","(18.0, 170.0, 117.0)","(7.0, 7.2, 6.327272727272727)","(13.0, 28.0, 21.4)","(10.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:42.210932,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.6, 3.26)","(18.0, 180.0, 154.0)","(7.0, 7.2, 6.2)","(13.0, 29.0, 22.0)","(10.0, 34.0, 26.333333333333336)","(31.0, 300.0, 204.5)"
15-12-2022 10:56:43.417104,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.6, 3.26)","(19.0, 180.0, 154.0)","(7.0, 7.2, 6.2)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 300.0, 204.5)"
15-12-2022 10:56:44.603701,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.5, 3.21)","(19.0, 180.0, 154.0)","(7.0, 7.2, 6.2)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 300.0, 204.5)"
15-12-2022 10:56:45.730839,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.5, 3.21)","(19.0, 180.0, 154.0)","(7.0, 7.2, 6.2)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 300.0, 204.5)"
15-12-2022 10:56:46.778413,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.5, 3.21)","(19.0, 180.0, 154.0)","(7.0, 7.2, 6.2)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 300.0, 204.5)"
15-12-2022 10:56:47.818131,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.5, 3.0166666666666666)","(19.0, 180.0, 154.0)","(7.0, 7.2, 6.2)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 300.0, 204.5)"
15-12-2022 10:56:48.851897,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.5, 3.0166666666666666)","(19.0, 180.0, 154.0)","(7.0, 7.2, 6.2)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 300.0, 197.83333333333334)"
15-12-2022 10:56:49.989802,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.5, 2.973)","(19.0, 170.0, 145.53846153846152)","(7.0, 7.2, 6.4363636363636365)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:51.042354,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.45, 2.973)","(19.0, 170.0, 145.53846153846152)","(7.0, 7.2, 6.4363636363636365)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:52.250349,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.45, 2.973)","(19.0, 170.0, 145.53846153846152)","(7.0, 7.2, 6.84)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:53.505512,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.45, 2.973)","(19.0, 170.0, 145.53846153846152)","(7.0, 7.2, 6.84)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:54.725718,"(2.25, 4.6, 3.571428571428571)","(2.5, 3.45, 2.973)","(19.0, 170.0, 145.53846153846152)","(7.0, 7.2, 6.84)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:55.969001,"(2.25, 4.8, 4.3)","(2.5, 3.45, 2.973)","(19.0, 170.0, 145.53846153846152)","(7.0, 7.2, 6.84)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:57.018233,"(2.25, 4.8, 4.3)","(2.5, 3.45, 2.973)","(19.0, 170.0, 145.53846153846152)","(7.0, 7.2, 6.84)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:58.260849,"(2.25, 4.8, 4.3)","(2.5, 3.45, 2.973)","(19.0, 170.0, 145.53846153846152)","(7.0, 7.2, 6.84)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 290.0, 197.83333333333334)"
15-12-2022 10:56:59.468025,"(2.25, 4.7, 3.275)","(2.5, 3.45, 2.973)","(19.0, 170.0, 145.53846153846152)","(7.0, 7.2, 6.84)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 290.0, 35.583333333333336)"
15-12-2022 10:57:00.701515,"(2.25, 4.7, 3.275)","(2.5, 3.45, 2.973)","(19.0, 190.0, 118.60000000000001)","(7.0, 7.2, 6.84)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 40.0, 35.583333333333336)"
15-12-2022 10:57:02.003255,"(2.25, 4.7, 3.275)","(2.5, 3.45, 2.973)","(19.0, 190.0, 118.60000000000001)","(7.0, 7.2, 6.84)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 40.0, 293.9166666666667)"
15-12-2022 10:57:03.271026,"(2.25, 4.7, 3.275)","(2.5, 3.4, 3.016)","(19.0, 190.0, 118.60000000000001)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 350.0, 293.9166666666667)"
15-12-2022 10:57:04.463747,"(2.25, 4.7, 3.275)","(2.5, 3.4, 3.016)","(19.0, 190.0, 118.60000000000001)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 350.0, 293.9166666666667)"
15-12-2022 10:57:05.662990,"(2.25, 4.7, 3.275)","(2.5, 3.4, 3.016)","(19.0, 190.0, 118.60000000000001)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 350.0, 293.9166666666667)"
15-12-2022 10:57:06.845201,"(2.25, 4.7, 3.275)","(2.5, 3.4, 3.016)","(19.0, 190.0, 118.60000000000001)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 350.0, 293.9166666666667)"
15-12-2022 10:57:08.195831,"(2.25, 4.7, 3.275)","(2.5, 3.4, 3.016)","(19.0, 190.0, 118.60000000000001)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 350.0, 293.9166666666667)"
15-12-2022 10:57:09.432210,"(2.25, 4.7, 3.275)","(2.5, 3.4, 3.016)","(19.0, 190.0, 118.60000000000001)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 350.0, 293.9166666666667)"
15-12-2022 10:57:10.759511,"(2.25, 4.6, 3.6999999999999997)","(2.5, 3.5, 2.973)","(19.0, 190.0, 139.14285714285714)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 350.0, 35.583333333333336)"
15-12-2022 10:57:11.986591,"(2.25, 4.6, 3.6999999999999997)","(2.5, 3.45, 2.973)","(19.0, 190.0, 119.0)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 40.0, 33.916666666666664)"
15-12-2022 10:57:13.166510,"(2.25, 4.6, 3.6999999999999997)","(2.5, 3.45, 2.973)","(19.0, 190.0, 119.0)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 38.0, 33.916666666666664)"
15-12-2022 10:57:14.359022,"(2.25, 4.6, 3.6999999999999997)","(2.5, 3.45, 2.973)","(19.0, 190.0, 119.0)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 38.0, 293.9166666666667)"
15-12-2022 10:57:15.523222,"(2.25, 4.4, 4.0)","(2.5, 3.45, 2.973)","(19.0, 190.0, 101.5)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 350.0, 293.9166666666667)"
15-12-2022 10:57:16.645979,"(2.25, 4.5, 3.192307692307692)","(2.5, 3.45, 2.973)","(19.0, 190.0, 101.5)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 350.0, 293.9166666666667)"
15-12-2022 10:57:17.747143,"(2.25, 4.5, 3.192307692307692)","(2.5, 3.45, 2.973)","(19.0, 190.0, 101.5)","(7.0, 7.2, 6.6000000000000005)","(14.0, 29.0, 22.0)","(11.0, 34.0, 26.333333333333336)","(31.0, 350.0, 253.85714285714283)"
