,Bull Shark,Ruling,U Rock It,Wizard Of Odds,Awesummer,Attuck,Luckytobeinamerica
05-01-2023 13:24:32.969545,"(2.9, 4.8, 4.725)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:34.004871,"(2.9, 4.8, 4.725)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:34.991539,"(2.9, 4.8, 4.725)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:35.943333,"(2.9, 4.8, 4.725)","(2.45, 3.25, 3.1725)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:36.853601,"(2.9, 4.8, 4.725)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:37.807674,"(2.9, 4.8, 4.725)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:38.810908,"(2.9, 4.8, 4.725)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:39.769437,"(2.9, 4.8, 4.725)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:40.757378,"(2.9, 4.8, 4.725)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:41.747849,"(2.9, 4.8, 4.725)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:42.750582,"(2.9, 4.8, 4.666666666666667)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:43.756720,"(2.9, 4.8, 4.666666666666667)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:44.729783,"(2.9, 4.8, 4.666666666666667)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:45.668356,"(2.9, 4.8, 4.666666666666667)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:46.592789,"(2.9, 4.8, 4.666666666666667)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:47.654924,"(2.9, 4.8, 4.666666666666667)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:48.855466,"(2.9, 4.8, 4.709090909090909)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:49.937966,"(2.9, 4.8, 4.709090909090909)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:51.051462,"(2.9, 4.8, 4.709090909090909)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:52.085007,"(2.9, 4.8, 4.533333333333333)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:53.300318,"(2.9, 4.8, 4.533333333333333)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:54.423051,"(2.9, 4.8, 4.7)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:55.434031,"(2.9, 4.9, 4.8090909090909095)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:56.483480,"(2.9, 4.9, 4.8090909090909095)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:57.594293,"(2.9, 4.9, 4.8090909090909095)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:58.698659,"(2.9, 4.9, 4.8090909090909095)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:24:59.820425,"(2.9, 4.9, 4.793333333333334)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:25:00.949077,"(2.9, 4.9, 4.793333333333334)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 11.077777777777778)","(3.5, 5.5, 5.15)","(8.0, 16.0, 15.0)"
05-01-2023 13:25:01.979413,"(2.9, 4.9, 4.793333333333334)","(2.45, 3.25, 3.2023076923076923)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 13.958333333333334)"
05-01-2023 13:25:03.104965,"(2.9, 4.9, 4.793333333333334)","(2.45, 3.35, 3.110188679245283)","(21.0, 34.0, 21.333333333333332)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:04.123565,"(2.9, 4.9, 4.793333333333334)","(2.45, 3.3, 3.195483870967742)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:05.168242,"(2.9, 4.9, 4.793333333333334)","(2.45, 3.3, 3.195483870967742)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:06.312267,"(2.9, 4.9, 4.793333333333334)","(2.45, 3.3, 3.195483870967742)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:07.313055,"(2.9, 4.9, 4.776923076923077)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:08.349290,"(2.9, 4.9, 4.776923076923077)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:09.479766,"(2.9, 4.9, 4.776923076923077)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:10.499581,"(2.9, 4.9, 4.776923076923077)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:11.541229,"(2.9, 4.9, 4.776923076923077)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:12.605573,"(2.9, 4.9, 4.776923076923077)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:13.644871,"(2.9, 4.9, 4.776923076923077)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:14.708041,"(2.9, 4.9, 4.78)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:15.745686,"(2.9, 4.9, 4.78)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:16.777487,"(2.9, 4.9, 4.78)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:17.889486,"(2.9, 4.9, 4.78)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:18.959048,"(2.9, 4.8, 4.7384615384615385)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:20.033706,"(2.9, 4.8, 4.7384615384615385)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.22)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:21.119591,"(2.9, 4.8, 4.7384615384615385)","(2.45, 3.25, 3.105)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.35)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:22.250817,"(2.9, 4.5, 4.442857142857143)","(2.45, 3.25, 3.2085714285714286)","(21.0, 34.0, 21.666666666666668)","(21.0, 25.0, 20.0)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.35)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:23.282888,"(2.9, 4.5, 4.442857142857143)","(2.45, 3.25, 3.2085714285714286)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.3)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:24.394934,"(2.9, 4.5, 4.442857142857143)","(2.45, 3.25, 3.2085714285714286)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.3)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:25.509235,"(2.9, 4.5, 4.442857142857143)","(2.45, 3.25, 3.2085714285714286)","(21.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.35)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:26.462652,"(2.9, 4.5, 4.436842105263158)","(2.45, 3.25, 3.2085714285714286)","(21.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.35)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:27.546808,"(2.9, 4.5, 4.436842105263158)","(2.45, 3.25, 3.2085714285714286)","(21.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.392307692307693)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:28.676585,"(2.9, 4.5, 4.436842105263158)","(2.45, 3.25, 3.2085714285714286)","(21.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.392307692307693)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:29.634238,"(2.9, 4.5, 4.436842105263158)","(2.45, 3.25, 3.2085714285714286)","(21.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.392307692307693)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:30.751399,"(2.9, 4.5, 4.436842105263158)","(2.45, 3.25, 3.2085714285714286)","(21.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.392307692307693)","(8.0, 16.0, 14.115384615384615)"
05-01-2023 13:25:31.854280,"(2.9, 4.5, 4.436842105263158)","(2.45, 3.25, 3.2016666666666667)","(21.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.328571428571428)","(8.0, 16.0, 14.75)"
05-01-2023 13:25:32.889922,"(2.9, 4.5, 4.45)","(2.45, 3.25, 3.2158823529411764)","(21.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.5, 11.5, 10.233333333333333)","(3.5, 5.5, 5.414285714285715)","(8.0, 15.5, 14.75)"
05-01-2023 13:25:34.023641,"(3.1, 4.5, 4.45)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.5, 5.414285714285715)","(9.0, 15.5, 14.75)"
05-01-2023 13:25:35.138030,"(3.1, 4.5, 4.45)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.5, 5.414285714285715)","(9.0, 15.5, 14.75)"
05-01-2023 13:25:36.175830,"(3.1, 4.5, 4.45)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.5, 5.4)","(9.0, 15.5, 14.75)"
05-01-2023 13:25:37.236015,"(3.1, 4.5, 4.45)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.5, 5.407692307692308)","(9.0, 15.5, 14.375)"
05-01-2023 13:25:38.269914,"(3.1, 4.5, 4.45)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.5, 5.407692307692308)","(9.0, 15.0, 14.375)"
05-01-2023 13:25:39.282099,"(3.1, 4.5, 4.45)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.5, 5.407692307692308)","(9.0, 15.0, 14.375)"
05-01-2023 13:25:40.327964,"(3.1, 4.5, 4.45)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.5, 5.407692307692308)","(9.0, 15.0, 14.375)"
05-01-2023 13:25:41.433213,"(3.1, 4.5, 4.45)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.5, 5.407692307692308)","(9.0, 15.0, 14.285714285714286)"
05-01-2023 13:25:42.512654,"(3.1, 4.7, 4.628571428571429)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.5, 5.492307692307692)","(9.0, 15.0, 14.285714285714286)"
05-01-2023 13:25:43.745827,"(3.1, 4.7, 4.66875)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.6, 5.3)","(9.0, 15.0, 14.285714285714286)"
05-01-2023 13:25:44.846376,"(3.1, 4.6, 4.449999999999999)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.6, 5.266666666666667)","(9.0, 15.0, 13.928571428571429)"
05-01-2023 13:25:45.982999,"(3.1, 4.6, 4.449999999999999)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.266666666666667)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:25:47.172746,"(3.1, 4.7, 4.605405405405405)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.266666666666667)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:25:48.302463,"(3.1, 4.4, 4.366666666666667)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 24.5)","(21.0, 25.0, 19.666666666666668)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.266666666666667)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:25:49.429504,"(3.1, 4.4, 4.355555555555556)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 24.5)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.553846153846154)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:25:50.626917,"(3.1, 4.4, 4.355555555555556)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.553846153846154)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:25:51.756964,"(3.1, 4.4, 4.355555555555556)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.631578947368421)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:25:52.908601,"(3.1, 4.4, 4.355555555555556)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.333333333333333)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:25:54.213318,"(3.1, 4.4, 4.355555555555556)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.545454545454545)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:25:55.460529,"(3.1, 4.4, 4.355555555555556)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.545454545454545)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:25:56.619683,"(3.1, 4.4, 4.355555555555556)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.545454545454545)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:25:57.887389,"(3.1, 4.4, 4.355555555555556)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.545454545454545)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:25:59.117638,"(3.1, 4.4, 4.355555555555556)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.545454545454545)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:26:00.327151,"(3.1, 4.4, 4.355555555555556)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.233333333333333)","(3.6, 5.8, 5.545454545454545)","(9.0, 14.5, 13.928571428571429)"
05-01-2023 13:26:01.606731,"(3.1, 4.4, 4.355555555555556)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 26.4)","(21.0, 25.0, 21.8)","(7.0, 11.5, 10.9)","(3.6, 5.8, 5.545454545454545)","(9.0, 14.5, 13.833333333333334)"
05-01-2023 13:26:02.860659,"(3.1, 4.4, 4.355555555555556)","(2.3, 3.25, 3.2158823529411764)","(20.0, 34.0, 27.666666666666664)","(21.0, 25.0, 21.8)","(7.0, 11.5, 11.033333333333333)","(3.6, 5.8, 5.613333333333333)","(9.0, 14.5, 13.928571428571429)"
