,Bourne Supremacy,Home Brew,Vendetta Reef,Bucket Of Oil,Dragon Inn,Pick Star
11-01-2023 10:07:10.822649,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:11.738442,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:12.638034,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:13.554250,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:14.597107,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:15.592430,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:16.610022,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:17.578901,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:18.511855,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:19.374369,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:20.231083,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:21.230622,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:22.152036,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:23.092895,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:24.057926,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:24.938561,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:25.802918,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:26.669772,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:27.568917,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:28.505043,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:29.436310,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:30.340216,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:31.247058,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:32.106415,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:33.018504,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:33.997613,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:34.919369,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.72, 2.5978571428571433)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:35.901525,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:36.870849,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:37.781271,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:38.649399,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:39.541244,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:40.447754,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:41.401591,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:42.363582,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:43.321760,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:44.241110,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:45.199057,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:46.109434,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:47.068339,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.6107692307692307)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:47.940207,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:48.864808,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:49.764750,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:50.676367,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:51.595253,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:52.520971,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:53.388582,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:54.282003,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:55.168291,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:56.037437,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:56.960489,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:57.810419,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:58.682980,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:07:59.618989,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:00.467927,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:01.354312,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:02.291063,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:03.160278,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:04.101833,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:05.073772,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:05.961153,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:06.839114,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:07.736097,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:08.637938,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:09.611071,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:10.519664,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:11.567658,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:12.537052,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:13.459919,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:14.371543,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:15.280355,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:16.202800,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:17.151916,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:18.066029,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:19.043392,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:19.996592,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:21.021952,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:21.999209,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:22.986809,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:23.969412,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:24.956869,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:25.878048,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:26.761571,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:27.687839,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:28.647592,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:29.594750,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:30.597516,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:31.600805,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:32.637573,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.729090909090909)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:33.646564,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:34.601981,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:35.552353,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:36.431131,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:37.312298,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
11-01-2023 10:08:38.215511,"(21.0, 65.0, 43.40909090909091)","(1.95, 2.86, 2.5316216216216216)","(19.0, 44.0, 30.75)","(26.0, 110.0, 65.5)","(2.7, 5.0, 3.8580392156862744)","(4.0, 6.8, 5.593181818181818)"
