,Prosecute,Pinch A Banana,Amber Jack,Clover Energy,Tranquil Lexie,Skylahs Misfit,Dusty Boots,Clover Returns
15-12-2022 13:16:29.092400,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:30.155527,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:31.186027,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:32.192711,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:33.217624,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:34.246316,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:35.290702,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:36.324031,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:37.381534,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:38.429735,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:39.556825,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:40.721244,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:41.834267,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:43.000220,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:44.123008,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:45.235547,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:46.326322,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:47.510014,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:48.670880,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:49.892466,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:51.085108,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:52.258722,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:53.413583,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:54.537832,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:55.633290,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:56.731230,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:57.878575,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:16:59.044431,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:00.173235,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:01.391064,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:02.525906,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:03.567203,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:04.633322,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:05.778465,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:06.956858,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:08.163965,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:09.415420,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:10.662748,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:11.927281,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:13.151216,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:14.317697,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:15.496892,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:16.601808,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:17.665185,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:18.828192,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:19.971457,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:21.118478,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:22.301991,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:23.502200,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:24.650899,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:25.823914,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:26.946305,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:28.045765,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:29.089462,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:30.213053,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:31.350706,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:32.554890,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:33.799082,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:35.115801,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:36.366707,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:37.578734,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:38.822182,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:40.016133,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
15-12-2022 13:17:41.188937,"(3.3, 5.8, 3.896153846153846)","(2.5, 3.2, 2.820740740740741)","(4.2, 6.4, 5.5)","(10.0, 19.5, 18.764285714285712)","(31.0, 220.0, 128.0)","(7.5, 17.5, 13.428571428571429)","(17.0, 55.0, 37.95454545454545)","(26.0, 100.0, 63.5)"
