,Gabbys Ideal,Motu Amethyst Nz,Judge Jujon,Voodoo Fella,Sharp Shooter,Rock Supreme,Jet Force,Miss Mia,Miss Fernandez
15-12-2022 15:35:20.141467,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.157142857142858)","(31.0, 70.0, 42.666666666666664)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6499999999999995)"
15-12-2022 15:35:21.363271,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 56.66666666666667)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6499999999999995)"
15-12-2022 15:35:22.717055,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 56.66666666666667)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6499999999999995)"
15-12-2022 15:35:24.037047,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 56.66666666666667)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6499999999999995)"
15-12-2022 15:35:25.271321,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 56.66666666666667)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6499999999999995)"
15-12-2022 15:35:26.540325,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 56.66666666666667)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6499999999999995)"
15-12-2022 15:35:27.788631,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 56.66666666666667)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6499999999999995)"
15-12-2022 15:35:29.049063,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 56.66666666666667)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6499999999999995)"
15-12-2022 15:35:30.282704,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.325)","(31.0, 70.0, 58.285714285714285)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.92)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:31.470272,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.325)","(31.0, 70.0, 58.285714285714285)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.92)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:32.696805,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.325)","(31.0, 70.0, 58.285714285714285)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.92)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:33.830967,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.325)","(31.0, 70.0, 58.285714285714285)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.92)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:35.010538,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.325)","(31.0, 70.0, 58.285714285714285)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.92)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:36.157535,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.325)","(31.0, 70.0, 58.285714285714285)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.92)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:37.299144,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.325)","(31.0, 70.0, 58.285714285714285)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.92)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:38.593913,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.325)","(31.0, 70.0, 58.285714285714285)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.92)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:39.993004,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.325)","(31.0, 70.0, 58.285714285714285)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.92)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:41.311923,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 58.285714285714285)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:42.810122,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 58.285714285714285)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:35:44.151846,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 58.285714285714285)","(19.0, 32.0, 28.25)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:35:45.450539,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:35:46.807438,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:35:48.144693,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.6875)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:35:49.428791,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.3)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:35:50.799081,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.1)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.3)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:35:52.138194,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.3)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.883333333333333)"
15-12-2022 15:35:53.752430,"(3.9, 5.5, 5.1899999999999995)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 6.375)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.883333333333333)"
15-12-2022 15:35:55.140320,"(3.9, 5.5, 5.1899999999999995)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.883333333333333)"
15-12-2022 15:35:56.434023,"(3.9, 5.5, 5.1899999999999995)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:57.560046,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:58.770183,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:35:59.951301,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:01.084794,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:02.292530,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:03.553595,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:04.733634,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.666666666666668)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:05.874428,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.666666666666668)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:07.082751,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.666666666666668)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:08.255163,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.666666666666668)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:36:09.411977,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.666666666666668)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:36:10.560689,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.666666666666668)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:36:11.681961,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 15.666666666666668)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:12.760667,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.666666666666668)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:13.882384,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 15.666666666666668)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:15.070891,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:16.220490,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:17.299401,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:18.440698,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:19.532192,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 16.214285714285715)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:20.631199,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 13.5)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:21.713884,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 13.5)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:22.881159,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 13.5)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:24.015037,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 13.5)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:25.089631,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 13.166666666666666)","(8.5, 12.5, 11.325)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:26.162801,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:27.312344,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:28.412573,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:29.520331,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:30.659146,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:36:31.750653,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:36:32.860231,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:36:33.993758,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:36:35.101400,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.8)"
15-12-2022 15:36:36.231343,"(3.9, 5.5, 5.035)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.375)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.29)"
15-12-2022 15:36:37.342574,"(3.9, 5.5, 4.3375)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:38.440385,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:39.523550,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:40.591498,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
15-12-2022 15:36:41.690712,"(3.9, 5.5, 4.983333333333333)","(7.5, 99999, 99990)","(11.0, 18.5, 14.5)","(8.5, 12.5, 11.214285714285715)","(31.0, 70.0, 49.5)","(19.0, 32.0, 24.5)","(5.5, 9.0, 7.25)","(6.5, 8.8, 6.933333333333334)","(3.5, 5.1, 4.6125)"
