,Mine To Hold,Royal Crusader,Respect For All,Charitable Visit,Auts Revolution,Uncle Jerome,Raise A Speights,The Iron Bank
12-01-2023 11:30:52.785923,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:53.908250,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:54.985683,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:56.229957,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:57.392393,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:58.514985,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:30:59.666396,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:00.801069,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:01.968623,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:03.183332,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:04.387664,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:05.562414,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:06.717197,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:07.842392,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:09.008037,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:10.146351,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:11.280750,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:12.439761,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:13.465494,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:14.536186,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:15.812402,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:17.035475,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:18.186539,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:19.236614,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:20.409326,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:21.712022,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:22.923006,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:24.096004,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:25.282828,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:26.526113,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:27.615615,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:28.711910,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:29.840110,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:30.973586,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:32.114554,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:33.202606,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:34.351814,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:35.566336,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:36.863910,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:38.036480,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:39.184754,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:40.285392,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:41.417726,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:42.530843,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:43.637790,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:44.718996,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:45.817193,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:47.025398,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:48.143710,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:49.318883,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:50.394571,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:51.532586,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:52.614068,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:53.791870,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:54.814349,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:55.819409,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:56.921031,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:58.088644,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:31:59.241404,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:32:00.592717,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:32:01.909850,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:32:03.143355,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:32:04.528098,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:32:05.893287,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:32:07.163943,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:32:08.338168,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:32:09.393913,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:32:10.504541,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:32:11.562552,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:32:12.743698,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
12-01-2023 11:32:13.863850,"(8.5, 230.0, 174.85)","(2.6, 3.35, 3.105)","(31.0, 230.0, 175.0)","(8.5, 230.0, 174.9)","(4.6, 230.0, 173.8)","(41.0, 230.0, 175.0)","(2.7, 3.2, 3.04)","(71.0, 230.0, 192.4)"
