,Orlandos Gift,Kyvalley Surfergirl,Irene Rose,Our Spitfire Nz,Great Fantasy Nz,Winsome Ruby,Meet Michaelangelo,Lovelorn,My Bad Habits,Farbio,Scenic Sky,Super Angus
07-01-2023 18:44:36.959330,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:38.492465,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:39.959084,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:41.443928,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:42.828706,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:44.198483,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:45.586253,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:47.028447,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:48.500170,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:49.919836,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:51.300159,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:52.734142,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:54.126865,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:55.513762,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:56.850017,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:58.230544,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:59.616188,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:01.028658,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:02.487598,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:03.953093,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:05.430132,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:06.974927,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:08.327252,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:09.684883,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:11.048066,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:12.430858,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:13.894675,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:15.382946,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:16.936712,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:18.501725,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.88)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:20.046960,"(11.0, 18.5, 17.0)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.88)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:21.591011,"(11.0, 18.5, 17.0)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.88)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:23.104171,"(11.0, 18.5, 17.0)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.88)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:24.479348,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:25.921198,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:27.369325,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:28.751630,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:30.230955,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:31.794486,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:33.312898,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:34.669211,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:36.065069,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:37.571939,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:38.936669,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:40.370088,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:41.770083,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:43.230349,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:44.687791,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:45.976833,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:47.269728,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:48.516725,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:49.922679,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:51.253114,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
07-01-2023 18:45:52.731983,"(11.0, 18.5, 17.214285714285715)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 6.2)","(5.5, 10.0, 8.8)","(101.0, 170.0, 150.0)","(31.0, 65.0, 51.5)","(5.0, 6.8, 6.05)"
