,Senorita Brooke,Purrfect Moon,Cinnamon Face,Miz Cali,How Bout Me,Aspen Wonder,Cranky Sheila,Trickskis Gold,Biogenic Babe
15-12-2022 14:09:42.754947,"(10.0, 16.0, 14.0)","(5.0, 8.8, 8.414285714285715)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.642857142857142)","(3.9, 8.0, 6.444444444444445)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:43.867361,"(10.0, 16.0, 14.0)","(5.0, 8.8, 8.114285714285714)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.357142857142858)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:44.980658,"(10.0, 16.0, 14.0)","(5.0, 8.8, 8.114285714285714)","(6.0, 8.0, 6.390000000000001)","(11.0, 17.5, 17.3)","(3.9, 8.0, 6.444444444444445)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:46.194599,"(10.0, 16.0, 14.0)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.5, 15.928571428571429)","(3.9, 8.0, 6.444444444444445)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:47.430181,"(10.0, 16.0, 14.0)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.5, 15.928571428571429)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 30.545454545454547)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:48.583427,"(10.0, 16.0, 14.866666666666667)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.5, 15.928571428571429)","(3.9, 8.0, 6.7727272727272725)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 30.545454545454547)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:49.722029,"(10.0, 16.0, 14.68)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.5, 15.928571428571429)","(3.9, 8.0, 6.375)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 30.545454545454547)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:50.889768,"(10.0, 16.0, 13.52)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 17.5, 15.357142857142858)","(3.9, 8.0, 6.375)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 30.545454545454547)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:52.006770,"(10.0, 16.0, 14.0)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 17.5, 15.928571428571429)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 30.545454545454547)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:53.143322,"(10.0, 16.0, 14.0)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.5, 15.928571428571429)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 30.545454545454547)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:54.397354,"(10.0, 16.0, 14.0)","(5.0, 8.8, 8.414285714285715)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.5, 14.944444444444445)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 30.545454545454547)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:55.642191,"(10.0, 16.0, 14.0)","(5.0, 8.8, 8.414285714285715)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.357142857142858)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 30.545454545454547)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:56.777782,"(10.0, 16.0, 13.44)","(5.0, 8.8, 8.114285714285714)","(6.0, 8.0, 6.390000000000001)","(11.0, 17.5, 15.357142857142858)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 30.545454545454547)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:58.029405,"(10.0, 16.0, 15.015384615384615)","(5.0, 8.8, 8.114285714285714)","(6.0, 8.0, 6.390000000000001)","(11.0, 17.5, 15.928571428571429)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 900.0, 637.5)","(15.0, 34.0, 21.666666666666668)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:59.206349,"(10.0, 16.0, 15.015384615384615)","(5.0, 8.8, 8.114285714285714)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.5, 15.928571428571429)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 900.0, 637.5)","(15.0, 34.0, 21.666666666666668)","(2.7, 2.76, 2.61)"
15-12-2022 14:10:00.392552,"(10.0, 16.0, 12.9)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.5, 15.928571428571429)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 900.0, 525.4285714285714)","(15.0, 34.0, 21.666666666666668)","(2.7, 2.76, 2.61)"
15-12-2022 14:10:01.665847,"(10.0, 16.0, 15.076923076923077)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.5, 16.0)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 900.0, 525.4285714285714)","(15.0, 34.0, 21.666666666666668)","(2.7, 2.76, 2.61)"
15-12-2022 14:10:02.830698,"(10.0, 16.0, 13.8)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.1875)","(4.2, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 21.666666666666668)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:03.962978,"(10.0, 16.0, 13.8)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.1875)","(4.2, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 21.666666666666668)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:05.098559,"(10.0, 16.0, 13.8)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.1875)","(4.2, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 21.666666666666668)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:06.187197,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.333333333333334)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.1875)","(4.2, 8.0, 5.640000000000001)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 21.666666666666668)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:07.410340,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.333333333333334)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.1875)","(4.2, 7.4, 5.640000000000001)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 21.666666666666668)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:08.720599,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.333333333333334)","(6.0, 8.0, 6.75)","(11.0, 18.0, 15.1875)","(4.2, 7.4, 6.300000000000001)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 21.666666666666668)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:10.036493,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.333333333333334)","(6.0, 7.8, 6.390000000000001)","(11.0, 18.0, 15.1875)","(4.2, 7.4, 6.300000000000001)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 21.666666666666668)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:11.353279,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.333333333333334)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.1875)","(4.2, 7.4, 6.300000000000001)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 21.666666666666668)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:12.619679,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.333333333333334)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.1875)","(4.2, 7.4, 6.753846153846154)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 19.2)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:13.868983,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.333333333333334)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.1875)","(4.2, 7.4, 6.257142857142857)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 19.2)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:15.094294,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.333333333333334)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.1875)","(4.2, 7.4, 6.257142857142857)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 19.2)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:16.283182,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.333333333333334)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.1875)","(4.2, 7.4, 6.257142857142857)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 19.2)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:17.423231,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.333333333333334)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.1875)","(4.2, 7.4, 6.300000000000001)","(31.0, 340.0, 293.3333333333333)","(31.0, 890.0, 458.5)","(16.0, 34.0, 19.2)","(2.6, 2.76, 2.61)"
15-12-2022 14:10:18.704521,"(11.0, 16.0, 13.8)","(5.5, 8.8, 8.333333333333334)","(5.5, 8.0, 6.390000000000001)","(12.0, 18.0, 15.1875)","(4.6, 7.4, 5.640000000000001)","(41.0, 340.0, 293.3333333333333)","(26.0, 890.0, 458.5)","(17.0, 34.0, 19.2)","(2.6, 2.76, 2.632727272727273)"
