,Coastal Run,Tothemoonandback,Raging Lady,Sweet Honor,Hollywood Mistress,Mischievous Effort,Janero Rose,Seven Sisters,Palace Star,Speedy Gigi,Dazzling Mist,Lovely Linda
12-01-2023 08:02:14.937445,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:16.023116,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:17.133978,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:18.243084,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:19.327435,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:20.431818,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:21.516449,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:22.634350,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:23.697785,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:24.863238,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:25.930834,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:27.078540,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:28.178439,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:29.256150,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:30.315745,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:31.412879,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:32.493380,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:33.553548,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:34.608189,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:35.693509,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:36.827938,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:37.954688,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:39.068284,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:40.223982,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:41.353752,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:42.470779,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:43.568533,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:44.709294,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:45.882577,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:47.039369,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:48.209829,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:49.436641,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:50.687594,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:51.896888,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:53.161864,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:54.395770,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:55.611059,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:56.860464,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:58.153173,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:59.382687,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:00.618221,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:01.781899,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:02.957742,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:04.172711,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:05.339571,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:06.492011,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:07.682271,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:08.793697,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:09.991665,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:11.101901,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:12.288246,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:13.399935,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:14.590471,"(10.0, 99999, 99990)","(26.0, 99999, 99990)","(21.0, 99999, 99990)","(11.0, 99999, 99990)","(6.5, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:15.699307,"(10.0, 99999, 99990)","(26.0, 99999, 99990)","(21.0, 99999, 99990)","(11.0, 99999, 99990)","(6.5, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:16.799892,"(10.0, 99999, 99990)","(26.0, 99999, 99990)","(21.0, 99999, 99990)","(11.0, 99999, 99990)","(6.5, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:17.883103,"(10.0, 99999, 99990)","(26.0, 99999, 99990)","(21.0, 99999, 99990)","(11.0, 99999, 99990)","(6.5, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:19.004178,"(10.0, 99999, 99990)","(26.0, 99999, 99990)","(21.0, 99999, 99990)","(11.0, 99999, 99990)","(6.5, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:20.139767,"(10.0, 99999, 99990)","(26.0, 99999, 99990)","(21.0, 99999, 99990)","(11.0, 99999, 99990)","(6.5, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:21.216098,"(10.0, 99999, 99990)","(26.0, 99999, 99990)","(21.0, 99999, 99990)","(11.0, 99999, 99990)","(6.5, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:22.294993,"(10.0, 99999, 99990)","(26.0, 99999, 99990)","(21.0, 99999, 99990)","(11.0, 99999, 99990)","(6.5, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:23.317160,"(10.0, 99999, 99990)","(26.0, 99999, 99990)","(21.0, 99999, 99990)","(11.0, 99999, 99990)","(6.5, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:24.418983,"(10.0, 99999, 99990)","(26.0, 99999, 99990)","(21.0, 99999, 99990)","(11.0, 99999, 99990)","(6.5, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:25.477133,"(10.0, 99999, 99990)","(26.0, 99999, 99990)","(21.0, 99999, 99990)","(11.0, 99999, 99990)","(6.5, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:03:26.553988,"(10.0, 99999, 99990)","(26.0, 99999, 99990)","(21.0, 99999, 99990)","(11.0, 99999, 99990)","(6.5, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
