,Buckle Up Eli,Black Danger,Nitro Harvey,Ticket To Tokyo,Buckle Up Adalyn,Hot Danger,Boys All Class
10-01-2023 13:23:57.868796,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:23:59.082550,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:00.277939,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:01.384662,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:02.741756,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:04.032640,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:05.370567,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:06.507055,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:07.676556,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:08.785145,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.279285714285714)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:09.944704,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3825)","(2.4, 2.3, 2.279285714285714)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:11.141147,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.44)","(2.4, 2.3, 2.368)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:12.353369,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.44)","(2.4, 2.44, 2.368)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:13.565648,"(2.7, 6.4, 4.428571428571428)","(2.3, 3.65, 3.44)","(2.4, 2.44, 2.368)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:14.677255,"(2.7, 6.4, 4.514285714285714)","(2.3, 3.65, 3.44)","(2.4, 2.44, 2.368)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:15.850902,"(2.7, 6.4, 4.514285714285714)","(2.3, 3.65, 3.44)","(2.4, 2.44, 2.363404255319149)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:16.972328,"(2.7, 6.4, 4.514285714285714)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.363404255319149)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:18.118178,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.363404255319149)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:19.386345,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.363404255319149)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:20.627552,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.39)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:21.855036,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.39)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:24:22.987520,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.39)","(71.0, 470.0, 86.92307692307692)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:24.184201,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:25.349920,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 327.77777777777777)"
10-01-2023 13:24:26.584664,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 550.0, 316.6666666666667)"
10-01-2023 13:24:27.839023,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:29.105155,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:30.191983,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 130.0, 78.0)","(31.0, 110.0, 57.5)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:31.395338,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 57.5)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:32.600108,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 57.5)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:33.825525,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 57.5)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:34.991726,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 57.5)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:36.235707,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:37.379831,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:38.491122,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:39.634806,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:40.798118,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:41.971233,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.39)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:43.098439,"(2.7, 6.4, 4.461538461538462)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.39)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:44.298362,"(2.7, 6.4, 4.65)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 316.6666666666667)"
10-01-2023 13:24:45.518120,"(2.7, 6.2, 4.5375)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:24:46.805236,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:24:47.883968,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:24:49.112524,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:24:50.407933,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:24:51.721119,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:24:53.099470,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:24:54.329193,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:24:55.433721,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:24:56.512763,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:24:57.630303,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 78.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:24:58.800014,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 42.8)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:24:59.996294,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 53.75)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:01.191246,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 100.0, 83.0)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:02.288086,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 140.0, 57.5)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:03.420121,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 57.5)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:04.529912,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 57.5)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:05.634187,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 57.5)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:06.800633,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 65.0)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:07.882642,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 54.61538461538461)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:08.893238,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 44.4)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:09.928077,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 44.4)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:11.011017,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:12.174034,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:13.327178,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:14.418653,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 318.8888888888889)"
10-01-2023 13:25:15.369410,"(2.7, 6.0, 5.15)","(2.3, 3.65, 3.135)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 86.92307692307692)","(41.0, 120.0, 60.0)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:16.421238,"(2.7, 6.0, 4.488888888888889)","(2.3, 3.7, 2.640377358490566)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 120.0, 60.0)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:17.545163,"(2.7, 6.0, 4.6923076923076925)","(2.3, 3.7, 2.640377358490566)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 120.0, 60.0)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:18.583320,"(2.7, 5.9, 5.5)","(2.3, 3.7, 2.640377358490566)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 120.0, 60.0)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:19.657225,"(2.7, 5.9, 5.5)","(2.3, 3.6, 3.1100000000000003)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 120.0, 60.0)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:20.782182,"(2.7, 5.9, 5.5)","(2.3, 3.6, 3.1100000000000003)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 120.0, 60.0)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:21.717122,"(2.7, 5.9, 5.5)","(2.3, 3.6, 3.1100000000000003)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 120.0, 60.0)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:22.911557,"(2.7, 5.9, 5.5)","(2.3, 3.6, 3.1100000000000003)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 120.0, 60.0)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:24.237200,"(2.7, 5.9, 5.5)","(2.3, 3.6, 3.1100000000000003)","(2.4, 2.44, 2.39)","(71.0, 470.0, 170.0)","(41.0, 120.0, 68.57142857142857)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:25.474523,"(2.7, 5.9, 5.5)","(2.3, 3.6, 3.1100000000000003)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 150.0, 56.72727272727273)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:26.604103,"(2.7, 5.9, 5.5)","(2.3, 3.6, 3.1100000000000003)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 150.0, 56.72727272727273)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:27.730360,"(2.7, 5.9, 5.5)","(2.3, 3.6, 3.1100000000000003)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 150.0, 56.72727272727273)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:28.768143,"(2.7, 5.9, 5.5)","(2.3, 3.6, 3.1100000000000003)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 150.0, 56.72727272727273)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:29.846902,"(2.7, 5.9, 5.5)","(2.3, 3.6, 3.1100000000000003)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 150.0, 56.72727272727273)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 359.09090909090907)"
10-01-2023 13:25:30.934848,"(2.7, 5.9, 5.5)","(2.3, 3.6, 3.1100000000000003)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 150.0, 70.92857142857143)","(31.0, 110.0, 39.714285714285715)","(61.0, 530.0, 396.0)"
10-01-2023 13:25:32.023429,"(2.7, 5.9, 5.5)","(2.3, 3.6, 3.1100000000000003)","(2.4, 2.44, 2.3923809523809525)","(71.0, 470.0, 170.0)","(41.0, 150.0, 67.71428571428571)","(31.0, 110.0, 39.714285714285715)","(61.0, 540.0, 396.0)"
