,Festival Dancer,Saigon,Frumos,Orbital Express,Charity Spirit,Oh Golly Gosh
07-01-2023 13:26:37.048483,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.414141414141414)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.166666666666668)"
07-01-2023 13:26:38.076654,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.414141414141414)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.166666666666668)"
07-01-2023 13:26:39.134652,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.46, 2.4330434782608696)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.166666666666668)"
07-01-2023 13:26:40.241863,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.46, 2.411290322580645)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.166666666666668)"
07-01-2023 13:26:41.181233,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.411290322580645)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.166666666666668)"
07-01-2023 13:26:42.317368,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.424)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.166666666666668)"
07-01-2023 13:26:43.493977,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.46, 2.4079338842975204)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.166666666666668)"
07-01-2023 13:26:44.671348,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.46, 2.4079338842975204)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.166666666666668)"
07-01-2023 13:26:45.720034,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.46, 2.4079338842975204)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.166666666666668)"
07-01-2023 13:26:46.708300,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.46, 2.4079338842975204)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.166666666666668)"
07-01-2023 13:26:47.727822,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.46, 2.4269291338582675)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.408928571428572)","(13.0, 16.5, 16.333333333333332)"
07-01-2023 13:26:48.840534,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.694444444444444)","(2.1, 2.46, 2.428181818181818)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.033734939759036)","(13.0, 16.5, 16.904761904761905)"
07-01-2023 13:26:50.015487,"(3.6, 4.5, 4.4381818181818184)","(5.5, 6.8, 6.694444444444444)","(2.1, 2.46, 2.4072727272727272)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.033734939759036)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:26:51.157120,"(3.6, 4.5, 4.4381818181818184)","(5.5, 6.8, 6.722448979591836)","(2.1, 2.42, 2.4072727272727272)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.033734939759036)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:26:52.140102,"(3.6, 4.5, 4.4381818181818184)","(5.5, 6.8, 6.722448979591836)","(2.1, 2.42, 2.4072727272727272)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.033734939759036)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:26:53.295513,"(3.6, 4.5, 4.4381818181818184)","(5.5, 6.8, 6.722448979591836)","(2.1, 2.46, 2.4303333333333335)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.033734939759036)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:26:54.355988,"(3.6, 4.5, 4.4381818181818184)","(5.5, 6.8, 6.722448979591836)","(2.1, 2.46, 2.4303333333333335)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.033734939759036)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:26:55.428270,"(3.6, 4.5, 4.434193548387097)","(5.5, 6.8, 6.722448979591836)","(2.1, 2.46, 2.426095238095238)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.033734939759036)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:26:56.534392,"(3.6, 4.5, 4.434193548387097)","(5.5, 6.8, 6.694444444444444)","(2.1, 2.46, 2.426095238095238)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.033734939759036)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:26:57.683542,"(3.6, 4.5, 4.434193548387097)","(5.5, 6.8, 6.694444444444444)","(2.1, 2.46, 2.426095238095238)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.074725274725274)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:26:59.019552,"(3.6, 4.5, 4.434193548387097)","(5.5, 6.8, 6.694444444444444)","(2.1, 2.46, 2.426095238095238)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.074725274725274)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:00.273166,"(3.6, 4.5, 4.434193548387097)","(5.5, 6.8, 6.694444444444444)","(2.1, 2.46, 2.426095238095238)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.074725274725274)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:01.568972,"(3.6, 4.5, 4.434193548387097)","(5.5, 6.8, 6.694444444444444)","(2.1, 2.46, 2.426095238095238)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.074725274725274)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:02.784555,"(3.6, 4.5, 4.434193548387097)","(5.5, 6.8, 6.694444444444444)","(2.1, 2.46, 2.426095238095238)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.074725274725274)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:03.856204,"(3.6, 4.5, 4.434193548387097)","(5.5, 6.8, 6.694444444444444)","(2.1, 2.46, 2.426095238095238)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.074725274725274)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:05.012701,"(3.6, 4.5, 4.434193548387097)","(5.5, 6.8, 6.722448979591836)","(2.1, 2.46, 2.4149230769230767)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.074725274725274)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:06.158249,"(3.6, 4.5, 4.434193548387097)","(5.5, 6.8, 6.722448979591836)","(2.1, 2.42, 2.419019607843137)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.074725274725274)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:07.294563,"(3.6, 4.5, 4.434193548387097)","(5.5, 6.8, 6.722448979591836)","(2.1, 2.42, 2.419019607843137)","(16.0, 27.0, 22.6)","(8.5, 10.5, 10.074725274725274)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:08.373755,"(3.6, 4.5, 4.496428571428572)","(5.5, 6.8, 6.722448979591836)","(2.1, 2.42, 2.419019607843137)","(16.0, 27.0, 23.0)","(8.5, 10.5, 10.045360824742268)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:09.407250,"(3.6, 4.6, 4.507772020725389)","(5.5, 6.8, 6.668965517241379)","(2.1, 2.42, 2.419019607843137)","(16.0, 24.0, 23.0)","(8.5, 10.5, 10.045360824742268)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:10.522185,"(3.6, 4.6, 4.507978723404255)","(5.5, 6.8, 6.654054054054054)","(2.1, 2.42, 2.434035087719298)","(16.0, 24.0, 23.4)","(8.5, 10.5, 9.667924528301887)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:11.713462,"(3.6, 4.6, 4.507978723404255)","(5.5, 6.8, 6.654054054054054)","(2.1, 2.44, 2.44656)","(16.0, 24.0, 23.4)","(8.5, 10.5, 9.488888888888889)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:12.738740,"(3.6, 4.6, 4.508426966292135)","(5.5, 6.8, 6.654054054054054)","(2.1, 2.46, 2.44656)","(16.0, 27.0, 23.4)","(8.5, 10.5, 9.488888888888889)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:13.812346,"(3.6, 4.6, 4.508426966292135)","(5.5, 6.8, 6.654054054054054)","(2.1, 2.46, 2.44656)","(16.0, 27.0, 23.4)","(8.5, 10.5, 9.488888888888889)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:15.017413,"(3.6, 4.6, 4.508426966292135)","(5.5, 6.8, 6.654054054054054)","(2.1, 2.46, 2.44656)","(16.0, 27.0, 23.4)","(8.5, 10.5, 9.488888888888889)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:16.212433,"(3.6, 4.6, 4.508426966292135)","(5.5, 6.8, 6.654054054054054)","(2.1, 2.46, 2.44656)","(16.0, 27.0, 23.4)","(8.5, 10.5, 9.488888888888889)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:17.374913,"(3.6, 4.6, 4.508426966292135)","(5.5, 6.8, 6.654054054054054)","(2.1, 2.46, 2.44656)","(16.0, 27.0, 23.4)","(8.5, 10.5, 9.488888888888889)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:18.523846,"(3.6, 4.6, 4.508426966292135)","(5.5, 6.8, 6.654054054054054)","(2.1, 2.46, 2.434642857142857)","(16.0, 27.0, 24.2)","(8.5, 10.5, 9.463461538461539)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:19.628051,"(3.6, 4.6, 4.508426966292135)","(5.5, 6.8, 6.654054054054054)","(2.1, 2.46, 2.4421383647798742)","(16.0, 25.0, 22.6)","(8.5, 10.5, 9.533333333333333)","(13.0, 17.0, 16.82608695652174)"
07-01-2023 13:27:20.821905,"(3.6, 4.6, 4.508064516129032)","(5.5, 6.8, 6.647619047619047)","(2.1, 2.46, 2.4421383647798742)","(16.0, 23.0, 22.6)","(8.5, 9.8, 9.533333333333333)","(13.0, 17.0, 16.82608695652174)"
07-01-2023 13:27:22.056982,"(3.6, 4.6, 4.508064516129032)","(5.5, 6.8, 6.647619047619047)","(2.1, 2.46, 2.4464661654135336)","(16.0, 23.0, 25.0)","(8.5, 9.8, 9.463461538461539)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:23.153056,"(3.6, 4.6, 4.455084745762712)","(5.5, 6.8, 6.652631578947368)","(2.1, 2.46, 2.4464661654135336)","(16.0, 26.0, 25.0)","(8.5, 10.5, 9.463461538461539)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:24.185844,"(3.6, 4.6, 4.455084745762712)","(5.5, 6.8, 6.652631578947368)","(2.1, 2.46, 2.4464661654135336)","(16.0, 26.0, 25.0)","(8.5, 10.5, 9.463461538461539)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:25.341732,"(3.6, 4.5, 4.490277777777778)","(5.5, 7.0, 6.848484848484849)","(2.1, 2.46, 2.4404651162790696)","(16.0, 23.0, 23.4)","(8.5, 9.8, 9.327868852459016)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:26.454345,"(3.6, 4.6, 4.457017543859649)","(5.5, 7.0, 6.714285714285714)","(2.1, 2.46, 2.4466666666666668)","(16.0, 27.0, 23.4)","(8.5, 10.5, 9.327868852459016)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:27.635127,"(3.6, 4.6, 4.457017543859649)","(5.5, 7.0, 6.714285714285714)","(2.1, 2.46, 2.4466666666666668)","(16.0, 27.0, 23.4)","(8.5, 10.5, 9.327868852459016)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:28.838660,"(3.6, 4.6, 4.457017543859649)","(5.5, 7.0, 6.714285714285714)","(2.1, 2.46, 2.4466666666666668)","(16.0, 27.0, 23.4)","(8.5, 10.5, 9.327868852459016)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:29.831261,"(3.6, 4.6, 4.457017543859649)","(5.5, 7.0, 6.714285714285714)","(2.1, 2.46, 2.4466666666666668)","(16.0, 27.0, 23.4)","(8.5, 10.5, 10.01269035532995)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:30.940611,"(3.6, 4.6, 4.457017543859649)","(5.5, 7.0, 6.7534246575342465)","(2.1, 2.46, 2.4466666666666668)","(16.0, 27.0, 23.4)","(8.5, 10.5, 9.96368715083799)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:32.128203,"(3.6, 4.6, 4.457017543859649)","(5.5, 7.0, 6.7534246575342465)","(2.1, 2.46, 2.4466666666666668)","(16.0, 27.0, 23.4)","(8.5, 10.5, 9.96368715083799)","(13.0, 17.0, 16.904761904761905)"
07-01-2023 13:27:33.208308,"(3.6, 4.6, 4.457017543859649)","(5.5, 7.0, 6.7534246575342465)","(2.1, 2.46, 2.4466666666666668)","(16.0, 27.0, 23.4)","(8.5, 10.5, 9.2875)","(13.0, 17.0, 16.18421052631579)"
07-01-2023 13:27:34.290739,"(3.6, 4.6, 4.497805642633229)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.46, 2.4370322580645163)","(16.0, 27.0, 23.4)","(8.5, 9.6, 9.278225806451612)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:35.481608,"(3.6, 4.6, 4.49149560117302)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.4464905660377356)","(16.0, 27.0, 22.714285714285715)","(8.5, 9.6, 9.278225806451612)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:36.639758,"(3.6, 4.6, 4.49149560117302)","(5.5, 7.0, 6.8865384615384615)","(2.1, 2.48, 2.464086021505376)","(16.0, 27.0, 22.77777777777778)","(8.5, 9.6, 9.267441860465116)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:37.870910,"(3.6, 4.6, 4.489142857142857)","(5.5, 7.0, 6.8865384615384615)","(2.1, 2.48, 2.464086021505376)","(16.0, 25.0, 22.77777777777778)","(8.5, 9.6, 9.267441860465116)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:39.080929,"(3.7, 4.6, 4.489142857142857)","(5.5, 7.0, 6.8865384615384615)","(2.1, 2.48, 2.464086021505376)","(16.0, 25.0, 23.285714285714285)","(8.5, 9.6, 9.268482490272373)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:40.214762,"(3.7, 4.6, 4.484735202492212)","(5.5, 7.0, 6.8879227053140095)","(2.1, 2.48, 2.4629230769230768)","(16.0, 25.0, 23.285714285714285)","(8.5, 9.6, 9.268482490272373)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:41.426483,"(3.7, 4.6, 4.484735202492212)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.441888412017167)","(16.0, 25.0, 24.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:42.863982,"(3.7, 4.6, 4.488888888888889)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.441888412017167)","(16.0, 27.0, 24.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:44.185080,"(3.7, 4.6, 4.488888888888889)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.441888412017167)","(16.0, 27.0, 24.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:45.368693,"(3.7, 4.6, 4.488888888888889)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.4415017064846416)","(16.0, 27.0, 24.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:46.471025,"(3.7, 4.6, 4.488888888888889)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.4415017064846416)","(16.0, 27.0, 24.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:47.600184,"(3.7, 4.6, 4.488888888888889)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.4415017064846416)","(16.0, 27.0, 24.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:48.784733,"(3.7, 4.6, 4.488888888888889)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.4415017064846416)","(16.0, 27.0, 24.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:49.936164,"(3.7, 4.6, 4.488888888888889)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.4415017064846416)","(16.0, 27.0, 24.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:51.072497,"(3.7, 4.6, 4.488888888888889)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.4415017064846416)","(16.0, 27.0, 23.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:52.203567,"(3.7, 4.6, 4.4877419354838715)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.443960396039604)","(16.0, 27.0, 23.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:53.226491,"(3.7, 4.6, 4.4877419354838715)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.443960396039604)","(16.0, 27.0, 23.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:54.391646,"(3.7, 4.5, 4.493150684931507)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.443960396039604)","(16.0, 27.0, 23.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:55.602745,"(3.7, 4.5, 4.493150684931507)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.443960396039604)","(16.0, 27.0, 23.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:56.686892,"(3.7, 4.5, 4.493150684931507)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.48, 2.443960396039604)","(16.0, 27.0, 23.0)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:57.695891,"(3.7, 4.5, 4.493589743589744)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.46, 2.441132075471698)","(16.0, 27.0, 23.18181818181818)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:27:58.876017,"(3.7, 4.5, 4.493589743589744)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.46, 2.441132075471698)","(16.0, 27.0, 23.18181818181818)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:28:00.052922,"(3.7, 4.5, 4.493589743589744)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.46, 2.441132075471698)","(16.0, 27.0, 23.18181818181818)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:28:01.131456,"(3.7, 4.5, 4.493589743589744)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.44, 2.4365934065934067)","(16.0, 27.0, 23.4)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:28:02.170333,"(3.7, 4.5, 4.493589743589744)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.44, 2.4365934065934067)","(16.0, 27.0, 23.4)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
07-01-2023 13:28:03.326098,"(3.7, 4.5, 4.493589743589744)","(5.5, 7.0, 6.907216494845361)","(2.1, 2.44, 2.4380838323353293)","(16.0, 27.0, 23.4)","(8.5, 9.6, 9.285826771653543)","(13.0, 16.5, 16.152173913043477)"
