,Scotch Queen,Instant Gold,Free At Night,Showtime Joe,Drop Anchor,Sunshine Girl,Princess Waters,Hidden Radar
07-12-2022 19:33:55.315666,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:33:56.908960,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:33:58.416231,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:33:59.870625,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:34:01.278668,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:34:02.649110,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:03.931586,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:05.223971,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:06.527629,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:07.868907,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:09.233937,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:10.640806,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:12.020967,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:13.448702,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:14.815981,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:16.174487,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:17.556909,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:18.934136,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:20.330124,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:21.647302,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:23.002462,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:24.282925,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:25.552863,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:26.872721,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:28.204517,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:29.664324,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:31.060166,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:32.423271,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:33.742871,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:35.091676,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:36.432897,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:37.755752,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:39.105414,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:40.485730,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:41.893105,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:43.215852,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:44.560146,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:45.848043,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:47.230267,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:48.598814,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:50.035826,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:51.389454,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:52.727308,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:54.108612,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:55.457675,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:56.873973,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:58.218771,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:34:59.635902,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:01.119463,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:02.599083,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:04.019756,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:05.434821,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:06.949595,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:08.392386,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:09.892034,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.148627450980392)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:11.584445,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.7, 3.148627450980392)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:13.201134,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.7, 3.148627450980392)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:14.604773,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.7, 3.148627450980392)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:16.060793,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.7, 3.148627450980392)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:17.538648,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.7, 3.148627450980392)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:19.013250,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.7, 3.148627450980392)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:20.458800,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.7, 3.148627450980392)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:21.889963,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.7, 3.148627450980392)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:23.427488,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5125)","(2.9, 4.7, 3.148627450980392)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:24.885074,"(15.0, 42.0, 34.875)","(4.0, 6.2, 4.5125)","(2.9, 4.7, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:26.318125,"(15.0, 42.0, 34.875)","(4.0, 6.2, 4.5125)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:27.768196,"(15.0, 42.0, 34.875)","(4.0, 6.2, 4.5125)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:29.199370,"(15.0, 42.0, 34.875)","(4.0, 6.2, 4.5125)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:30.587340,"(15.0, 42.0, 34.875)","(4.0, 6.2, 4.5125)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:32.015725,"(15.0, 42.0, 34.875)","(4.0, 6.2, 4.5125)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 7.066666666666666)","(10.0, 24.0, 19.56)"
07-12-2022 19:35:33.393139,"(15.0, 42.0, 34.875)","(4.0, 6.2, 4.5125)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.0, 14.0, 11.714285714285714)","(10.0, 24.0, 19.326315789473682)"
07-12-2022 19:35:34.827425,"(15.0, 42.0, 34.875)","(4.0, 6.2, 4.5125)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 19.326315789473682)"
