,Giulia,Sokudo,Petunia,Smart Star Prince,Silver Galaxy,Teranga,My Oddette,Sumnamilla,Rose Of Duporth
14-12-2022 13:54:41.679642,"(4.8, 5.6, 5.466666666666667)","(101.0, 230.0, 178.0)","(31.0, 60.0, 52.0)","(4.4, 6.4, 6.220000000000001)","(4.6, 5.8, 5.52)","(5.0, 6.4, 6.166666666666667)","(14.0, 19.5, 17.75)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
14-12-2022 13:54:43.058143,"(4.8, 5.6, 5.466666666666667)","(101.0, 230.0, 178.0)","(31.0, 60.0, 52.0)","(4.4, 6.4, 6.220000000000001)","(4.6, 5.8, 5.625)","(5.0, 6.4, 6.166666666666667)","(14.0, 19.5, 17.75)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
14-12-2022 13:54:44.467741,"(4.8, 5.6, 5.466666666666667)","(101.0, 230.0, 178.0)","(31.0, 60.0, 52.0)","(4.4, 6.4, 6.220000000000001)","(4.6, 5.8, 5.625)","(5.0, 6.4, 6.166666666666667)","(14.0, 19.5, 17.75)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
14-12-2022 13:54:45.953106,"(4.8, 5.6, 5.408695652173913)","(101.0, 230.0, 178.0)","(31.0, 60.0, 52.0)","(4.4, 6.4, 6.220000000000001)","(4.6, 5.8, 5.6)","(5.0, 6.4, 6.166666666666667)","(14.0, 19.5, 17.75)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:54:47.489088,"(4.8, 5.6, 5.408695652173913)","(101.0, 230.0, 178.0)","(31.0, 60.0, 58.0)","(4.4, 6.4, 6.220000000000001)","(4.6, 5.8, 5.782608695652174)","(5.0, 6.4, 6.166666666666667)","(14.0, 19.5, 19.13157894736842)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:54:48.992650,"(4.8, 5.6, 5.541071428571429)","(101.0, 230.0, 178.0)","(31.0, 60.0, 58.0)","(4.4, 6.4, 6.220000000000001)","(4.6, 5.8, 5.55)","(5.0, 6.4, 6.166666666666667)","(14.0, 19.5, 18.3)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:54:50.722014,"(4.8, 5.6, 5.541071428571429)","(101.0, 230.0, 178.0)","(31.0, 60.0, 53.0)","(4.4, 6.4, 6.220000000000001)","(4.6, 5.8, 5.55)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.3)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:54:52.343239,"(4.8, 5.6, 5.541071428571429)","(101.0, 230.0, 165.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 5.8, 5.55)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.3)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:54:53.962898,"(4.8, 5.6, 5.541071428571429)","(101.0, 230.0, 165.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 5.8, 5.55)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 19.24074074074074)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:54:55.374867,"(4.8, 5.6, 5.541071428571429)","(101.0, 230.0, 165.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 5.8, 5.55)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 19.24074074074074)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:54:56.750375,"(4.8, 5.6, 5.541071428571429)","(101.0, 230.0, 165.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 5.8, 5.55)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 19.24074074074074)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:54:58.028794,"(4.8, 5.6, 5.541071428571429)","(101.0, 230.0, 165.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 5.8, 5.55)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 19.24074074074074)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:54:59.420213,"(4.8, 5.6, 5.541071428571429)","(101.0, 230.0, 178.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 5.8, 5.66)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 19.24074074074074)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:55:00.849934,"(4.8, 5.6, 5.541071428571429)","(101.0, 230.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 6.2, 5.92)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.96153846153846)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:55:02.247641,"(4.8, 5.6, 5.364285714285714)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 6.2, 6.116417910447761)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.96153846153846)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:55:03.681081,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 6.2, 6.116417910447761)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.113793103448275)"
14-12-2022 13:55:05.152838,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 6.2, 6.116417910447761)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:06.487586,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 6.2, 6.116417910447761)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:07.935003,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 6.2, 6.116417910447761)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:09.377919,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.300000000000001)","(4.6, 6.2, 6.116417910447761)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:10.808467,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.300000000000001)","(4.6, 6.2, 6.116417910447761)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:12.176617,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.300000000000001)","(4.6, 6.2, 6.116417910447761)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:13.551629,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.300000000000001)","(4.6, 6.2, 6.116417910447761)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:14.841539,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.315094339622641)","(4.6, 6.2, 5.7)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:16.108515,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.315094339622641)","(4.6, 6.2, 5.533333333333333)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:17.423248,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.315094339622641)","(4.6, 6.2, 5.533333333333333)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:18.851864,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.315094339622641)","(4.6, 6.2, 5.533333333333333)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:20.326859,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.315094339622641)","(4.6, 6.2, 5.533333333333333)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:21.739243,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.380000000000001)","(4.6, 6.2, 5.533333333333333)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:23.141681,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.380000000000001)","(4.6, 6.2, 5.533333333333333)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:24.543878,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.380000000000001)","(4.6, 6.2, 5.628571428571429)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:25.844711,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.380000000000001)","(4.6, 6.2, 5.628571428571429)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:27.147679,"(4.8, 5.6, 5.408695652173913)","(101.0, 220.0, 140.0)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 6.2, 6.096103896103896)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:28.458261,"(4.8, 5.6, 5.408695652173913)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 6.2, 5.858823529411765)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:29.848951,"(4.8, 5.6, 5.408695652173913)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 6.0, 5.858823529411765)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:31.266591,"(4.8, 5.6, 5.384615384615384)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 6.0, 5.858823529411765)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:32.659332,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 53.0)","(4.6, 6.4, 6.220000000000001)","(4.6, 6.0, 5.858823529411765)","(5.0, 6.4, 5.941379310344828)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.1499999999999995)"
14-12-2022 13:55:34.032982,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.380769230769231)","(4.6, 6.0, 5.858823529411765)","(5.0, 6.4, 5.927272727272728)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.056410256410256)"
14-12-2022 13:55:35.434637,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.0, 5.895238095238096)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 5.055)"
14-12-2022 13:55:36.698804,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 5.895238095238096)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 5.055)"
14-12-2022 13:55:37.920719,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 5.895238095238096)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 5.055)"
14-12-2022 13:55:39.421004,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 5.895238095238096)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 5.055)"
14-12-2022 13:55:40.809517,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 5.895238095238096)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 5.055)"
14-12-2022 13:55:42.234455,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 6.155555555555556)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.5, 18.72222222222222)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:44.056663,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 6.155555555555556)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.1)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:45.680646,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 6.155555555555556)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.1)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:47.140108,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 6.155555555555556)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.1)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:48.400658,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 6.155555555555556)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.1)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:49.647222,"(4.8, 5.6, 5.387878787878788)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 6.155555555555556)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.1)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:50.936406,"(4.8, 5.6, 5.451851851851852)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 6.155555555555556)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.1)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:52.130461,"(4.8, 5.4, 5.328)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 57.5)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 5.6)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.625)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:53.364889,"(4.6, 5.4, 5.328)","(101.0, 210.0, 177.14285714285714)","(31.0, 60.0, 59.166666666666664)","(4.6, 6.4, 6.383333333333334)","(4.6, 6.2, 5.4799999999999995)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.678571428571427)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:54.585720,"(4.6, 5.4, 5.328)","(101.0, 260.0, 163.75)","(31.0, 60.0, 59.166666666666664)","(4.6, 6.4, 6.380769230769231)","(4.6, 6.2, 5.618181818181818)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.678571428571427)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:55.864752,"(4.6, 5.4, 5.328)","(101.0, 260.0, 163.75)","(31.0, 60.0, 59.166666666666664)","(4.6, 6.4, 6.380769230769231)","(4.6, 6.2, 5.618181818181818)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.678571428571427)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:57.239991,"(4.6, 5.4, 5.328)","(101.0, 260.0, 163.75)","(31.0, 60.0, 167.5)","(4.6, 6.4, 6.380769230769231)","(4.6, 6.2, 5.618181818181818)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.678571428571427)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:58.570372,"(4.6, 5.4, 5.328)","(101.0, 260.0, 163.75)","(31.0, 190.0, 167.5)","(4.6, 6.4, 6.380769230769231)","(4.6, 6.2, 5.618181818181818)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.678571428571427)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:55:59.858386,"(4.6, 5.4, 5.328)","(101.0, 260.0, 163.75)","(31.0, 190.0, 167.5)","(4.6, 6.4, 6.380769230769231)","(4.6, 6.2, 5.618181818181818)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.678571428571427)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:56:01.167537,"(4.6, 5.4, 5.328)","(101.0, 260.0, 163.75)","(31.0, 190.0, 167.5)","(4.6, 6.4, 6.380769230769231)","(4.6, 6.2, 5.618181818181818)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.678571428571427)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:56:02.342178,"(4.6, 5.4, 5.328)","(101.0, 260.0, 163.75)","(31.0, 190.0, 167.5)","(4.6, 6.4, 6.380769230769231)","(4.6, 6.2, 5.618181818181818)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.678571428571427)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:56:03.568773,"(4.6, 5.4, 5.328)","(101.0, 260.0, 163.75)","(31.0, 190.0, 167.5)","(4.6, 6.4, 6.380769230769231)","(4.6, 6.2, 5.618181818181818)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.678571428571427)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:56:04.886018,"(4.6, 5.4, 5.328)","(101.0, 260.0, 177.5)","(31.0, 190.0, 167.5)","(4.6, 6.4, 6.380769230769231)","(4.6, 6.2, 6.111111111111112)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.357142857142858)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:56:06.048368,"(4.6, 5.4, 5.328)","(101.0, 260.0, 148.0)","(31.0, 190.0, 122.5)","(4.6, 6.4, 6.380769230769231)","(4.6, 6.2, 6.150769230769231)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.357142857142858)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
14-12-2022 13:56:07.350714,"(4.6, 5.4, 5.328)","(101.0, 250.0, 222.72727272727275)","(31.0, 190.0, 122.5)","(4.6, 6.4, 6.380769230769231)","(4.6, 6.2, 6.153623188405797)","(5.0, 6.2, 5.908333333333333)","(14.0, 19.0, 18.1)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.2, 4.91)"
