,Poppy Bluey,Tralee Revenge,Johns Call,Telford,Willina Girl,Mulberry Man
04-01-2023 14:28:09.971478,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:11.035277,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:12.115832,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:13.139806,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:14.066518,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:14.931868,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:15.937330,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:16.989944,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:17.983695,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:18.946273,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:19.912151,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:20.868531,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:21.875227,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:23.023753,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:24.131450,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:25.286476,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:26.375730,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:27.460578,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:28.471055,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:29.515614,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:30.568931,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:31.619647,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:32.675638,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:33.618874,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:34.653935,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:35.699481,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:36.725633,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:37.715172,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:38.820461,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:40.007333,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:41.232412,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:42.361085,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:43.476341,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:44.562344,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:45.912875,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:47.196254,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:48.237965,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:49.343115,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:50.438154,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:51.515723,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:52.530322,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:53.602292,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:54.715583,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:55.853667,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:56.879226,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:57.940235,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:59.011109,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:29:00.078602,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:29:01.185709,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 19.2)","(4.0, 6.6, 4.93)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:02.197465,"(5.0, 15.5, 11.155555555555555)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 19.2)","(4.0, 6.4, 4.93)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:03.261252,"(5.0, 15.5, 11.155555555555555)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 19.2)","(4.0, 6.0, 5.25625)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:04.306852,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 19.2)","(4.0, 5.9, 5.5538461538461545)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:05.362095,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 19.2)","(4.0, 5.9, 5.34074074074074)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:06.326596,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 19.2)","(4.0, 6.6, 5.266666666666667)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:07.342716,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 20.166666666666668)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:08.421793,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 19.4)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:09.471438,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 19.4)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:10.464100,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 19.4)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:11.340726,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 19.4)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:12.302242,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 19.4)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:13.334745,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:14.319828,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:15.324825,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:17.057595,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:18.482028,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:19.517837,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:20.563168,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:21.595506,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:22.563755,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:23.573122,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:24.642291,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:25.720688,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:26.691949,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:27.632712,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:28.805693,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:30.086901,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:31.100496,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 21.5)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:32.144679,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:33.167843,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:34.174389,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:35.306840,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:36.372103,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:37.453801,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:38.687173,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:39.956167,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:41.279838,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:42.466886,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:43.553692,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:44.664853,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:45.696619,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:46.811843,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:47.926597,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
04-01-2023 14:29:48.956004,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6424242424242423)","(11.0, 24.0, 20.0)","(4.0, 6.6, 5.208695652173913)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 23.333333333333332)"
