,Surprisingly Sweet,Dust Bunny,Lets Go Mo,Cosmological,Lilbitoglory,Mrs Bell,Ostellas Rose,Golden Phase,All That Magic
15-12-2022 11:02:34.508070,"(12.0, 19.5, 15.9)","(13.0, 19.0, 18.409090909090907)","(16.0, 29.0, 22.555555555555557)","(10.0, 18.5, 17.72222222222222)","(9.0, 15.5, 13.6)","(2.5, 3.05, 3.026206896551724)","(1.01, 99999, 99990)","(26.0, 50.0, 34.5)","(2.5, 2.88, 2.6953846153846155)"
15-12-2022 11:02:35.792119,"(12.0, 19.5, 15.9)","(13.0, 19.5, 18.409090909090907)","(16.0, 24.0, 22.555555555555557)","(10.0, 18.5, 17.72222222222222)","(9.0, 15.5, 13.6)","(2.5, 3.05, 3.026206896551724)","(1.01, 99999, 99990)","(26.0, 50.0, 41.142857142857146)","(2.5, 2.88, 2.6953846153846155)"
15-12-2022 11:02:36.991633,"(12.0, 19.5, 15.9)","(13.0, 19.5, 16.5)","(16.0, 24.0, 21.77777777777778)","(10.0, 18.5, 18.11111111111111)","(9.0, 15.5, 13.6)","(2.5, 3.05, 3.026206896551724)","(1.01, 99999, 99990)","(21.0, 50.0, 50.5625)","(2.5, 2.88, 2.756)"
15-12-2022 11:02:38.217207,"(12.0, 19.5, 15.9)","(13.0, 19.5, 16.75)","(16.0, 23.0, 21.77777777777778)","(10.0, 19.0, 18.11111111111111)","(9.0, 15.5, 13.6)","(2.5, 3.05, 3.026206896551724)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.86, 2.756)"
15-12-2022 11:02:39.431582,"(12.0, 19.5, 15.9)","(13.0, 19.5, 16.75)","(16.0, 23.0, 21.77777777777778)","(10.0, 19.0, 18.11111111111111)","(9.0, 15.5, 13.6)","(2.5, 3.05, 3.0367307692307692)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.86, 2.6585)"
15-12-2022 11:02:40.587479,"(12.0, 19.5, 15.9)","(13.0, 19.5, 16.75)","(16.0, 23.0, 21.77777777777778)","(10.0, 19.0, 18.11111111111111)","(9.0, 15.5, 13.6)","(2.5, 3.05, 3.0367307692307692)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.86, 2.6585)"
15-12-2022 11:02:41.691629,"(12.0, 19.5, 15.9)","(13.0, 19.5, 16.75)","(16.0, 23.0, 21.77777777777778)","(10.0, 19.0, 17.72222222222222)","(9.0, 15.5, 13.6)","(2.5, 3.05, 3.008)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.86, 2.6585)"
15-12-2022 11:02:42.847868,"(12.0, 19.5, 15.9)","(13.0, 19.5, 18.27777777777778)","(16.0, 22.0, 21.0)","(10.0, 18.5, 17.72222222222222)","(9.0, 15.5, 12.555555555555555)","(2.5, 3.05, 3.008)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.86, 2.661578947368421)"
15-12-2022 11:02:44.092381,"(12.0, 19.5, 15.9)","(13.0, 19.5, 18.27777777777778)","(16.0, 22.0, 21.0)","(10.0, 18.5, 17.72222222222222)","(9.0, 16.0, 12.555555555555555)","(2.5, 3.05, 3.008)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.86, 2.78)"
15-12-2022 11:02:45.313192,"(12.0, 19.5, 15.9)","(13.0, 19.5, 18.27777777777778)","(16.0, 22.0, 21.0)","(10.0, 18.5, 17.72222222222222)","(9.0, 16.0, 12.555555555555555)","(2.5, 3.05, 3.0303448275862066)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.86, 2.6763636363636363)"
15-12-2022 11:02:46.465334,"(12.0, 19.5, 15.9)","(13.0, 19.5, 18.27777777777778)","(16.0, 22.0, 21.0)","(10.0, 18.5, 17.72222222222222)","(9.0, 16.0, 12.555555555555555)","(2.5, 3.05, 3.0303448275862066)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.88, 2.654)"
15-12-2022 11:02:47.714171,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.27777777777778)","(16.0, 22.0, 21.0)","(10.0, 18.5, 18.11111111111111)","(9.0, 16.0, 12.9)","(2.5, 3.05, 3.02)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.78, 2.654)"
15-12-2022 11:02:48.935158,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.714285714285715)","(16.0, 29.0, 24.208333333333336)","(10.0, 19.0, 18.11111111111111)","(9.0, 16.0, 12.9)","(2.5, 3.05, 3.02)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.78, 2.654)"
15-12-2022 11:02:50.219297,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.714285714285715)","(16.0, 29.0, 25.333333333333332)","(10.0, 19.0, 18.11111111111111)","(9.0, 16.0, 12.9)","(2.5, 3.05, 3.02)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.76, 2.6436363636363636)"
15-12-2022 11:02:51.486308,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.857142857142858)","(16.0, 29.0, 24.8)","(10.0, 19.0, 18.11111111111111)","(9.0, 16.0, 12.9)","(2.5, 3.05, 3.0283333333333333)","(1.01, 99999, 99990)","(21.0, 55.0, 51.77272727272727)","(2.5, 2.76, 2.6436363636363636)"
15-12-2022 11:02:52.653107,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.857142857142858)","(16.0, 29.0, 23.285714285714285)","(10.0, 19.0, 18.11111111111111)","(9.0, 16.0, 12.9)","(2.5, 3.05, 3.0283333333333333)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.76, 2.6436363636363636)"
15-12-2022 11:02:53.870381,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.857142857142858)","(16.0, 29.0, 23.705882352941178)","(10.0, 19.0, 17.0)","(9.0, 16.0, 12.9)","(2.5, 3.05, 3.037)","(1.01, 99999, 99990)","(21.0, 55.0, 46.25)","(2.5, 2.76, 2.6436363636363636)"
15-12-2022 11:02:55.090856,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.5)","(16.0, 29.0, 23.705882352941178)","(10.0, 19.0, 17.0)","(9.0, 16.0, 12.9)","(2.5, 3.05, 3.0028571428571427)","(1.01, 99999, 99990)","(21.0, 55.0, 46.25)","(2.5, 2.76, 2.6436363636363636)"
15-12-2022 11:02:56.266060,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.375)","(16.0, 29.0, 23.705882352941178)","(10.0, 19.0, 17.0)","(9.0, 16.0, 12.9)","(2.5, 3.05, 3.0334999999999996)","(1.01, 99999, 99990)","(21.0, 55.0, 46.25)","(2.5, 2.76, 2.6436363636363636)"
15-12-2022 11:02:57.454866,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.166666666666668)","(16.0, 29.0, 21.227272727272727)","(10.0, 19.0, 17.0)","(9.0, 16.0, 12.9)","(2.5, 3.05, 3.0334999999999996)","(1.01, 99999, 99990)","(21.0, 55.0, 46.25)","(2.5, 2.76, 2.6436363636363636)"
15-12-2022 11:02:58.571834,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.166666666666668)","(16.0, 29.0, 21.227272727272727)","(10.0, 19.0, 17.0)","(9.0, 16.0, 12.555555555555555)","(2.5, 3.05, 3.0334999999999996)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.76, 2.66)"
15-12-2022 11:02:59.696923,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.166666666666668)","(16.0, 29.0, 23.970588235294116)","(10.0, 19.0, 17.444444444444443)","(9.0, 16.0, 12.555555555555555)","(2.5, 3.05, 3.0334999999999996)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.8, 2.66)"
15-12-2022 11:03:00.832536,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.166666666666668)","(16.0, 29.0, 23.970588235294116)","(10.0, 19.0, 17.0)","(9.0, 16.0, 12.555555555555555)","(2.5, 3.05, 3.0334999999999996)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.8, 2.66)"
15-12-2022 11:03:01.979579,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.166666666666668)","(16.0, 29.0, 23.970588235294116)","(10.0, 19.0, 17.0)","(9.0, 16.0, 13.6)","(2.5, 3.05, 3.0334999999999996)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.8, 2.66)"
15-12-2022 11:03:03.097606,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.166666666666668)","(16.0, 29.0, 23.970588235294116)","(10.0, 19.0, 18.11111111111111)","(9.0, 15.5, 13.6)","(2.5, 3.05, 3.0384210526315787)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.8, 2.6558620689655172)"
15-12-2022 11:03:04.207759,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.166666666666668)","(16.0, 29.0, 21.875)","(10.0, 19.0, 16.217391304347828)","(9.0, 15.5, 13.6)","(2.5, 3.05, 3.0384210526315787)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.78, 2.6558620689655172)"
15-12-2022 11:03:05.340531,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.166666666666668)","(16.0, 29.0, 21.875)","(10.0, 19.0, 16.217391304347828)","(9.0, 15.5, 13.6)","(2.5, 3.05, 3.0384210526315787)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.78, 2.6558620689655172)"
15-12-2022 11:03:06.439985,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.166666666666668)","(16.0, 29.0, 21.875)","(10.0, 19.0, 16.217391304347828)","(9.0, 15.5, 13.6)","(2.5, 3.05, 3.0384210526315787)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.78, 2.6558620689655172)"
15-12-2022 11:03:07.542581,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 18.166666666666668)","(16.0, 29.0, 21.875)","(10.0, 19.0, 16.217391304347828)","(9.0, 15.5, 13.3)","(2.5, 3.05, 3.0384210526315787)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.78, 2.6558620689655172)"
15-12-2022 11:03:08.719922,"(12.0, 19.5, 17.863636363636363)","(13.0, 19.5, 20.25)","(16.0, 29.0, 26.3)","(10.0, 19.0, 17.96153846153846)","(9.0, 15.5, 13.3)","(2.5, 3.05, 3.0429032258064512)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.78, 2.643448275862069)"
15-12-2022 11:03:09.929982,"(12.0, 19.5, 17.863636363636363)","(13.0, 21.0, 20.25)","(16.0, 28.0, 26.3)","(10.0, 18.5, 17.96153846153846)","(9.0, 16.0, 14.5)","(2.5, 3.05, 3.0429032258064512)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.74, 2.6420000000000003)"
15-12-2022 11:03:11.108105,"(12.0, 19.5, 17.863636363636363)","(13.0, 21.0, 20.25)","(16.0, 28.0, 26.454545454545453)","(10.0, 18.5, 17.642857142857142)","(9.0, 16.0, 12.25)","(2.5, 3.05, 3.040833333333333)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.5, 2.74, 2.6311538461538464)"
15-12-2022 11:03:12.261210,"(12.0, 19.5, 17.863636363636363)","(12.0, 21.0, 20.25)","(16.0, 28.0, 25.333333333333332)","(10.0, 18.5, 17.666666666666668)","(9.0, 16.0, 12.75)","(2.6, 3.05, 3.0406666666666666)","(1.01, 99999, 99990)","(21.0, 55.0, 48.0)","(2.45, 2.78, 2.6609523809523807)"
15-12-2022 11:03:13.363597,"(12.0, 19.5, 16.291666666666668)","(12.0, 21.0, 20.25)","(16.0, 28.0, 25.333333333333332)","(10.0, 18.5, 18.0)","(9.0, 15.0, 13.0)","(2.6, 3.05, 3.036153846153846)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.45, 2.76, 2.6282352941176472)"
15-12-2022 11:03:14.488734,"(12.0, 19.5, 16.7)","(12.0, 21.0, 20.25)","(16.0, 29.0, 25.607142857142858)","(10.0, 19.0, 18.0)","(9.0, 15.5, 12.8)","(2.6, 3.05, 3.0414285714285714)","(1.01, 99999, 99990)","(21.0, 55.0, 50.5625)","(2.45, 2.78, 2.6282352941176472)"
15-12-2022 11:03:15.623487,"(12.0, 19.5, 16.7)","(12.0, 21.0, 20.25)","(16.0, 28.0, 24.964285714285715)","(10.0, 19.0, 18.0)","(9.0, 15.5, 12.8)","(2.6, 3.05, 3.046153846153846)","(1.01, 99999, 99990)","(21.0, 55.0, 48.0)","(2.45, 2.78, 2.645714285714286)"
15-12-2022 11:03:16.717830,"(12.0, 19.5, 16.318181818181817)","(12.0, 21.0, 19.714285714285715)","(16.0, 28.0, 24.11111111111111)","(10.0, 19.0, 18.166666666666668)","(9.0, 15.0, 13.5)","(2.6, 3.05, 3.046153846153846)","(1.01, 99999, 99990)","(21.0, 55.0, 47.9)","(2.45, 2.72, 2.6533333333333333)"
15-12-2022 11:03:17.840076,"(11.0, 19.5, 16.318181818181817)","(12.0, 20.0, 19.6)","(16.0, 28.0, 23.555555555555557)","(11.0, 19.0, 17.5)","(9.0, 15.0, 14.272727272727273)","(2.6, 3.05, 3.042307692307692)","(1.01, 99999, 99990)","(21.0, 55.0, 51.83333333333333)","(2.45, 2.74, 2.6441379310344826)"
15-12-2022 11:03:19.016423,"(11.0, 19.5, 16.7)","(12.0, 21.0, 20.25)","(16.0, 28.0, 24.964285714285715)","(11.0, 19.0, 17.5)","(9.0, 15.5, 14.272727272727273)","(2.6, 3.05, 3.0462962962962963)","(1.01, 99999, 99990)","(21.0, 55.0, 52.59375)","(2.45, 2.76, 2.6441379310344826)"
15-12-2022 11:03:20.198889,"(11.0, 19.5, 16.7)","(12.0, 21.0, 20.25)","(16.0, 28.0, 24.964285714285715)","(11.0, 19.0, 17.5)","(9.0, 15.5, 14.272727272727273)","(2.6, 3.05, 3.0462962962962963)","(1.01, 99999, 99990)","(21.0, 55.0, 36.5)","(2.45, 2.76, 2.641739130434783)"
15-12-2022 11:03:21.320466,"(11.0, 19.5, 16.7)","(12.0, 21.0, 20.25)","(16.0, 28.0, 24.964285714285715)","(11.0, 19.0, 17.5)","(9.0, 15.5, 14.3)","(2.6, 3.05, 3.0462962962962963)","(1.01, 99999, 99990)","(21.0, 55.0, 36.5)","(2.45, 2.72, 2.641739130434783)"
15-12-2022 11:03:22.380636,"(11.0, 19.5, 16.7)","(12.0, 21.0, 20.25)","(16.0, 28.0, 24.964285714285715)","(11.0, 19.0, 17.5)","(9.0, 15.5, 14.3)","(2.6, 3.05, 3.095833333333333)","(1.01, 99999, 99990)","(21.0, 55.0, 36.5)","(2.45, 2.72, 2.6490909090909094)"
15-12-2022 11:03:23.519689,"(11.0, 19.5, 16.291666666666668)","(12.0, 21.0, 20.25)","(16.0, 28.0, 23.555555555555557)","(11.0, 19.0, 17.5)","(9.0, 15.0, 14.3)","(2.6, 3.1, 3.0961538461538463)","(1.01, 99999, 99990)","(20.0, 55.0, 42.83333333333333)","(2.45, 2.72, 2.642857142857143)"
15-12-2022 11:03:24.592010,"(11.0, 19.5, 16.7)","(12.0, 21.0, 20.25)","(16.0, 29.0, 26.076923076923077)","(11.0, 19.0, 17.5)","(9.0, 15.5, 13.5)","(2.6, 3.1, 3.1470588235294117)","(1.01, 99999, 99990)","(20.0, 55.0, 42.83333333333333)","(2.45, 2.72, 2.6)"
15-12-2022 11:03:25.719894,"(11.0, 19.5, 17.863636363636363)","(12.0, 21.0, 20.25)","(16.0, 28.0, 22.82608695652174)","(11.0, 19.0, 18.333333333333332)","(9.0, 16.0, 13.75)","(2.6, 3.2, 3.1470588235294117)","(1.01, 99999, 99990)","(20.0, 55.0, 42.83333333333333)","(2.45, 2.72, 2.68)"
15-12-2022 11:03:26.842920,"(11.0, 19.5, 16.7)","(12.0, 21.0, 20.25)","(16.0, 28.0, 22.82608695652174)","(11.0, 19.0, 18.333333333333332)","(9.0, 15.5, 13.75)","(2.6, 3.2, 3.1470588235294117)","(1.01, 99999, 99990)","(20.0, 55.0, 48.916666666666664)","(2.45, 2.8, 2.663333333333333)"
15-12-2022 11:03:27.937405,"(11.0, 19.5, 16.7)","(12.0, 21.0, 20.25)","(16.0, 27.0, 25.636363636363637)","(11.0, 19.0, 18.333333333333332)","(9.0, 15.5, 14.545454545454545)","(2.6, 3.2, 3.1470588235294117)","(1.01, 99999, 99990)","(19.0, 55.0, 48.916666666666664)","(2.45, 2.78, 2.663333333333333)"
15-12-2022 11:03:29.113360,"(11.0, 19.5, 16.7)","(12.0, 21.0, 20.25)","(16.0, 27.0, 25.636363636363637)","(11.0, 19.0, 18.333333333333332)","(9.0, 15.5, 14.545454545454545)","(2.6, 3.2, 3.1470588235294117)","(1.01, 99999, 99990)","(19.0, 55.0, 48.916666666666664)","(2.45, 2.78, 2.751363636363636)"
15-12-2022 11:03:30.310672,"(11.0, 19.5, 16.7)","(13.0, 21.0, 20.25)","(16.0, 27.0, 25.636363636363637)","(12.0, 19.0, 18.333333333333332)","(9.0, 15.5, 14.916666666666666)","(2.6, 3.2, 3.1470588235294117)","(1.01, 99999, 99990)","(16.0, 55.0, 41.0)","(2.45, 2.78, 2.6533333333333333)"
15-12-2022 11:03:31.416957,"(11.0, 19.0, 17.9)","(13.0, 21.0, 20.25)","(16.0, 26.0, 24.8)","(12.0, 19.0, 18.333333333333332)","(9.0, 15.5, 14.916666666666666)","(2.6, 3.2, 3.1470588235294117)","(1.01, 99999, 99990)","(16.0, 50.0, 41.0)","(2.45, 2.7, 2.645)"
15-12-2022 11:03:32.681016,"(11.0, 19.0, 17.9)","(13.0, 21.0, 20.25)","(16.0, 26.0, 24.8)","(12.0, 19.0, 18.333333333333332)","(9.0, 15.5, 14.916666666666666)","(2.6, 3.2, 3.167857142857143)","(1.01, 99999, 99990)","(16.0, 50.0, 41.0)","(2.45, 2.68, 2.7079999999999997)"
15-12-2022 11:03:34.023222,"(11.0, 19.0, 17.9)","(13.0, 21.0, 20.25)","(16.0, 26.0, 25.6)","(12.0, 19.0, 18.333333333333332)","(9.0, 15.5, 13.7)","(2.6, 3.2, 3.167857142857143)","(1.01, 99999, 99990)","(16.0, 50.0, 37.5)","(2.45, 2.78, 2.5636363636363635)"
15-12-2022 11:03:35.269564,"(11.0, 19.5, 16.7)","(13.0, 21.0, 16.2)","(16.0, 27.0, 25.6)","(12.0, 19.0, 18.714285714285715)","(9.0, 15.5, 13.75)","(2.6, 3.2, 3.1892857142857145)","(1.01, 99999, 99990)","(16.0, 55.0, 38.5)","(2.45, 2.6, 2.5636363636363635)"
15-12-2022 11:03:36.528400,"(11.0, 19.5, 16.318181818181817)","(13.0, 19.0, 16.333333333333332)","(16.0, 27.0, 25.333333333333332)","(12.0, 19.0, 18.714285714285715)","(9.0, 15.5, 14.227272727272727)","(2.6, 3.2, 3.1892857142857145)","(1.01, 99999, 99990)","(16.0, 55.0, 26.22222222222222)","(2.45, 2.6, 2.5513513513513515)"
15-12-2022 11:03:37.906419,"(11.0, 19.5, 16.318181818181817)","(13.0, 19.0, 16.333333333333332)","(16.0, 27.0, 25.333333333333332)","(12.0, 19.0, 18.714285714285715)","(9.0, 15.5, 14.676470588235293)","(2.6, 3.2, 3.1892857142857145)","(1.01, 99999, 99990)","(16.0, 60.0, 25.333333333333332)","(2.45, 2.6, 2.5544827586206895)"
15-12-2022 11:03:39.376143,"(11.0, 19.5, 16.318181818181817)","(13.0, 19.0, 18.571428571428573)","(16.0, 27.0, 25.6)","(12.0, 19.0, 18.333333333333332)","(9.0, 15.5, 14.5)","(2.6, 3.2, 3.186666666666667)","(1.01, 99999, 99990)","(16.0, 60.0, 24.444444444444443)","(2.45, 2.56, 2.5544827586206895)"
15-12-2022 11:03:40.760337,"(11.0, 19.5, 16.53846153846154)","(13.0, 20.0, 18.0)","(16.0, 27.0, 26.0)","(12.0, 19.0, 18.333333333333332)","(9.0, 15.5, 14.75)","(2.6, 3.2, 3.2285714285714286)","(1.01, 99999, 99990)","(16.0, 60.0, 36.285714285714285)","(2.45, 2.56, 2.534)"
15-12-2022 11:03:42.167270,"(11.0, 19.5, 16.7)","(13.0, 20.0, 18.0)","(16.0, 29.0, 26.0)","(12.0, 19.0, 18.333333333333332)","(9.0, 15.5, 14.75)","(2.6, 3.25, 3.2285714285714286)","(1.01, 99999, 99990)","(16.0, 60.0, 36.285714285714285)","(2.45, 2.54, 2.536)"
15-12-2022 11:03:43.426376,"(11.0, 19.5, 16.7)","(13.0, 20.0, 16.666666666666668)","(16.0, 29.0, 26.0)","(12.0, 19.0, 18.875)","(9.0, 15.5, 14.75)","(2.6, 3.25, 3.09)","(1.01, 99999, 99990)","(16.0, 60.0, 34.46153846153847)","(2.4, 2.54, 2.50875)"
15-12-2022 11:03:44.671795,"(11.0, 19.5, 16.7)","(13.0, 20.0, 16.666666666666668)","(17.0, 29.0, 24.235294117647058)","(12.0, 19.0, 18.875)","(9.0, 15.5, 14.75)","(2.6, 3.45, 3.376470588235294)","(1.01, 99999, 99990)","(16.0, 60.0, 34.46153846153847)","(2.4, 2.54, 2.508421052631579)"
15-12-2022 11:03:45.924914,"(11.0, 19.5, 16.7)","(13.0, 20.0, 16.666666666666668)","(17.0, 29.0, 24.235294117647058)","(12.0, 19.0, 18.875)","(9.0, 15.5, 14.75)","(2.6, 3.4, 3.26875)","(1.01, 99999, 99990)","(16.0, 60.0, 23.555555555555557)","(2.4, 2.54, 2.5005882352941176)"
15-12-2022 11:03:47.121271,"(11.0, 19.5, 16.7)","(13.0, 20.0, 16.666666666666668)","(17.0, 29.0, 24.235294117647058)","(12.0, 19.0, 18.5)","(9.0, 15.5, 14.75)","(2.6, 3.35, 3.2385714285714284)","(1.01, 99999, 99990)","(16.0, 60.0, 23.555555555555557)","(2.4, 2.52, 2.5026315789473683)"
15-12-2022 11:03:48.263230,"(11.0, 19.5, 16.7)","(13.0, 20.0, 16.666666666666668)","(17.0, 29.0, 24.235294117647058)","(12.0, 19.0, 18.875)","(9.0, 15.5, 14.75)","(2.6, 3.35, 3.2385714285714284)","(1.01, 99999, 99990)","(16.0, 60.0, 23.555555555555557)","(2.4, 2.52, 2.5026315789473683)"
15-12-2022 11:03:49.449930,"(11.0, 19.5, 16.7)","(13.0, 20.0, 16.0)","(17.0, 29.0, 24.235294117647058)","(12.0, 19.0, 18.875)","(9.0, 15.5, 14.75)","(2.6, 3.25, 3.183333333333333)","(1.01, 99999, 99990)","(16.0, 60.0, 27.11111111111111)","(2.4, 2.52, 2.505)"
15-12-2022 11:03:50.630881,"(11.0, 19.5, 17.029411764705884)","(13.0, 19.5, 17.142857142857142)","(17.0, 29.0, 24.235294117647058)","(12.0, 18.0, 16.94736842105263)","(9.0, 15.5, 14.75)","(2.6, 3.25, 3.338)","(1.01, 99999, 99990)","(16.0, 60.0, 34.46153846153847)","(2.4, 2.52, 2.475)"
15-12-2022 11:03:51.871255,"(11.0, 19.5, 16.7)","(13.0, 19.5, 15.692307692307692)","(17.0, 29.0, 24.235294117647058)","(12.0, 18.0, 16.94736842105263)","(9.0, 15.5, 14.75)","(2.6, 3.35, 3.3125)","(1.01, 99999, 99990)","(16.0, 60.0, 34.46153846153847)","(2.4, 2.52, 2.4776470588235293)"
