,Caramel Toffee,Aglot,Premium Star,Runaway Kiss,Borgov,Freddy Barbarossa,Simply Beans,Harlow Queen,Redavni,Springs Gift,Minokawa,Bogan Princess,Dominant Rose,Sheez Bean Talkin,Mersey Girl
07-01-2023 16:19:07.984539,"(51.0, 130.0, 109.0)","(41.0, 65.0, 64.16666666666667)","(15.0, 22.0, 21.555555555555557)","(31.0, 50.0, 42.769230769230774)","(17.0, 21.0, 19.977272727272727)","(18.0, 27.0, 26.875)","(3.7, 4.3, 4.188990825688074)","(17.0, 24.0, 22.16417910447761)","(26.0, 40.0, 37.81818181818182)","(41.0, 65.0, 62.69230769230769)","(2.15, 2.46, 2.4479032258064515)","(26.0, 40.0, 38.11764705882353)","(21.0, 40.0, 37.77777777777778)","(31.0, 95.0, 76.25)","(101.0, 380.0, 340.0)"
07-01-2023 16:19:10.050304,"(51.0, 130.0, 103.75)","(51.0, 65.0, 62.333333333333336)","(16.0, 22.0, 21.441176470588236)","(31.0, 46.0, 40.588235294117645)","(17.0, 21.0, 20.210526315789473)","(19.0, 27.0, 26.304347826086957)","(3.6, 4.2, 4.184347826086957)","(17.0, 24.0, 22.16417910447761)","(31.0, 40.0, 37.1764705882353)","(51.0, 55.0, 50.93023255813954)","(2.1, 2.46, 2.4506666666666668)","(31.0, 40.0, 37.89473684210526)","(26.0, 40.0, 37.333333333333336)","(41.0, 95.0, 76.25)","(101.0, 370.0, 282.0)"
07-01-2023 16:19:12.271313,"(51.0, 130.0, 103.75)","(51.0, 65.0, 64.0)","(16.0, 22.0, 21.384615384615383)","(31.0, 42.0, 34.0)","(17.0, 21.0, 20.333333333333332)","(19.0, 27.0, 26.304347826086957)","(3.6, 4.2, 4.186046511627907)","(17.0, 24.0, 22.16417910447761)","(31.0, 40.0, 37.27272727272727)","(51.0, 55.0, 50.851063829787236)","(2.1, 2.48, 2.474285714285714)","(31.0, 40.0, 37.89473684210526)","(26.0, 40.0, 37.77777777777778)","(41.0, 95.0, 80.0)","(101.0, 360.0, 276.6666666666667)"
07-01-2023 16:19:14.559680,"(51.0, 130.0, 103.75)","(51.0, 65.0, 64.0)","(16.0, 22.0, 20.642857142857142)","(31.0, 40.0, 35.78947368421053)","(17.0, 21.0, 20.57547169811321)","(19.0, 27.0, 26.304347826086957)","(3.6, 4.2, 4.220441988950276)","(17.0, 24.0, 22.16417910447761)","(26.0, 38.0, 37.27272727272727)","(51.0, 55.0, 46.55172413793103)","(2.1, 2.48, 2.4743396226415095)","(31.0, 40.0, 37.89473684210526)","(26.0, 40.0, 37.77777777777778)","(31.0, 95.0, 80.0)","(101.0, 340.0, 271.42857142857144)"
07-01-2023 16:19:17.156023,"(51.0, 130.0, 121.25)","(51.0, 65.0, 64.83870967741936)","(16.0, 21.0, 20.952380952380953)","(31.0, 38.0, 36.857142857142854)","(17.0, 21.0, 20.64)","(19.0, 27.0, 26.25)","(3.6, 4.3, 4.058878504672897)","(17.0, 24.0, 22.16417910447761)","(26.0, 38.0, 37.27272727272727)","(51.0, 48.0, 47.14285714285714)","(2.1, 2.48, 2.4472727272727273)","(31.0, 42.0, 41.357142857142854)","(26.0, 40.0, 37.77777777777778)","(41.0, 95.0, 85.625)","(101.0, 320.0, 300.0)"
07-01-2023 16:19:19.512793,"(51.0, 130.0, 121.25)","(51.0, 65.0, 64.85714285714286)","(16.0, 21.0, 20.952380952380953)","(31.0, 38.0, 36.5)","(17.0, 21.0, 20.444444444444443)","(19.0, 27.0, 26.25)","(3.6, 4.1, 4.055102040816326)","(17.0, 24.0, 22.16417910447761)","(26.0, 38.0, 36.666666666666664)","(51.0, 48.0, 45.63636363636364)","(2.1, 2.48, 2.4495652173913043)","(31.0, 42.0, 41.76)","(26.0, 40.0, 37.77777777777778)","(41.0, 95.0, 76.25)","(101.0, 320.0, 316.0)"
07-01-2023 16:19:21.728481,"(51.0, 130.0, 117.14285714285714)","(51.0, 65.0, 64.85714285714286)","(16.0, 21.0, 20.952380952380953)","(31.0, 38.0, 36.5)","(17.0, 21.0, 20.444444444444443)","(19.0, 27.0, 26.25)","(3.6, 4.1, 4.055102040816326)","(17.0, 24.0, 22.16417910447761)","(26.0, 38.0, 36.666666666666664)","(41.0, 46.0, 45.63636363636364)","(2.1, 2.48, 2.4357894736842103)","(31.0, 42.0, 41.76)","(26.0, 40.0, 37.77777777777778)","(41.0, 95.0, 77.5)","(101.0, 400.0, 292.5)"
07-01-2023 16:19:24.201961,"(51.0, 130.0, 117.14285714285714)","(51.0, 65.0, 69.71428571428571)","(16.0, 21.0, 20.037037037037038)","(31.0, 38.0, 34.57142857142857)","(17.0, 21.0, 20.347826086956523)","(19.0, 27.0, 26.25)","(3.6, 4.1, 4.055102040816326)","(17.0, 24.0, 22.267605633802816)","(26.0, 38.0, 36.666666666666664)","(41.0, 46.0, 47.0)","(2.1, 2.48, 2.4357894736842103)","(31.0, 42.0, 41.77358490566038)","(26.0, 40.0, 37.77777777777778)","(41.0, 85.0, 72.27272727272727)","(101.0, 360.0, 326.6666666666667)"
07-01-2023 16:19:26.556697,"(51.0, 130.0, 117.14285714285714)","(51.0, 70.0, 71.78571428571429)","(16.0, 21.0, 20.36)","(31.0, 38.0, 33.6)","(17.0, 22.0, 20.347826086956523)","(19.0, 27.0, 26.875)","(3.6, 4.1, 4.0516483516483515)","(17.0, 24.0, 22.267605633802816)","(26.0, 38.0, 36.666666666666664)","(41.0, 48.0, 47.38461538461539)","(2.1, 2.48, 2.44)","(31.0, 42.0, 41.77358490566038)","(26.0, 42.0, 37.6)","(41.0, 80.0, 71.0)","(101.0, 350.0, 300.0)"
07-01-2023 16:19:28.594994,"(51.0, 130.0, 112.85714285714286)","(51.0, 75.0, 71.625)","(16.0, 21.0, 20.36842105263158)","(31.0, 36.0, 33.6)","(17.0, 22.0, 20.347826086956523)","(19.0, 27.0, 26.875)","(3.6, 4.1, 4.0488372093023255)","(17.0, 24.0, 22.267605633802816)","(26.0, 38.0, 36.666666666666664)","(41.0, 48.0, 47.38461538461539)","(2.1, 2.48, 2.4682926829268292)","(31.0, 42.0, 41.77358490566038)","(26.0, 42.0, 37.714285714285715)","(41.0, 75.0, 70.71428571428571)","(101.0, 330.0, 276.6666666666667)"
07-01-2023 16:19:30.728720,"(51.0, 130.0, 112.85714285714286)","(51.0, 75.0, 71.53846153846153)","(16.0, 21.0, 19.891304347826086)","(31.0, 36.0, 35.75)","(17.0, 22.0, 20.73170731707317)","(19.0, 27.0, 26.875)","(3.6, 4.1, 4.045679012345679)","(17.0, 24.0, 22.16417910447761)","(26.0, 38.0, 36.588235294117645)","(41.0, 48.0, 47.74193548387097)","(2.1, 2.48, 2.46)","(31.0, 44.0, 42.0)","(26.0, 42.0, 37.714285714285715)","(41.0, 75.0, 70.71428571428571)","(101.0, 330.0, 276.6666666666667)"
07-01-2023 16:19:32.831563,"(61.0, 130.0, 118.57142857142857)","(51.0, 75.0, 68.33333333333333)","(16.0, 21.0, 20.444444444444443)","(31.0, 38.0, 34.8)","(17.0, 22.0, 21.35593220338983)","(19.0, 27.0, 26.857142857142858)","(3.6, 4.1, 3.9696428571428575)","(17.0, 24.0, 22.56140350877193)","(26.0, 38.0, 36.5)","(41.0, 48.0, 46.666666666666664)","(2.1, 2.46, 2.449433962264151)","(31.0, 44.0, 42.666666666666664)","(26.0, 42.0, 39.142857142857146)","(41.0, 75.0, 72.27272727272727)","(101.0, 400.0, 306.6666666666667)"
07-01-2023 16:19:35.093943,"(61.0, 130.0, 126.25)","(51.0, 70.0, 68.33333333333333)","(16.0, 21.0, 20.586206896551722)","(31.0, 36.0, 34.666666666666664)","(17.0, 22.0, 21.634615384615383)","(19.0, 27.0, 26.857142857142858)","(3.6, 4.0, 3.9603333333333333)","(17.0, 24.0, 22.56140350877193)","(26.0, 38.0, 36.5)","(41.0, 48.0, 47.0)","(2.1, 2.46, 2.449433962264151)","(31.0, 44.0, 43.75)","(26.0, 42.0, 38.72727272727273)","(41.0, 75.0, 71.25)","(101.0, 370.0, 310.0)"
07-01-2023 16:19:37.459250,"(61.0, 130.0, 126.25)","(51.0, 70.0, 67.5)","(16.0, 21.0, 20.586206896551722)","(31.0, 38.0, 34.5)","(17.0, 22.0, 21.634615384615383)","(19.0, 27.0, 26.857142857142858)","(3.6, 4.0, 4.0725)","(17.0, 24.0, 22.56140350877193)","(26.0, 38.0, 36.5)","(41.0, 50.0, 47.0)","(2.1, 2.46, 2.44625)","(31.0, 44.0, 43.75)","(26.0, 42.0, 38.72727272727273)","(41.0, 75.0, 71.25)","(101.0, 360.0, 305.0)"
07-01-2023 16:19:39.410470,"(51.0, 130.0, 126.25)","(51.0, 70.0, 67.5)","(16.0, 21.0, 20.625)","(31.0, 38.0, 34.888888888888886)","(17.0, 22.0, 21.7)","(19.0, 27.0, 26.9)","(3.6, 4.1, 4.018939393939394)","(17.0, 24.0, 22.291666666666668)","(26.0, 38.0, 34.588235294117645)","(41.0, 50.0, 47.6)","(2.1, 2.46, 2.435047619047619)","(31.0, 44.0, 43.833333333333336)","(26.0, 42.0, 38.72727272727273)","(41.0, 75.0, 73.33333333333333)","(101.0, 340.0, 310.0)"
07-01-2023 16:19:41.465106,"(61.0, 130.0, 126.25)","(51.0, 70.0, 67.5)","(16.0, 21.0, 20.625)","(26.0, 38.0, 34.666666666666664)","(17.0, 22.0, 21.702970297029704)","(19.0, 27.0, 26.928571428571427)","(3.5, 4.1, 4.017006802721088)","(17.0, 24.0, 22.291666666666668)","(26.0, 36.0, 34.285714285714285)","(41.0, 50.0, 47.6)","(2.1, 2.44, 2.452258064516129)","(31.0, 44.0, 43.833333333333336)","(26.0, 42.0, 38.72727272727273)","(41.0, 75.0, 73.33333333333333)","(101.0, 340.0, 288.3333333333333)"
07-01-2023 16:19:43.514253,"(61.0, 130.0, 126.25)","(51.0, 70.0, 67.5)","(16.0, 21.0, 19.9375)","(26.0, 38.0, 34.666666666666664)","(17.0, 22.0, 21.225806451612904)","(19.0, 27.0, 26.90909090909091)","(3.5, 4.1, 4.13948717948718)","(17.0, 24.0, 22.177777777777777)","(26.0, 36.0, 33.05263157894737)","(41.0, 50.0, 48.0)","(2.1, 2.46, 2.4343749999999997)","(31.0, 44.0, 43.75)","(26.0, 42.0, 38.72727272727273)","(41.0, 75.0, 73.33333333333333)","(101.0, 400.0, 320.0)"
07-01-2023 16:19:45.378837,"(61.0, 130.0, 126.25)","(51.0, 70.0, 67.5)","(16.0, 21.0, 20.227272727272727)","(26.0, 38.0, 34.666666666666664)","(17.0, 22.0, 21.225806451612904)","(19.0, 27.0, 26.90909090909091)","(3.5, 4.4, 4.155445544554455)","(17.0, 24.0, 22.136363636363637)","(26.0, 36.0, 33.1578947368421)","(41.0, 55.0, 49.0)","(2.1, 2.46, 2.4312676056338027)","(31.0, 44.0, 43.77777777777778)","(26.0, 42.0, 39.3)","(41.0, 75.0, 73.84615384615384)","(101.0, 380.0, 330.0)"
07-01-2023 16:19:47.344887,"(61.0, 130.0, 126.25)","(51.0, 70.0, 67.5)","(16.0, 21.0, 20.227272727272727)","(26.0, 38.0, 37.096774193548384)","(17.0, 22.0, 21.25)","(19.0, 27.0, 26.90909090909091)","(3.5, 4.2, 4.121130952380952)","(17.0, 24.0, 22.136363636363637)","(26.0, 36.0, 32.72727272727273)","(41.0, 50.0, 52.57692307692308)","(2.1, 2.46, 2.4295238095238094)","(31.0, 44.0, 43.77777777777778)","(26.0, 42.0, 39.3)","(41.0, 75.0, 73.84615384615384)","(101.0, 370.0, 325.0)"
07-01-2023 16:19:49.246640,"(61.0, 130.0, 126.25)","(51.0, 70.0, 67.5)","(16.0, 21.0, 20.227272727272727)","(26.0, 38.0, 37.096774193548384)","(17.0, 22.0, 21.25)","(19.0, 27.0, 26.90909090909091)","(3.5, 4.2, 4.1281842818428185)","(17.0, 24.0, 22.115384615384617)","(26.0, 36.0, 33.333333333333336)","(41.0, 55.0, 51.7)","(2.1, 2.44, 2.4295238095238094)","(31.0, 44.0, 43.857142857142854)","(26.0, 42.0, 38.75)","(41.0, 95.0, 83.15789473684211)","(101.0, 360.0, 320.0)"
07-01-2023 16:19:51.169626,"(61.0, 130.0, 126.25)","(51.0, 70.0, 67.5)","(16.0, 21.0, 19.92105263157895)","(26.0, 38.0, 37.096774193548384)","(17.0, 22.0, 21.25)","(19.0, 27.0, 26.90909090909091)","(3.5, 4.2, 4.1431330472103)","(17.0, 24.0, 22.115384615384617)","(21.0, 34.0, 33.45454545454545)","(41.0, 55.0, 51.7)","(2.1, 2.44, 2.437860962566845)","(31.0, 44.0, 43.77777777777778)","(26.0, 42.0, 38.75)","(41.0, 95.0, 83.15789473684211)","(101.0, 340.0, 310.0)"
07-01-2023 16:19:53.058734,"(61.0, 130.0, 126.25)","(51.0, 70.0, 67.5)","(16.0, 20.0, 19.92105263157895)","(31.0, 38.0, 37.096774193548384)","(17.0, 22.0, 21.25)","(19.0, 27.0, 26.9)","(3.5, 4.2, 4.1431330472103)","(17.0, 24.0, 22.115384615384617)","(21.0, 34.0, 33.42857142857143)","(41.0, 55.0, 51.7)","(2.1, 2.46, 2.439090909090909)","(31.0, 44.0, 43.77777777777778)","(26.0, 40.0, 38.93333333333333)","(41.0, 95.0, 83.15789473684211)","(101.0, 330.0, 305.0)"
07-01-2023 16:19:54.806576,"(61.0, 130.0, 128.8)","(51.0, 70.0, 67.5)","(16.0, 20.0, 19.92105263157895)","(31.0, 38.0, 35.92)","(17.0, 22.0, 21.35135135135135)","(19.0, 27.0, 26.9)","(3.5, 4.2, 4.1431330472103)","(17.0, 24.0, 22.115384615384617)","(21.0, 34.0, 33.07692307692308)","(41.0, 55.0, 51.7)","(2.1, 2.46, 2.434942528735632)","(31.0, 44.0, 43.77777777777778)","(26.0, 40.0, 38.666666666666664)","(41.0, 95.0, 83.15789473684211)","(101.0, 330.0, 288.3333333333333)"
07-01-2023 16:19:56.473746,"(61.0, 130.0, 128.8)","(51.0, 70.0, 67.5)","(16.0, 20.0, 19.914285714285715)","(31.0, 36.0, 34.5)","(17.0, 22.0, 21.342105263157894)","(19.0, 27.0, 26.9)","(3.5, 4.2, 4.140582959641256)","(17.0, 24.0, 22.115384615384617)","(21.0, 34.0, 32.0)","(41.0, 55.0, 51.19230769230769)","(2.1, 2.44, 2.4334065934065934)","(31.0, 44.0, 43.77777777777778)","(26.0, 40.0, 38.666666666666664)","(41.0, 95.0, 80.0)","(101.0, 330.0, 295.0)"
07-01-2023 16:19:58.279990,"(61.0, 130.0, 128.8)","(51.0, 70.0, 68.33333333333333)","(16.0, 20.0, 19.863636363636363)","(31.0, 36.0, 32.46153846153846)","(17.0, 22.0, 21.342105263157894)","(19.0, 27.0, 26.857142857142858)","(3.5, 4.2, 4.140582959641256)","(17.0, 24.0, 22.04)","(21.0, 34.0, 32.0)","(41.0, 55.0, 51.19230769230769)","(2.1, 2.44, 2.426206896551724)","(31.0, 44.0, 43.77777777777778)","(26.0, 40.0, 38.666666666666664)","(41.0, 95.0, 78.92857142857143)","(101.0, 390.0, 292.22222222222223)"
07-01-2023 16:20:00.096630,"(61.0, 130.0, 136.92307692307693)","(51.0, 70.0, 68.57142857142857)","(16.0, 20.0, 19.884615384615383)","(31.0, 34.0, 31.307692307692307)","(17.0, 22.0, 21.1875)","(19.0, 27.0, 26.857142857142858)","(3.5, 4.2, 4.1431330472103)","(17.0, 24.0, 22.04)","(21.0, 34.0, 32.0)","(41.0, 55.0, 50.88235294117647)","(2.1, 2.46, 2.4384375)","(31.0, 44.0, 43.38461538461539)","(26.0, 40.0, 38.666666666666664)","(41.0, 95.0, 78.92857142857143)","(101.0, 390.0, 325.0)"
07-01-2023 16:20:01.844942,"(61.0, 140.0, 136.92307692307693)","(51.0, 70.0, 59.5)","(16.0, 20.0, 19.772727272727273)","(31.0, 34.0, 31.714285714285715)","(17.0, 22.0, 19.904255319148938)","(19.0, 27.0, 26.857142857142858)","(3.5, 4.2, 4.1431330472103)","(17.0, 24.0, 22.04)","(21.0, 34.0, 32.0)","(41.0, 55.0, 51.81818181818182)","(2.1, 2.46, 2.4289320388349513)","(31.0, 44.0, 43.38461538461539)","(26.0, 40.0, 37.904761904761905)","(41.0, 95.0, 78.92857142857143)","(101.0, 360.0, 320.0)"
07-01-2023 16:20:03.505533,"(61.0, 140.0, 136.92307692307693)","(51.0, 60.0, 59.0)","(16.0, 21.0, 19.857142857142858)","(26.0, 34.0, 32.75)","(17.0, 20.0, 19.904255319148938)","(19.0, 27.0, 26.857142857142858)","(3.5, 4.2, 4.1431330472103)","(17.0, 24.0, 22.04)","(21.0, 34.0, 32.0)","(41.0, 55.0, 52.2)","(2.1, 2.46, 2.445974025974026)","(31.0, 44.0, 43.38461538461539)","(26.0, 40.0, 37.904761904761905)","(41.0, 95.0, 78.92857142857143)","(101.0, 360.0, 315.0)"
07-01-2023 16:20:05.148680,"(61.0, 140.0, 137.6)","(51.0, 60.0, 59.0)","(16.0, 20.0, 20.152173913043477)","(26.0, 34.0, 33.6)","(17.0, 20.0, 19.904255319148938)","(19.0, 27.0, 26.857142857142858)","(3.5, 4.2, 4.1431330472103)","(17.0, 24.0, 22.013513513513512)","(21.0, 34.0, 31.5)","(41.0, 55.0, 52.2)","(2.1, 2.46, 2.440384615384615)","(31.0, 44.0, 43.38461538461539)","(26.0, 40.0, 37.904761904761905)","(41.0, 95.0, 78.92857142857143)","(101.0, 410.0, 312.5)"
07-01-2023 16:20:06.812962,"(61.0, 140.0, 137.6)","(51.0, 60.0, 59.0)","(16.0, 21.0, 19.818181818181817)","(26.0, 34.0, 33.6)","(17.0, 20.0, 19.952380952380953)","(19.0, 27.0, 26.90909090909091)","(3.5, 4.2, 4.1431330472103)","(17.0, 24.0, 21.974025974025974)","(21.0, 34.0, 31.5)","(41.0, 55.0, 52.2)","(2.1, 2.46, 2.4398019801980197)","(31.0, 44.0, 42.93333333333333)","(26.0, 40.0, 37.904761904761905)","(41.0, 95.0, 78.92857142857143)","(101.0, 410.0, 350.0)"
07-01-2023 16:20:08.572184,"(61.0, 140.0, 137.6)","(51.0, 60.0, 59.0)","(16.0, 20.0, 21.776315789473685)","(26.0, 34.0, 33.6)","(17.0, 20.0, 19.952380952380953)","(19.0, 27.0, 26.90909090909091)","(3.5, 4.2, 4.1431330472103)","(17.0, 24.0, 21.974025974025974)","(21.0, 34.0, 31.272727272727273)","(41.0, 55.0, 52.2)","(2.1, 2.46, 2.4335064935064934)","(31.0, 44.0, 42.93333333333333)","(26.0, 40.0, 37.904761904761905)","(41.0, 95.0, 78.92857142857143)","(101.0, 400.0, 300.0)"
07-01-2023 16:20:10.212108,"(61.0, 140.0, 137.6)","(51.0, 60.0, 59.0)","(16.0, 22.0, 21.776315789473685)","(26.0, 34.0, 33.6)","(17.0, 20.0, 19.931818181818183)","(19.0, 27.0, 26.90909090909091)","(3.5, 4.2, 4.140582959641256)","(17.0, 24.0, 21.833333333333332)","(21.0, 34.0, 31.272727272727273)","(41.0, 55.0, 52.2)","(2.1, 2.46, 2.4370491803278687)","(31.0, 44.0, 42.93333333333333)","(26.0, 40.0, 37.904761904761905)","(41.0, 95.0, 78.92857142857143)","(101.0, 400.0, 330.0)"
07-01-2023 16:20:11.934123,"(61.0, 140.0, 137.6)","(51.0, 60.0, 58.333333333333336)","(16.0, 22.0, 21.75)","(26.0, 34.0, 33.6)","(17.0, 20.0, 19.931818181818183)","(19.0, 27.0, 26.90909090909091)","(3.5, 4.2, 4.141885964912281)","(17.0, 24.0, 21.833333333333332)","(21.0, 34.0, 31.272727272727273)","(41.0, 55.0, 52.5)","(2.1, 2.46, 2.4346478873239437)","(31.0, 44.0, 43.2)","(26.0, 40.0, 37.904761904761905)","(41.0, 95.0, 78.92857142857143)","(101.0, 380.0, 298.0)"
07-01-2023 16:20:13.566000,"(61.0, 140.0, 137.6)","(51.0, 60.0, 59.0)","(16.0, 22.0, 21.75)","(26.0, 34.0, 33.6)","(17.0, 20.0, 19.930232558139537)","(19.0, 27.0, 26.90909090909091)","(3.5, 4.2, 4.141885964912281)","(17.0, 24.0, 21.833333333333332)","(21.0, 34.0, 31.272727272727273)","(41.0, 55.0, 52.5)","(2.1, 2.46, 2.4346478873239437)","(31.0, 44.0, 43.2)","(26.0, 40.0, 37.904761904761905)","(41.0, 95.0, 78.92857142857143)","(101.0, 370.0, 298.0)"
07-01-2023 16:20:15.274708,"(61.0, 140.0, 137.6)","(51.0, 60.0, 59.166666666666664)","(16.0, 23.0, 22.272727272727273)","(26.0, 34.0, 33.6)","(17.0, 20.0, 19.933333333333334)","(19.0, 27.0, 26.9375)","(3.5, 4.2, 4.1431330472103)","(17.0, 24.0, 22.5)","(21.0, 34.0, 31.272727272727273)","(41.0, 55.0, 52.58620689655172)","(2.1, 2.46, 2.430833333333333)","(31.0, 44.0, 43.2)","(26.0, 40.0, 37.904761904761905)","(41.0, 95.0, 78.92857142857143)","(101.0, 360.0, 291.6666666666667)"
07-01-2023 16:20:16.917165,"(61.0, 140.0, 137.6)","(51.0, 60.0, 58.75)","(16.0, 23.0, 22.304347826086957)","(26.0, 34.0, 33.6)","(17.0, 20.0, 20.1)","(19.0, 27.0, 26.9375)","(3.5, 4.2, 4.1431330472103)","(17.0, 23.0, 22.5)","(21.0, 34.0, 31.272727272727273)","(41.0, 55.0, 52.58620689655172)","(2.1, 2.46, 2.4276470588235295)","(31.0, 44.0, 43.2)","(26.0, 40.0, 37.904761904761905)","(41.0, 95.0, 83.15789473684211)","(101.0, 330.0, 305.0)"
