,Rockin Charmer,Miss Daphne,Iamnopet,Rakareplay Nz,Rockinthecity,Officially Shady,Miyagi Boy
14-12-2022 13:34:13.032849,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:14.485936,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:15.648595,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:16.827081,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.5)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:18.054203,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:19.339855,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:20.740659,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:22.302678,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.85)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.87)"
14-12-2022 13:34:23.753605,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.85)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.87)"
14-12-2022 13:34:25.362802,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.85)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.87)"
14-12-2022 13:34:27.027536,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.85)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.87)"
14-12-2022 13:34:28.424666,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.85)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.87)"
14-12-2022 13:34:29.808820,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.85)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.87)"
14-12-2022 13:34:31.135360,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:32.412887,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:33.671645,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:34.980522,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:36.205889,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:37.445026,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:39.047916,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:40.400619,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:41.726263,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:43.106559,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:44.410546,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.85)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.87)"
14-12-2022 13:34:45.825162,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.85)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.87)"
14-12-2022 13:34:47.093119,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:48.368489,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:49.599686,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:50.943896,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:52.185996,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:53.458518,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:54.667120,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:55.892272,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:57.133880,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:58.450186,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:59.722045,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:35:01.053094,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:35:02.294122,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 10.15)","(6.0, 99999, 99990)","(4.0, 6.0, 5.766666666666667)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.93)"
14-12-2022 13:35:03.586995,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 11.5, 10.15)","(6.0, 99999, 99990)","(4.0, 5.9, 5.766666666666667)","(17.0, 25.0, 23.75)","(1.6, 1.99, 1.8451724137931036)"
14-12-2022 13:35:04.945964,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 11.5, 10.933333333333334)","(6.0, 99999, 99990)","(4.0, 5.9, 5.766666666666667)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:06.195885,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.866666666666667)","(6.0, 99999, 99990)","(4.0, 5.9, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:07.500753,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 10.033333333333333)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:08.859627,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.5, 10.033333333333333)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:10.290128,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.5, 9.866666666666667)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:11.613293,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.533333333333333)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:12.906032,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 11.0, 10.15)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:14.096206,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 11.5, 10.15)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:15.265337,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:16.525810,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:18.053879,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:19.449561,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:20.682444,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:21.861314,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:23.091863,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:24.482339,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:25.909591,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:27.247291,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:28.751167,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:30.194364,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:31.571302,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:32.895817,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:34.121190,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:35.192301,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:36.215907,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:37.227034,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:38.304918,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:39.763862,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:41.011162,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:42.253431,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:43.334735,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:44.482951,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:45.582964,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:46.757693,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:47.901954,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:49.160049,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:50.174765,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:51.154193,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:52.202952,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:53.208197,"(31.0, 48.0, 45.714285714285715)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 23.75)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:54.322643,"(31.0, 48.0, 43.333333333333336)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 25.0, 22.8)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:55.627360,"(31.0, 48.0, 43.333333333333336)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 26.0, 31.5)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:56.732456,"(31.0, 48.0, 43.333333333333336)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 36.0, 27.6)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:57.715612,"(31.0, 48.0, 43.333333333333336)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 34.0, 26.4)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:35:59.064460,"(31.0, 48.0, 43.333333333333336)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 32.0, 26.4)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:36:00.193613,"(31.0, 48.0, 43.333333333333336)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 32.0, 25.2)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:36:01.289734,"(31.0, 48.0, 43.333333333333336)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 30.0, 25.2)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:36:02.540371,"(31.0, 48.0, 43.333333333333336)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 30.0, 25.2)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:36:03.637202,"(31.0, 48.0, 43.333333333333336)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 30.0, 25.2)","(1.6, 1.98, 1.8170833333333334)"
14-12-2022 13:36:04.941503,"(31.0, 48.0, 43.333333333333336)","(31.0, 48.0, 44.0)","(7.5, 11.5, 9.700000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.733333333333333)","(17.0, 30.0, 25.2)","(1.6, 1.98, 1.8170833333333334)"
