,Lonely Gemma,Ryders Ambition,Lets Go Yoyo,Chanelle,Clarks A Lark,Homebush Sparkle,Rowdys Monster,Goldstar Vargas
16-12-2022 10:45:57.340907,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:58.349926,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:59.372012,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:00.492828,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:01.522865,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:02.608804,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:03.673031,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:04.715984,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:05.789891,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:06.875109,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:07.925317,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:08.969053,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:09.958158,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:11.009524,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:12.104169,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:13.221533,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:14.296828,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:15.341955,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:16.284344,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:17.309730,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:18.319107,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:19.351738,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:20.416811,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:21.572234,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:22.725179,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:23.771592,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:24.766226,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:25.788591,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:26.801523,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:27.830627,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:28.799517,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:29.828875,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:30.856000,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:31.929644,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:33.068952,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:34.230235,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:35.474184,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:36.559032,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:37.620885,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:38.646631,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:39.717946,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:40.794338,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:41.918254,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:43.033704,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:44.247567,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:45.350257,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:46.428604,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:47.525595,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:48.708595,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:49.781290,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:50.831347,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:51.842532,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:52.970697,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:54.071948,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:55.120964,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:56.302939,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:57.499241,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:58.709410,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:46:59.868490,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:47:01.001002,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:47:02.124278,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:47:03.356715,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:47:04.451954,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:47:05.542879,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:47:06.586265,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:47:07.726778,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:47:08.871683,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:47:09.954358,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:47:11.096897,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:47:12.304618,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.16)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
