,Saganaki Kid,Trenzalore,Dewana Burger,Trending Zari,Dirt Farmer,Darnum Diva,Osprey Athena
04-01-2023 13:28:53.464009,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 5.569230769230769)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 1.9678260869565216)"
04-01-2023 13:28:54.654272,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 29.81818181818182)","(1.85, 2.8, 2.017)"
04-01-2023 13:28:55.828190,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 29.81818181818182)","(1.85, 2.8, 2.017)"
04-01-2023 13:28:57.115032,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 29.81818181818182)","(1.85, 2.8, 2.017)"
04-01-2023 13:28:58.467778,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 29.81818181818182)","(1.85, 2.8, 2.017)"
04-01-2023 13:28:59.705844,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 29.81818181818182)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:00.956689,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 29.81818181818182)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:02.164134,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 29.81818181818182)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:03.275236,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 29.81818181818182)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:04.257070,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:05.249538,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:06.308592,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:07.462238,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:08.544693,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:09.676125,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:10.810862,"(17.0, 55.0, 27.0)","(51.0, 410.0, 206.66666666666666)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:11.903098,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:12.925520,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:13.970833,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:14.917921,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:15.914185,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:16.951131,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 6.177777777777777)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.017)"
04-01-2023 13:29:17.949103,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.989473684210527)","(3.8, 7.0, 4.365)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.2407142857142857)"
04-01-2023 13:29:19.012069,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.989473684210527)","(3.8, 7.0, 4.365)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.2407142857142857)"
04-01-2023 13:29:20.152363,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.989473684210527)","(3.8, 7.0, 4.365)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.8, 2.1276190476190475)"
04-01-2023 13:29:21.199305,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.989473684210527)","(3.8, 7.0, 4.365)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.1276190476190475)"
04-01-2023 13:29:22.275651,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.989473684210527)","(3.8, 7.0, 4.365)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.1276190476190475)"
04-01-2023 13:29:23.367108,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.989473684210527)","(3.8, 7.0, 4.365)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:24.479983,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.6923076923076925)","(3.8, 7.0, 4.365)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:25.535267,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.507692307692308)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:26.554100,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.821052631578947)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:27.575539,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.821052631578947)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:28.538884,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.821052631578947)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:29.491679,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:30.469600,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:31.452214,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:32.567938,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:33.602629,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:34.685247,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:35.791484,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:36.883981,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:37.882782,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:38.907865,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:39.848269,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:40.793322,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:41.756637,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:42.743779,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 5.786666666666667)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:43.766052,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.905263157894737)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:44.850227,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.905263157894737)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:45.897875,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.905263157894737)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:46.963561,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.905263157894737)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 31.666666666666664)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:48.070003,"(17.0, 55.0, 27.0)","(51.0, 410.0, 270.0)","(4.2, 7.6, 4.905263157894737)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:49.054576,"(17.0, 55.0, 38.75)","(51.0, 410.0, 228.0)","(4.2, 7.6, 4.905263157894737)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:49.984448,"(17.0, 55.0, 38.75)","(51.0, 410.0, 228.0)","(4.2, 7.6, 4.905263157894737)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:50.952528,"(17.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.905263157894737)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:51.946150,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.905263157894737)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:52.974317,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.905263157894737)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:54.068592,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.7368421052631575)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:55.182916,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.7368421052631575)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:56.274758,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.7368421052631575)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:57.431858,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.7368421052631575)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:58.510995,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.7368421052631575)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:29:59.573127,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.7368421052631575)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:30:00.670893,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.7368421052631575)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:30:01.684625,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.7368421052631575)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:30:02.632187,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.7368421052631575)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.4194871794871795)"
04-01-2023 13:30:03.573721,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.7368421052631575)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.448205128205128)"
04-01-2023 13:30:04.518664,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.666666666666666)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.448205128205128)"
04-01-2023 13:30:05.539740,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.666666666666666)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.448205128205128)"
04-01-2023 13:30:06.588037,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.666666666666666)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.448205128205128)"
04-01-2023 13:30:07.679404,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.666666666666666)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.101176470588235)"
04-01-2023 13:30:08.769905,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.666666666666666)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.101176470588235)"
04-01-2023 13:30:09.854983,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.666666666666666)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.101176470588235)"
04-01-2023 13:30:10.932507,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.666666666666666)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.101176470588235)"
04-01-2023 13:30:11.997733,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.666666666666666)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.101176470588235)"
04-01-2023 13:30:13.035981,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.666666666666666)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.101176470588235)"
04-01-2023 13:30:13.960014,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.666666666666666)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.101176470588235)"
04-01-2023 13:30:14.871256,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.666666666666666)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 11.966666666666667)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.101176470588235)"
04-01-2023 13:30:15.837039,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 4.905263157894737)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 12.245454545454546)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.101176470588235)"
04-01-2023 13:30:16.868581,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 5.272727272727273)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 12.245454545454546)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.101176470588235)"
04-01-2023 13:30:17.900980,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 5.272727272727273)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 12.245454545454546)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.101176470588235)"
04-01-2023 13:30:18.938071,"(18.0, 55.0, 38.75)","(51.0, 410.0, 241.8181818181818)","(4.2, 7.6, 5.272727272727273)","(3.8, 7.0, 4.3225)","(7.0, 13.5, 12.245454545454546)","(19.0, 60.0, 36.388888888888886)","(1.85, 2.76, 2.101176470588235)"
