,Duly Noted,Jumbo Ozaki,Dustin Diesel,Boys Night Out,Flying Zinger,Lauries Gem,Eve And Jan,Lees Bonus
10-01-2023 19:21:08.857413,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:09.946905,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:11.050549,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:12.167263,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:13.271697,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:14.362633,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:15.472851,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:16.621066,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:17.743581,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:18.887953,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:20.067679,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:21.205027,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:22.349749,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:23.421323,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:24.564437,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:25.687458,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:26.829492,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:27.843886,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:28.878807,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:29.898340,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:30.953456,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:32.060487,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:33.145834,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:34.131707,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:35.143353,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:36.241903,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:37.283961,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:38.268781,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:39.376355,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:40.481064,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:41.566257,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:42.664212,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:43.742230,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:44.865378,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:45.941351,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:47.124825,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:48.305587,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:49.399054,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:50.512611,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:21:51.584923,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:21:52.709581,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:21:53.862319,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:21:55.058925,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:21:56.211883,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:21:57.354079,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:21:58.528535,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:21:59.647901,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:00.784717,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:01.917826,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:03.053848,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:04.246510,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:05.450986,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:06.703248,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:07.855784,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:08.964517,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:10.112878,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:11.181253,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:12.310090,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:13.447514,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:14.573384,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:15.662781,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:16.772427,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:17.779047,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:18.815346,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:19.822076,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:20.861845,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:21.926749,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:22.904156,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:24.023708,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:25.176546,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:26.320038,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:27.400396,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:22:28.492090,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
