,Exceed And Collect,No Outcast,Outwitted,The Instructor,Ukiyoe,Firehouse,Imminance,Miss Sunshine,Nevada Showgirl,Within Sight
12-01-2023 16:35:57.679135,"(9.0, 12.5, 12.362745098039216)","(16.0, 25.0, 24.25)","(15.0, 25.0, 23.814814814814813)","(2.3, 2.6, 2.5773333333333333)","(11.0, 12.0, 11.671779141104295)","(5.5, 6.6, 6.456896551724138)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.216091954022989)","(41.0, 95.0, 86.42857142857143)","(19.0, 36.0, 34.75)"
12-01-2023 16:35:58.874909,"(9.0, 12.5, 12.362745098039216)","(16.0, 26.0, 24.2)","(15.0, 25.0, 23.814814814814813)","(2.3, 2.58, 2.5856603773584905)","(11.0, 12.0, 11.671779141104295)","(5.5, 6.6, 6.456896551724138)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.212865497076024)","(41.0, 95.0, 86.42857142857143)","(19.0, 36.0, 34.75)"
12-01-2023 16:36:00.451322,"(9.0, 12.5, 12.362745098039216)","(16.0, 26.0, 24.2)","(15.0, 25.0, 23.814814814814813)","(2.3, 2.6, 2.5384615384615383)","(11.0, 12.0, 11.671779141104295)","(5.5, 6.6, 6.461666666666667)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.24950495049505)","(41.0, 95.0, 87.5)","(19.0, 36.0, 38.0)"
12-01-2023 16:36:01.738437,"(9.0, 13.5, 13.307692307692308)","(16.0, 26.0, 24.2)","(15.0, 25.0, 24.157894736842106)","(2.3, 2.56, 2.5440677966101695)","(11.0, 12.0, 11.671779141104295)","(5.5, 6.6, 6.461666666666667)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.252427184466019)","(41.0, 95.0, 86.0)","(19.0, 40.0, 37.5)"
12-01-2023 16:36:03.078240,"(9.0, 14.0, 13.727272727272727)","(16.0, 26.0, 24.2)","(15.0, 25.0, 25.5)","(2.3, 2.56, 2.526666666666667)","(11.0, 12.0, 11.738255033557047)","(5.5, 6.6, 6.459677419354839)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.271052631578947)","(41.0, 95.0, 86.0)","(19.0, 40.0, 36.0)"
12-01-2023 16:36:04.309264,"(9.0, 14.0, 13.64864864864865)","(16.0, 26.0, 24.2)","(15.0, 26.0, 25.5)","(2.3, 2.54, 2.526666666666667)","(11.0, 12.0, 11.748251748251748)","(5.5, 6.6, 6.459677419354839)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.163855421686747)","(41.0, 95.0, 86.0)","(19.0, 40.0, 36.0)"
12-01-2023 16:36:05.658042,"(9.0, 14.5, 13.928571428571429)","(16.0, 26.0, 24.153846153846153)","(15.0, 26.0, 25.333333333333332)","(2.3, 2.54, 2.526666666666667)","(11.0, 12.0, 11.730519480519481)","(5.5, 6.6, 6.461666666666667)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.163855421686747)","(41.0, 95.0, 86.0)","(19.0, 40.0, 36.0)"
12-01-2023 16:36:06.906808,"(9.0, 14.5, 13.928571428571429)","(16.0, 26.0, 24.153846153846153)","(15.0, 26.0, 25.333333333333332)","(2.3, 2.54, 2.5207843137254904)","(11.0, 12.0, 11.730519480519481)","(5.5, 6.6, 6.461666666666667)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.163855421686747)","(41.0, 95.0, 86.0)","(19.0, 40.0, 36.0)"
12-01-2023 16:36:08.152604,"(9.0, 14.5, 13.86)","(16.0, 26.0, 24.2)","(15.0, 26.0, 25.333333333333332)","(2.3, 2.54, 2.516388888888889)","(11.0, 12.0, 11.730519480519481)","(5.5, 6.6, 6.461666666666667)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.185135135135135)","(41.0, 95.0, 90.5)","(19.0, 40.0, 36.0)"
12-01-2023 16:36:09.301828,"(9.0, 14.5, 13.86)","(16.0, 26.0, 24.2)","(15.0, 26.0, 25.333333333333332)","(2.3, 2.52, 2.5169767441860467)","(11.0, 12.0, 12.41304347826087)","(5.5, 6.6, 6.461666666666667)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.151666666666666)","(41.0, 95.0, 90.5)","(19.0, 40.0, 36.0)"
12-01-2023 16:36:10.486572,"(9.0, 14.5, 14.038461538461538)","(16.0, 26.0, 24.2)","(15.0, 26.0, 25.333333333333332)","(2.3, 2.52, 2.5169767441860467)","(11.0, 12.5, 12.954545454545455)","(5.5, 6.6, 6.459677419354839)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.151666666666666)","(41.0, 95.0, 91.53846153846153)","(19.0, 40.0, 36.0)"
12-01-2023 16:36:11.717756,"(9.0, 14.5, 14.029411764705882)","(16.0, 26.0, 24.153846153846153)","(15.0, 26.0, 25.333333333333332)","(2.3, 2.52, 2.5169767441860467)","(11.0, 13.0, 13.607142857142858)","(5.5, 6.6, 6.429411764705883)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.144444444444445)","(41.0, 95.0, 91.53846153846153)","(19.0, 40.0, 36.0)"
12-01-2023 16:36:13.123650,"(9.0, 14.5, 14.029411764705882)","(16.0, 26.0, 24.153846153846153)","(15.0, 26.0, 25.333333333333332)","(2.3, 2.52, 2.5239344262295083)","(11.0, 14.0, 13.9)","(5.5, 6.6, 6.457377049180328)","(41.0, 75.0, 74.5)","(5.0, 6.2, 5.8740000000000006)","(41.0, 95.0, 91.53846153846153)","(19.0, 40.0, 35.0)"
12-01-2023 16:36:14.651773,"(9.0, 14.5, 14.029411764705882)","(16.0, 26.0, 24.153846153846153)","(15.0, 26.0, 25.333333333333332)","(2.3, 2.54, 2.5084444444444443)","(11.0, 14.0, 13.844262295081966)","(5.5, 6.6, 6.457377049180328)","(41.0, 75.0, 74.5)","(5.0, 5.9, 5.872340425531915)","(41.0, 95.0, 91.53846153846153)","(19.0, 38.0, 34.30769230769231)"
12-01-2023 16:36:15.829003,"(9.0, 14.5, 14.029411764705882)","(16.0, 26.0, 24.153846153846153)","(15.0, 26.0, 25.333333333333332)","(2.3, 2.52, 2.5084444444444443)","(11.0, 14.5, 13.648936170212766)","(5.5, 6.6, 6.457377049180328)","(41.0, 75.0, 74.5)","(5.0, 5.9, 6.085714285714285)","(41.0, 95.0, 91.53846153846153)","(19.0, 38.0, 34.30769230769231)"
12-01-2023 16:36:17.151576,"(9.0, 14.5, 14.029411764705882)","(16.0, 26.0, 24.153846153846153)","(15.0, 26.0, 25.333333333333332)","(2.3, 2.5, 2.4975510204081632)","(11.0, 14.5, 14.074468085106384)","(5.5, 6.6, 6.457377049180328)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.041221374045802)","(41.0, 95.0, 91.53846153846153)","(19.0, 38.0, 34.30769230769231)"
12-01-2023 16:36:18.547322,"(9.0, 14.5, 13.909090909090908)","(16.0, 26.0, 24.153846153846153)","(15.0, 26.0, 25.333333333333332)","(2.3, 2.5, 2.5038095238095237)","(11.0, 14.5, 14.074468085106384)","(5.5, 6.6, 6.429411764705883)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.1061538461538465)","(41.0, 95.0, 91.53846153846153)","(19.0, 38.0, 34.30769230769231)"
12-01-2023 16:36:19.901443,"(9.0, 14.0, 13.909090909090908)","(16.0, 26.0, 24.153846153846153)","(15.0, 26.0, 25.333333333333332)","(2.3, 2.52, 2.473061224489796)","(11.0, 14.5, 14.074468085106384)","(5.5, 6.6, 6.4561983471074385)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.121052631578947)","(41.0, 95.0, 91.53846153846153)","(19.0, 38.0, 34.30769230769231)"
12-01-2023 16:36:21.348742,"(9.0, 14.0, 13.909090909090908)","(16.0, 26.0, 24.153846153846153)","(15.0, 26.0, 24.857142857142858)","(2.3, 2.48, 2.4488524590163934)","(11.0, 14.5, 14.074468085106384)","(5.5, 6.6, 6.4561983471074385)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.1122302158273385)","(41.0, 95.0, 91.53846153846153)","(19.0, 38.0, 34.30769230769231)"
12-01-2023 16:36:22.651619,"(9.0, 14.0, 14.029411764705882)","(16.0, 26.0, 24.2)","(15.0, 27.0, 26.1)","(2.3, 2.5, 2.453684210526316)","(11.0, 14.5, 14.074468085106384)","(5.5, 6.6, 6.462992125984252)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.109859154929578)","(41.0, 95.0, 91.53846153846153)","(19.0, 38.0, 34.30769230769231)"
12-01-2023 16:36:23.807157,"(9.0, 14.5, 14.029411764705882)","(16.0, 26.0, 24.2)","(15.0, 27.0, 26.1)","(2.3, 2.46, 2.456774193548387)","(10.0, 14.5, 13.64864864864865)","(5.0, 6.6, 6.462992125984252)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.112925170068027)","(41.0, 95.0, 91.53846153846153)","(19.0, 38.0, 34.30769230769231)"
12-01-2023 16:36:24.937148,"(9.0, 14.5, 14.26)","(16.0, 26.0, 24.153846153846153)","(15.0, 27.0, 25.5)","(2.3, 2.46, 2.446046511627907)","(10.0, 14.0, 13.64864864864865)","(5.0, 6.6, 6.465040650406504)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.112925170068027)","(41.0, 95.0, 90.52631578947368)","(19.0, 38.0, 34.857142857142854)"
12-01-2023 16:36:26.149356,"(9.0, 14.5, 14.26)","(16.0, 26.0, 24.153846153846153)","(15.0, 27.0, 25.5)","(2.3, 2.46, 2.4492857142857143)","(10.0, 14.0, 13.623188405797102)","(5.0, 6.6, 6.465040650406504)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.112925170068027)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 33.666666666666664)"
12-01-2023 16:36:27.381065,"(9.0, 14.5, 14.26)","(16.0, 26.0, 24.2)","(15.0, 27.0, 25.5)","(2.3, 2.46, 2.4248979591836735)","(10.0, 14.0, 13.623188405797102)","(5.0, 6.6, 6.465040650406504)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.1296875)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 33.666666666666664)"
12-01-2023 16:36:28.845740,"(9.0, 14.5, 14.30952380952381)","(16.0, 26.0, 25.75)","(15.0, 27.0, 26.733333333333334)","(2.3, 2.44, 2.4248979591836735)","(10.0, 14.0, 13.623188405797102)","(5.0, 6.6, 6.453333333333333)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.052727272727273)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 33.666666666666664)"
12-01-2023 16:36:30.210202,"(9.0, 14.5, 14.30952380952381)","(16.0, 26.0, 25.75)","(15.0, 27.0, 26.733333333333334)","(2.3, 2.44, 2.4248979591836735)","(10.0, 14.0, 13.623188405797102)","(5.0, 6.6, 6.453333333333333)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 33.666666666666664)"
12-01-2023 16:36:31.371293,"(9.0, 14.5, 14.270833333333334)","(16.0, 29.0, 27.4)","(15.0, 27.0, 26.733333333333334)","(2.3, 2.44, 2.423842794759825)","(10.0, 14.0, 13.623188405797102)","(5.0, 6.6, 6.449315068493151)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:32.775346,"(9.0, 14.5, 14.270833333333334)","(16.0, 29.0, 27.142857142857142)","(15.0, 27.0, 26.733333333333334)","(2.3, 2.44, 2.423986710963455)","(10.0, 14.0, 13.623188405797102)","(5.0, 6.6, 6.449315068493151)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:33.902094,"(9.0, 14.5, 14.270833333333334)","(16.0, 29.0, 27.142857142857142)","(15.0, 27.0, 26.733333333333334)","(2.3, 2.44, 2.430310559006211)","(10.0, 14.0, 13.623188405797102)","(5.0, 6.6, 6.449315068493151)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:35.112952,"(9.0, 14.5, 14.310344827586206)","(16.0, 29.0, 27.514285714285712)","(15.0, 27.0, 26.733333333333334)","(2.3, 2.42, 2.416598639455782)","(10.0, 14.0, 13.623188405797102)","(5.0, 6.6, 6.449315068493151)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:36.376132,"(9.0, 14.5, 14.310344827586206)","(16.0, 29.0, 27.40909090909091)","(15.0, 27.0, 26.733333333333334)","(2.3, 2.42, 2.417345971563981)","(10.0, 14.0, 13.623188405797102)","(5.0, 6.6, 6.449315068493151)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:37.670913,"(9.0, 14.5, 14.310344827586206)","(16.0, 29.0, 27.40909090909091)","(15.0, 27.0, 27.8)","(2.3, 2.42, 2.417345971563981)","(10.0, 14.0, 13.623188405797102)","(5.0, 6.6, 6.449315068493151)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:38.950938,"(9.0, 14.5, 14.310344827586206)","(16.0, 29.0, 27.40909090909091)","(15.0, 29.0, 27.8)","(2.3, 2.42, 2.4232624113475176)","(10.0, 14.0, 13.623188405797102)","(5.0, 6.6, 6.448322147651007)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:40.153145,"(9.0, 14.5, 14.310344827586206)","(16.0, 29.0, 27.40909090909091)","(15.0, 29.0, 27.8)","(2.3, 2.44, 2.4232624113475176)","(10.0, 14.0, 13.623188405797102)","(5.0, 6.6, 6.448322147651007)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:41.354063,"(9.0, 14.5, 14.310344827586206)","(16.0, 29.0, 27.40909090909091)","(15.0, 29.0, 27.8)","(2.3, 2.44, 2.4512727272727273)","(10.0, 14.0, 13.59375)","(5.0, 6.6, 6.425373134328359)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:42.526696,"(9.0, 14.5, 14.310344827586206)","(16.0, 29.0, 27.40909090909091)","(15.0, 29.0, 27.8)","(2.3, 2.46, 2.433809523809524)","(10.0, 14.0, 13.508771929824562)","(5.0, 6.6, 6.425373134328359)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:43.657072,"(9.0, 14.5, 14.133333333333333)","(16.0, 29.0, 27.40909090909091)","(15.0, 29.0, 27.8)","(2.3, 2.46, 2.433809523809524)","(10.0, 14.0, 13.508771929824562)","(5.0, 6.6, 6.425373134328359)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:44.775069,"(9.0, 14.5, 14.133333333333333)","(16.0, 29.0, 27.63157894736842)","(15.0, 29.0, 27.8)","(2.3, 2.46, 2.4517293233082706)","(10.0, 14.0, 13.397849462365592)","(5.0, 6.6, 6.425373134328359)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:46.298160,"(9.0, 14.5, 14.133333333333333)","(16.0, 29.0, 27.63157894736842)","(15.0, 29.0, 27.8)","(2.3, 2.46, 2.471578947368421)","(10.0, 14.0, 13.383720930232558)","(5.0, 6.6, 6.425373134328359)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:47.704402,"(9.0, 14.5, 14.133333333333333)","(16.0, 29.0, 27.63157894736842)","(15.0, 29.0, 27.8)","(2.3, 2.48, 2.4785714285714286)","(10.0, 13.5, 13.383720930232558)","(5.0, 6.6, 6.344)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:49.049721,"(9.0, 14.5, 13.928571428571429)","(16.0, 29.0, 27.5)","(15.0, 29.0, 27.8)","(2.3, 2.48, 2.4856756756756755)","(10.0, 13.5, 13.368421052631579)","(5.0, 6.4, 6.344)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:50.637849,"(9.0, 14.0, 13.928571428571429)","(16.0, 29.0, 27.5)","(15.0, 29.0, 27.8)","(2.3, 2.5, 2.4856756756756755)","(10.0, 13.5, 13.368421052631579)","(5.0, 6.4, 6.344)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:52.108791,"(9.0, 14.0, 13.928571428571429)","(16.0, 29.0, 27.5)","(15.0, 29.0, 27.8)","(2.3, 2.5, 2.4856756756756755)","(10.0, 13.5, 13.368421052631579)","(5.0, 6.4, 6.380000000000001)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:53.510907,"(9.0, 14.0, 13.928571428571429)","(16.0, 29.0, 27.5)","(15.0, 29.0, 27.8)","(2.3, 2.5, 2.4891525423728815)","(10.0, 13.5, 13.368421052631579)","(5.0, 6.4, 6.344)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:54.739659,"(9.0, 14.0, 13.928571428571429)","(16.0, 29.0, 27.5)","(15.0, 29.0, 27.8)","(2.3, 2.5, 2.490188679245283)","(10.0, 13.5, 13.368421052631579)","(5.0, 6.4, 6.344)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
12-01-2023 16:36:56.059796,"(9.0, 14.0, 13.928571428571429)","(16.0, 29.0, 27.5)","(15.0, 29.0, 27.8)","(2.3, 2.5, 2.4852427184466017)","(10.0, 13.5, 13.368421052631579)","(5.0, 6.4, 6.344)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.0678899082568805)","(41.0, 100.0, 87.14285714285714)","(19.0, 36.0, 34.0)"
