,Osprey Phantom,Gondola,Molly Irish,Flora Colossus,Impress Us,Catch Me Nero
06-01-2023 13:26:14.600075,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:15.570734,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:16.470998,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:17.448924,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:18.481610,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 16.090909090909093)"
06-01-2023 13:26:19.468840,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.666666666666666)"
06-01-2023 13:26:20.430491,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.666666666666666)"
06-01-2023 13:26:21.395471,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.9952941176470587)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 5.828571428571428)","(9.0, 22.0, 11.666666666666666)"
06-01-2023 13:26:22.359926,"(2.9, 4.2, 3.0)","(2.05, 3.05, 2.9952941176470587)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:23.434441,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.370810810810811)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:24.528563,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.370810810810811)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:25.536787,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.370810810810811)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:26.480642,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.370810810810811)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:27.536772,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.370810810810811)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:28.564855,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.370810810810811)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:29.502534,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.370810810810811)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:30.430136,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.370810810810811)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:31.406854,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.370810810810811)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:32.400462,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.1925)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:33.323259,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.1925)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:34.270527,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.169714285714286)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:35.263697,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.169714285714286)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:36.219234,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.169714285714286)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:37.229874,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.169714285714286)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:38.233913,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.169714285714286)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:39.229606,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.169714285714286)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:40.197092,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.169714285714286)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:41.247881,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.169714285714286)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:42.235523,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.169714285714286)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:43.152974,"(2.9, 4.2, 3.4875)","(2.05, 2.28, 2.2159999999999997)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.828571428571428)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:44.133297,"(2.9, 4.2, 3.0)","(2.05, 2.7, 2.169714285714286)","(8.5, 22.0, 11.65)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 5.63076923076923)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:45.174866,"(2.9, 4.2, 3.0)","(2.05, 2.68, 2.2600000000000002)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.564705882352941)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:46.146975,"(2.9, 4.2, 3.0)","(2.05, 2.66, 2.239047619047619)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:47.094864,"(2.9, 4.2, 3.0)","(2.05, 2.66, 2.201)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:48.118303,"(2.9, 4.2, 3.2823529411764705)","(2.05, 2.66, 2.201)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:49.084255,"(2.9, 4.2, 3.2823529411764705)","(2.05, 2.66, 2.201)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:50.062657,"(2.9, 4.2, 3.2823529411764705)","(2.05, 2.66, 2.201)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:51.306687,"(2.9, 4.2, 3.2823529411764705)","(2.05, 2.66, 2.201)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:52.650586,"(2.9, 4.2, 3.192)","(2.05, 2.66, 2.201)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:53.722650,"(2.9, 4.2, 3.192)","(2.05, 2.66, 2.201)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:54.865502,"(2.9, 4.2, 3.192)","(2.05, 2.64, 2.211764705882353)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:56.011890,"(2.9, 4.2, 3.0)","(2.05, 2.64, 2.211764705882353)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:56.981801,"(2.9, 4.2, 3.3333333333333335)","(2.05, 2.64, 2.211764705882353)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:57.971295,"(2.9, 4.2, 3.176)","(2.05, 2.64, 2.211764705882353)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 47.63636363636364)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:59.007554,"(2.9, 4.2, 3.176)","(2.05, 2.64, 2.211764705882353)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 56.30769230769231)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:26:59.946268,"(2.9, 4.2, 3.255)","(2.05, 2.64, 2.211764705882353)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 56.30769230769231)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:01.007782,"(2.9, 4.2, 3.208)","(2.05, 2.64, 2.211764705882353)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:02.006115,"(2.9, 4.2, 3.208)","(2.05, 2.72, 2.5700000000000003)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:02.902779,"(2.9, 4.2, 3.208)","(2.05, 2.62, 2.2082352941176473)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:03.892235,"(2.9, 4.2, 3.0)","(2.05, 2.62, 2.2082352941176473)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:05.002204,"(2.9, 4.2, 3.0)","(2.05, 2.62, 2.2082352941176473)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:06.099239,"(2.9, 4.2, 3.176)","(2.05, 2.62, 2.2082352941176473)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:07.055031,"(2.9, 4.2, 3.176)","(2.05, 2.62, 2.2082352941176473)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:08.028779,"(2.9, 4.2, 3.176)","(2.05, 2.62, 2.2082352941176473)","(8.5, 22.0, 14.607142857142858)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:09.177185,"(2.9, 4.2, 3.176)","(2.05, 2.62, 2.2082352941176473)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:10.244086,"(2.9, 4.2, 3.515789473684211)","(2.05, 2.62, 2.2082352941176473)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:11.167537,"(2.9, 4.2, 3.428125)","(2.05, 2.74, 2.585)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:12.200622,"(2.9, 4.2, 3.428125)","(2.05, 2.74, 2.585)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:13.191643,"(2.9, 4.1, 3.26)","(2.05, 2.74, 2.585)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:14.181762,"(2.9, 4.0, 3.065)","(2.05, 2.74, 2.62)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:15.120575,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.74, 2.62)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:16.097318,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.74, 2.62)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 10.84)"
06-01-2023 13:27:17.129507,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.74, 2.62)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.0)","(9.0, 22.0, 15.329411764705883)"
06-01-2023 13:27:18.176631,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.74, 2.62)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 56.30769230769231)","(5.0, 9.6, 6.947368421052632)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:19.302821,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.72, 2.2504761904761907)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.32)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:20.348202,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.72, 2.2504761904761907)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.171428571428571)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:21.415851,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.72, 2.268888888888889)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.171428571428571)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:22.518936,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.7, 2.2644444444444445)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.171428571428571)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:23.890452,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.7, 2.2578947368421054)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.171428571428571)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:24.869894,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.7, 2.2578947368421054)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.171428571428571)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:26.013769,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.7, 2.2578947368421054)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.171428571428571)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:27.068597,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.7, 2.2578947368421054)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 6.171428571428571)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:28.025877,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.7, 2.2578947368421054)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.6, 7.8)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:29.007817,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.7, 2.2578947368421054)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 10.0, 7.0)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:30.043632,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.68, 2.2600000000000002)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.8, 7.0)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:31.093438,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.68, 2.2600000000000002)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.8, 7.0)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:32.148680,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.68, 2.2600000000000002)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.8, 7.0)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:33.209365,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.68, 2.2600000000000002)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.8, 7.0)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:34.224367,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.68, 2.2600000000000002)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.8, 7.0)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:35.182520,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.68, 2.2600000000000002)","(8.5, 22.0, 14.923076923076923)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.8, 7.0)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:36.207733,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.68, 2.2600000000000002)","(8.5, 22.0, 15.428571428571429)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.8, 7.0)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:37.270226,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.68, 2.2600000000000002)","(8.5, 22.0, 15.428571428571429)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.8, 7.0)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:38.207130,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.66, 2.2555555555555555)","(8.5, 22.0, 15.428571428571429)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.8, 7.0)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:39.205948,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.66, 2.2555555555555555)","(8.5, 22.0, 15.428571428571429)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.8, 7.0)","(9.0, 22.0, 11.020000000000001)"
06-01-2023 13:27:40.281977,"(2.9, 4.0, 3.0584615384615383)","(2.05, 2.66, 2.2555555555555555)","(8.5, 22.0, 15.428571428571429)","(31.0, 100.0, 54.357142857142854)","(5.0, 9.8, 7.0)","(9.0, 22.0, 11.020000000000001)"
