,Dallas Gold,Herzen,Poseidon Wrath,Whitaker,Hardcore Folklore,Uncle Frank,Dried Pepper,Stans Miracle Man,Unified Assets
16-12-2022 10:16:40.986387,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:42.130271,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:43.325509,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:44.509573,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:45.651485,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:46.791502,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:47.930862,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:49.030103,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:50.182690,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:51.345858,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:52.539189,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:53.718535,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:54.933615,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:56.160808,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:57.291409,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:58.398036,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:59.504353,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:00.612050,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:01.753502,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 16.9375)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:02.897246,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:04.041876,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:05.173584,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.557142857142857)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:06.299440,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 13.02)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:07.453856,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 13.02)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:08.691051,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.614285714285714)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:09.864422,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.614285714285714)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:10.980025,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.614285714285714)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:12.106633,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.614285714285714)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:13.243786,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 13.3)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:14.361922,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.814285714285715)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:15.417510,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.814285714285715)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:16.535944,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.814285714285715)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:17.656192,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.814285714285715)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:18.807000,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.814285714285715)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:19.975171,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 13.379999999999999)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:21.107842,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 13.379999999999999)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:22.255903,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 13.379999999999999)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:23.375492,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 13.379999999999999)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:24.504209,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 13.260000000000002)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:25.684831,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.814285714285715)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:26.853925,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.814285714285715)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:28.001483,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.814285714285715)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:29.102764,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 14.814285714285715)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:30.195542,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 13.379999999999999)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:31.297343,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 13.379999999999999)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:32.369045,"(21.0, 510.0, 344.5)","(15.0, 990.0, 402.3)","(31.0, 400.0, 355.2941176470588)","(17.0, 180.0, 124.5)","(13.0, 18.5, 16.9375)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:33.541124,"(21.0, 510.0, 344.5)","(15.0, 990.0, 402.3)","(31.0, 400.0, 248.39999999999998)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 13.58)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:34.702715,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 248.39999999999998)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 13.58)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:35.972972,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 248.39999999999998)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 16.9375)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:37.247166,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 16.9375)","(2.7, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.78)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:38.479643,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 16.9375)","(2.7, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:39.696562,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 13.58)","(2.7, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:40.844650,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 15.81111111111111)","(2.7, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:41.984944,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 15.81111111111111)","(2.7, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:43.200085,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 15.81111111111111)","(2.7, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:44.424275,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 15.81111111111111)","(2.7, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:45.587490,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 15.81111111111111)","(2.7, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:46.741983,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 15.81111111111111)","(2.7, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:47.963295,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 15.81111111111111)","(2.7, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:49.193048,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(13.0, 18.5, 15.81111111111111)","(2.7, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:50.494150,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(12.0, 18.5, 15.81111111111111)","(2.6, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:51.752962,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(12.0, 18.5, 15.81111111111111)","(2.6, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
16-12-2022 10:17:52.959809,"(21.0, 510.0, 344.5)","(15.0, 160.0, 110.16666666666667)","(31.0, 400.0, 148.0)","(17.0, 180.0, 156.21428571428572)","(12.0, 18.5, 15.81111111111111)","(2.6, 3.65, 3.4785714285714286)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 11.133333333333333)","(26.0, 630.0, 324.5)"
