,Hes Gold,Sir Mambo,Silkinize,On The Full,Pink N Gray,The Lady Is A Vamp,Titian Queen
07-01-2023 14:54:05.736936,"(5.0, 5.6, 5.141666666666667)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.622222222222224)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 35.2)","(3.8, 4.3, 4.195652173913043)","(19.0, 30.0, 26.5)"
07-01-2023 14:54:06.927746,"(5.0, 5.6, 5.141666666666667)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 41.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 30.0, 24.25)"
07-01-2023 14:54:08.137531,"(5.0, 5.6, 5.141666666666667)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 41.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:09.287839,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 41.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:10.355832,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 41.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:11.577878,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 41.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:12.814596,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 41.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:14.001655,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 41.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:15.121983,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 41.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:16.297344,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:17.550566,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:18.766207,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:19.899713,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:20.960433,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:22.127087,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 24.25)"
07-01-2023 14:54:23.273950,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 28.0, 25.0)"
07-01-2023 14:54:24.382757,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 25.0)"
07-01-2023 14:54:25.523865,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 25.0)"
07-01-2023 14:54:26.701437,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.725000000000001)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 25.0)"
07-01-2023 14:54:27.888221,"(5.0, 5.5, 5.3)","(12.0, 21.0, 20.0)","(6.0, 9.8, 9.595652173913043)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:28.861486,"(5.0, 5.5, 5.3)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.595652173913043)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:30.070283,"(5.0, 5.5, 5.3)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.595652173913043)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:31.185988,"(5.0, 5.5, 5.3)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.595652173913043)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:32.149432,"(5.0, 5.5, 5.3)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.595652173913043)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:33.346654,"(5.0, 5.5, 5.3)","(12.0, 21.0, 19.0)","(6.0, 10.5, 9.9)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:34.531485,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.9)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:35.681058,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.9)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:36.737716,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.9)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:37.863993,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.9)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:39.152239,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.9)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:40.368875,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.9)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:41.654766,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.9)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:42.894223,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.9)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:44.158290,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.9)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:45.414972,"(5.0, 5.5, 5.3)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.9)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:46.652850,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.9)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 42.5)","(3.8, 4.3, 4.195652173913043)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:47.842093,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.9)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 36.666666666666664)","(3.8, 4.3, 4.181481481481481)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:48.981186,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.733333333333333)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 36.666666666666664)","(3.8, 4.3, 4.181481481481481)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:50.143634,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.77142857142857)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 36.666666666666664)","(3.8, 4.3, 4.181481481481481)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:51.340157,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 19.666666666666668)","(6.0, 10.0, 9.375675675675675)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 36.666666666666664)","(3.8, 4.3, 4.181481481481481)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:52.555523,"(5.0, 5.6, 5.433333333333333)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.375675675675675)","(2.45, 2.92, 2.8730434782608696)","(21.0, 46.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:53.708019,"(5.0, 5.6, 5.433333333333333)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.375675675675675)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:54.817077,"(5.0, 5.6, 5.433333333333333)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.375675675675675)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 27.0, 24.333333333333332)"
07-01-2023 14:54:56.001012,"(5.0, 5.6, 5.433333333333333)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.375675675675675)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 27.0, 25.0)"
07-01-2023 14:54:57.155270,"(5.0, 5.6, 5.433333333333333)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.375675675675675)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 25.0)"
07-01-2023 14:54:58.246719,"(5.0, 5.6, 5.433333333333333)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.375675675675675)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 25.0)"
07-01-2023 14:54:59.413719,"(5.0, 5.6, 5.433333333333333)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.375675675675675)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 25.0)"
07-01-2023 14:55:00.596976,"(5.0, 5.6, 5.433333333333333)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.375675675675675)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 25.0)"
07-01-2023 14:55:01.725484,"(5.0, 5.6, 5.433333333333333)","(12.0, 21.0, 19.666666666666668)","(6.0, 10.5, 9.375675675675675)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 25.0)"
07-01-2023 14:55:02.829418,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 25.0)"
07-01-2023 14:55:03.967351,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 25.0)"
07-01-2023 14:55:05.007969,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 25.0)"
07-01-2023 14:55:06.073924,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 37.333333333333336)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 25.0)"
07-01-2023 14:55:07.246116,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 48.0, 31.5)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 25.0)"
07-01-2023 14:55:08.307070,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 38.0, 31.5)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 25.0)"
07-01-2023 14:55:09.326144,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 19.0)","(6.0, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 38.0, 31.5)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 26.5)"
07-01-2023 14:55:10.482428,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 18.75)","(6.0, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 38.0, 31.5)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 25.666666666666668)"
07-01-2023 14:55:11.678307,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 18.75)","(6.0, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 38.0, 31.5)","(3.8, 4.3, 4.181481481481481)","(19.0, 29.0, 26.0)"
07-01-2023 14:55:12.859570,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 18.75)","(6.0, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 38.0, 31.5)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.0)"
07-01-2023 14:55:13.967894,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 18.75)","(6.0, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 38.0, 31.5)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.0)"
07-01-2023 14:55:15.108711,"(5.0, 5.6, 5.433333333333333)","(12.0, 20.0, 18.75)","(6.0, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 38.0, 31.5)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.0)"
07-01-2023 14:55:16.355743,"(4.8, 5.6, 5.433333333333333)","(12.0, 20.0, 19.0)","(6.5, 10.0, 9.6)","(2.45, 2.92, 2.8730434782608696)","(21.0, 38.0, 33.0)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.0)"
07-01-2023 14:55:17.697779,"(4.8, 5.6, 5.433333333333333)","(12.0, 20.0, 19.5)","(6.5, 10.0, 9.433333333333334)","(2.45, 2.92, 2.8730434782608696)","(21.0, 38.0, 33.0)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.0)"
07-01-2023 14:55:18.815229,"(4.8, 5.6, 5.433333333333333)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.433333333333334)","(2.45, 2.92, 2.875616438356164)","(21.0, 38.0, 33.0)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.0)"
07-01-2023 14:55:20.084254,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.433333333333334)","(2.45, 2.92, 2.875616438356164)","(21.0, 38.0, 33.0)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.0)"
07-01-2023 14:55:21.480423,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.433333333333334)","(2.45, 2.92, 2.875616438356164)","(21.0, 38.0, 33.0)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.0)"
07-01-2023 14:55:22.521439,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.433333333333334)","(2.45, 2.92, 2.875616438356164)","(21.0, 38.0, 33.0)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.0)"
07-01-2023 14:55:23.807896,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.433333333333334)","(2.45, 2.92, 2.875616438356164)","(21.0, 38.0, 33.0)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.0)"
07-01-2023 14:55:25.027180,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.433333333333334)","(2.45, 2.92, 2.875616438356164)","(21.0, 38.0, 33.0)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.0)"
07-01-2023 14:55:26.168702,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.433333333333334)","(2.45, 2.92, 2.875616438356164)","(21.0, 38.0, 33.0)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.0)"
07-01-2023 14:55:27.320765,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.433333333333334)","(2.45, 2.92, 2.875616438356164)","(21.0, 38.0, 33.0)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.5)"
07-01-2023 14:55:28.537708,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.433333333333334)","(2.45, 2.92, 2.875616438356164)","(21.0, 38.0, 33.0)","(3.8, 4.3, 4.181481481481481)","(19.0, 30.0, 26.5)"
07-01-2023 14:55:29.636589,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.433333333333334)","(2.45, 2.92, 2.875616438356164)","(21.0, 38.0, 33.0)","(3.8, 4.3, 4.2457142857142856)","(19.0, 30.0, 26.5)"
07-01-2023 14:55:30.760368,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.433333333333334)","(2.45, 2.92, 2.875616438356164)","(21.0, 38.0, 33.0)","(3.8, 4.4, 4.275862068965518)","(19.0, 30.0, 26.5)"
07-01-2023 14:55:31.923430,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.464705882352941)","(2.45, 2.92, 2.875616438356164)","(21.0, 38.0, 33.0)","(3.8, 4.4, 4.275862068965518)","(19.0, 30.0, 26.5)"
07-01-2023 14:55:33.096423,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.9)","(2.45, 2.92, 2.848695652173913)","(21.0, 38.0, 36.166666666666664)","(3.8, 4.4, 4.275862068965518)","(19.0, 30.0, 23.333333333333332)"
07-01-2023 14:55:34.166744,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.9)","(2.45, 2.88, 2.848695652173913)","(21.0, 38.0, 36.166666666666664)","(3.8, 4.4, 4.275862068965518)","(19.0, 27.0, 23.333333333333332)"
07-01-2023 14:55:35.174132,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.9)","(2.45, 2.88, 2.848695652173913)","(21.0, 38.0, 36.166666666666664)","(3.8, 4.4, 4.275862068965518)","(19.0, 27.0, 23.333333333333332)"
07-01-2023 14:55:36.361595,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.9)","(2.45, 2.88, 2.848695652173913)","(21.0, 38.0, 36.166666666666664)","(3.8, 4.4, 4.275862068965518)","(19.0, 27.0, 23.333333333333332)"
07-01-2023 14:55:37.573570,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.9)","(2.45, 2.88, 2.848695652173913)","(21.0, 38.0, 36.166666666666664)","(3.8, 4.4, 4.275862068965518)","(19.0, 27.0, 23.333333333333332)"
07-01-2023 14:55:38.615037,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.9)","(2.45, 2.88, 2.848695652173913)","(21.0, 38.0, 36.166666666666664)","(3.8, 4.4, 4.275862068965518)","(19.0, 27.0, 24.0)"
07-01-2023 14:55:39.804613,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 9.9)","(2.45, 2.88, 2.834237288135593)","(21.0, 38.0, 36.166666666666664)","(3.8, 4.4, 4.275862068965518)","(19.0, 26.0, 24.0)"
07-01-2023 14:55:41.065886,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 10.5, 10.972222222222221)","(2.45, 2.88, 2.831785714285714)","(21.0, 38.0, 33.42857142857143)","(3.8, 4.4, 4.275862068965518)","(19.0, 26.0, 24.0)"
07-01-2023 14:55:42.101951,"(4.8, 5.6, 5.35)","(12.0, 21.0, 19.5)","(6.5, 11.0, 10.972222222222221)","(2.45, 2.88, 2.831785714285714)","(21.0, 36.0, 33.42857142857143)","(3.8, 4.4, 4.275862068965518)","(19.0, 26.0, 24.0)"
