,Zipping Newman,Contralto,Beware Bob,Lady Wendy Hook,Hard On Me,Berdeen
12-01-2023 17:13:53.794933,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:54.989104,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:55.948018,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:56.861127,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:57.858897,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:58.921310,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:59.874348,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:00.902791,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:01.961955,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:02.888528,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:03.840091,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:04.752505,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:05.707638,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:06.567391,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:07.417926,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:08.279012,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:09.235831,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:10.228133,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:11.193936,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:12.092824,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:13.016793,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:13.914375,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:14.747694,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:15.676043,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:16.668428,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:17.607497,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:18.519630,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:19.404483,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:20.235088,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:21.179781,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:22.116498,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:23.065628,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:24.027394,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:24.955031,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:25.822531,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:26.689902,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:27.633288,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:28.539480,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:29.490464,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:30.438776,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:31.360404,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:32.209799,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:33.031949,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:34.043210,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:35.195545,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:36.146519,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:37.137742,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:38.093099,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:38.954579,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:39.874637,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:40.836561,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:41.798668,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:42.780156,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:43.737387,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:44.646062,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:45.707710,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:46.700959,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:47.666308,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:48.658854,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:49.756675,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:50.716356,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:51.770423,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:52.771385,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:53.613956,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:54.573021,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:55.575151,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:56.523495,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:57.387584,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:58.299004,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:14:59.281233,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:00.272419,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:01.352940,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:02.291851,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:03.290973,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:04.308164,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:05.282185,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:06.201037,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:07.172844,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:08.171876,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:09.105420,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:10.050245,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:10.965774,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:11.802476,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:12.863297,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:13.851809,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:14.848313,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:15.853207,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:16.852573,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:17.788397,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:18.697634,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:19.599874,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:15:20.493710,"(2.6, 3.5, 2.6413333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
