,Rupurt Keen,Sketchy Deliver,Kid Freeze,Spot Of Rum,Wonder Woolly,Seabrook Baker,Charming Spirit,Izuku Bale
05-01-2023 15:57:20.943744,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:22.020788,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:23.112987,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:24.262514,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:25.361647,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:26.590162,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:27.704045,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:28.839763,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:29.987746,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:31.002258,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:32.045968,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:33.104568,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:34.228395,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:35.284224,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:36.424714,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:37.508166,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:38.595605,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:39.600151,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.0)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:40.663543,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.0)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:41.745990,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.0)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:42.855604,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.0)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:43.949343,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.0)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:45.039070,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.0)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:46.073513,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.0)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:47.081730,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.0)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:48.076078,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.0)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:49.154642,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:50.224255,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:51.386113,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:52.440061,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:53.463150,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:54.445909,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:55.507390,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:56.656041,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:57.831401,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:58.939684,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:00.002435,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:01.094349,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:02.089648,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:03.201615,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:04.414616,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:05.534625,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:06.653537,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:07.714635,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:08.684465,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:09.698318,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 570.7142857142858)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:10.820268,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 570.7142857142858)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:11.988369,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 570.7142857142858)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:13.124983,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 570.7142857142858)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:14.232891,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 570.7142857142858)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:15.313240,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 570.7142857142858)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:16.349695,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 570.7142857142858)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:17.428113,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 570.7142857142858)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:18.539893,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:19.734344,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:20.879377,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:21.977488,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:23.048159,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:24.053584,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:25.116344,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:26.248689,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:27.360206,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:28.557804,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 193.2)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:29.711653,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.66666666666666)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:30.815154,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.66666666666666)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:31.862450,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.66666666666666)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:32.870992,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.66666666666666)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:33.913760,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.66666666666666)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:35.006062,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.66666666666666)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:36.114090,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.66666666666666)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:37.185574,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.66666666666666)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:38.176154,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 199.66666666666666)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:39.171884,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:40.201563,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:41.284455,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:42.383769,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:43.450706,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 192.8)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:58:44.458101,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 192.8)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
