,Mon Bel Ange,Rocknroll Da Gama,Quick Step Nz,Purple Shades,Ashlee Nitro,Illbewatching,My Ultimate Clippa,Press Statement,Bettor Getta Lover
12-01-2023 16:47:50.210662,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.155555555555555)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.806666666666667)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:51.935289,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.866666666666666)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.825)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:47:53.481619,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.866666666666666)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.2, 4.825)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:47:55.006137,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.866666666666666)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.2, 4.825)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:47:56.313533,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.866666666666666)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.2, 4.825)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:47:57.687058,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.125)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.2, 4.825)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:47:59.104053,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.125)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.2, 4.825)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:48:00.439615,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.125)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.2, 4.18)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:48:01.689452,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.125)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.2, 4.18)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:48:02.953895,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.125)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.2, 4.18)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:48:04.296947,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.125)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.2, 4.18)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:48:05.614274,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.125)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.2, 4.18)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:48:06.979937,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.125)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.2, 4.18)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:48:08.495945,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.2, 4.18)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 155.71428571428572)"
12-01-2023 16:48:09.842160,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.18)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:11.021853,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.18)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:12.290683,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.18)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:13.594002,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.18)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:14.852396,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.18)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:16.244496,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.18)","(31.0, 65.0, 56.714285714285715)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:17.544687,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.18)","(31.0, 65.0, 56.714285714285715)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:18.910991,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.425)","(31.0, 65.0, 56.714285714285715)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:20.235403,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.425)","(31.0, 65.0, 56.714285714285715)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:21.471031,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.425)","(31.0, 65.0, 56.714285714285715)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:22.734649,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 56.714285714285715)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:23.919711,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:25.317016,"(15.0, 36.0, 24.0)","(4.4, 6.8, 5.6)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:26.741319,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:28.139703,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:29.425808,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:30.766080,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:32.140744,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:33.380851,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:34.657511,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:36.004495,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:37.273259,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:38.585255,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:39.799659,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:41.012314,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:42.256394,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:43.534189,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:44.783336,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:46.041513,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 31.714285714285715)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:47.315087,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:48.499109,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:49.657074,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:50.882192,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:52.238708,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:53.595540,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:55.029922,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:56.223623,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:57.588930,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:48:58.978944,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:49:00.254064,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:49:01.623159,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:49:02.769028,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:49:03.917914,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:49:05.086762,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:49:06.366905,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:49:07.947578,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:49:09.294658,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:49:10.650966,"(15.0, 34.0, 23.333333333333332)","(4.4, 6.8, 6.114285714285714)","(2.15, 99999, 99990)","(19.0, 38.0, 20.083333333333332)","(3.6, 5.2, 4.75)","(31.0, 65.0, 49.5)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
