,Drink Ciders,Avas Boy,Bonnie Rico,Shian Pixie,Royal Look,Spring Rowan,Outback Gold,Spring Betty
06-01-2023 16:56:44.983250,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 10.0, 9.24)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:46.133079,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 10.0, 9.24)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:47.238691,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 10.0, 9.24)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:48.294109,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 10.0, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:49.387243,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:50.492216,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:51.587403,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:52.579280,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:53.725084,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:54.839438,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:55.992833,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:57.185031,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:58.266322,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:59.343524,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:00.525355,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:01.573634,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:02.595058,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:03.591323,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:04.845982,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:06.080222,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:07.291403,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:08.325438,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:09.344610,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:10.348799,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:11.334428,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:12.386186,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:13.454881,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:14.589790,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:15.612861,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:16.602649,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:17.600905,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:18.617767,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:19.670590,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:20.711996,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:21.748930,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:22.819179,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:23.784941,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:24.785900,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:25.885837,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:26.929854,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:28.016920,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:29.082030,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:30.229975,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:31.277605,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:32.292738,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:33.367651,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:34.460429,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:35.512204,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:36.566542,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:37.640332,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:38.650367,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:39.618688,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:40.617007,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:41.672758,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:42.720578,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:43.873873,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:44.930387,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:45.988556,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.6)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:46.972516,"(6.5, 15.0, 13.11875)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:47.945864,"(6.5, 15.0, 13.11875)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:48.944452,"(6.5, 15.0, 13.11875)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.894)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:50.010833,"(6.5, 15.0, 13.6)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.894)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:51.085062,"(6.5, 15.0, 13.6)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:52.171927,"(6.5, 15.0, 13.6)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:53.253046,"(6.5, 15.0, 13.6)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:54.370906,"(6.5, 15.0, 13.6)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:55.397125,"(6.5, 15.0, 13.6)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:56.411279,"(6.5, 15.0, 13.6)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.2, 8.6)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:57.365865,"(6.5, 15.0, 13.6)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.2, 8.6)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:58.368312,"(6.5, 15.0, 13.6)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:57:59.410102,"(6.5, 15.0, 13.6)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:58:00.480375,"(6.5, 15.0, 13.6)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:58:01.487803,"(6.5, 15.0, 13.6)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.7, 3.6)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
