,Queen Of Strathfield Nz,Aldebaran Tess Nz,Aldebaran Revani Usa,Rave On Hall,On Advice,Sunny Gee,Caligula Nz,Drop The Hammer,Royal Glenferrie
07-01-2023 19:03:44.921242,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:46.255473,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:47.488585,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:48.679760,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:49.927378,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:51.235038,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:52.598393,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:54.010361,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:55.409702,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:56.766997,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:58.126373,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:59.548402,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:00.876029,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:02.260729,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:03.613028,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:04.950887,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:06.491611,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:08.090813,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:09.468721,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:10.883678,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:12.303602,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:13.642964,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:14.987966,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:16.320729,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:17.680693,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:18.997663,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:20.331229,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:21.636032,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:22.849005,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:24.121971,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:25.353670,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:26.653602,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:27.954218,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:29.314297,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:30.691561,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:32.009232,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:33.374981,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:34.643469,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:35.930682,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:37.258283,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:38.493967,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:39.682601,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:40.865027,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:42.088947,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:43.325974,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:44.633941,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:45.945347,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:47.422411,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:49.013511,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:50.467279,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:51.950522,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:53.360360,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:04:54.696486,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 36.17647058823529)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
