,Regal Aura,Armarockstar,You Fly With Me Nz,Lorinda Kate,Beyond The Sea,Libba Racy,Terror In Texas,Caribbean Lily Nz
11-01-2023 19:01:50.346891,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:01:51.458368,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:01:52.544946,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:01:53.617352,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:01:54.732464,"(7.0, 9.2, 8.2)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:01:55.722564,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:01:56.772310,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:01:57.869552,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:01:58.917772,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:01:59.911528,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:00.910750,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:01.959574,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:03.179318,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:04.341716,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.14)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:05.498319,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.14)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.260000000000001)","(4.4, 99999, 99990)"
11-01-2023 19:02:06.595827,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.14)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.140000000000001)","(4.4, 99999, 99990)"
11-01-2023 19:02:07.696869,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.7, 3.14)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.800000000000001)","(4.4, 99999, 99990)"
11-01-2023 19:02:08.783118,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.7, 3.14)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.800000000000001)","(4.4, 99999, 99990)"
11-01-2023 19:02:09.859243,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.7, 3.14)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.800000000000001)","(4.4, 99999, 99990)"
11-01-2023 19:02:10.985552,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.7, 3.42)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.2)","(4.4, 99999, 99990)"
11-01-2023 19:02:12.090631,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.7, 3.42)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.2)","(4.4, 99999, 99990)"
11-01-2023 19:02:13.165561,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.52)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.2)","(4.4, 99999, 99990)"
11-01-2023 19:02:14.230443,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.52)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.2)","(4.4, 99999, 99990)"
11-01-2023 19:02:15.266093,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.52)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.2)","(4.4, 99999, 99990)"
11-01-2023 19:02:16.382433,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.52)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.2)","(4.4, 99999, 99990)"
11-01-2023 19:02:17.499090,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.52)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.2)","(4.4, 99999, 99990)"
11-01-2023 19:02:18.678163,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.033333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:02:19.892520,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.033333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:02:21.079624,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:22.329072,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:23.571112,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:24.865976,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:26.100300,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:27.270068,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:28.397375,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:29.529111,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:30.665585,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:31.792315,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:32.997915,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:34.233026,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:35.509123,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:36.779112,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:38.020198,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:39.280171,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:40.515873,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:41.722546,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:42.826349,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:44.011106,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:45.174125,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:46.292091,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:47.551729,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:48.720329,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.4619999999999997)","(51.0, 170.0, 120.0)","(4.2, 6.4, 5.9)","(4.4, 99999, 99990)"
11-01-2023 19:02:49.904464,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:02:51.126586,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:02:52.227114,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:02:53.349093,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:02:54.499746,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:02:55.722639,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:02:56.996442,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:02:58.247143,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:02:59.528938,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:03:00.806117,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:03:02.064980,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:03:03.281115,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:03:04.533694,"(7.0, 9.4, 8.771428571428572)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6075)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.233333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:03:05.746296,"(7.0, 9.4, 8.066666666666666)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.175000000000001)","(4.4, 99999, 99990)"
11-01-2023 19:03:06.828602,"(7.0, 9.4, 8.4)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.175000000000001)","(4.4, 99999, 99990)"
11-01-2023 19:03:08.332313,"(7.0, 9.4, 8.68)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:03:09.721812,"(7.0, 9.4, 9.25)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:03:10.973698,"(7.0, 9.8, 9.25)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:03:12.312833,"(7.0, 9.8, 8.542857142857143)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:03:13.610027,"(7.0, 9.8, 9.466666666666667)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:03:14.974466,"(7.0, 9.8, 9.350000000000001)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:03:16.216832,"(7.0, 9.8, 9.350000000000001)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:03:17.605420,"(7.0, 9.8, 9.533333333333333)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:03:19.057817,"(7.0, 9.8, 9.450000000000001)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:03:20.328014,"(7.0, 9.8, 9.450000000000001)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:03:21.608941,"(7.0, 9.8, 9.450000000000001)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.216666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:03:22.883547,"(7.0, 9.8, 9.450000000000001)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.533333333333333)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.266666666666667)","(4.4, 99999, 99990)"
11-01-2023 19:03:24.205341,"(7.0, 9.8, 9.450000000000001)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6175)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.266666666666667)","(4.4, 99999, 99990)"
11-01-2023 19:03:25.370008,"(7.0, 9.8, 9.450000000000001)","(4.6, 8.0, 6.62)","(13.0, 99999, 99990)","(91.0, 190.0, 135.0)","(2.6, 3.85, 3.6175)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.266666666666667)","(4.4, 99999, 99990)"
